Name E(MP2/CBS) E(HF/aDZ) E(HF/aDZ-ACP_Comp)
01_S2 -795.4678233458 -795.0671398100 -795.46782618
01_SH -398.2848898261 -398.0921548800 -398.28487130
01_Si2 -577.9461519397 -577.7252864400 -577.94615068
01_SiH -289.5328543199 -289.4303567500 -289.53283869
S66by10_10_0.7_dimer -191.4179648349 -190.4365489600 -191.41972907
S66by10_10_0.8_dimer -191.4298030726 -190.4535701200 -191.43134509
S66by10_10_0.95_dimer -191.4341311452 -190.4626302100 -191.43535206
S66by10_10_0.9_dimer -191.4336433016 -190.4608837700 -191.43495724
S66by10_10_1.05_dimer -191.4338278981 -190.4641529500 -191.43490634
S66by10_10_2.0_dimer -191.4279415086 -190.4617566300 -191.42866464
S66by10_11_0.7_dimer -343.8916551430 -342.2487155400 -343.89087236
S66by10_11_0.8_dimer -343.9037380937 -342.2659721200 -343.90359083
S66by10_11_0.95_dimer -343.9082510310 -342.2753301700 -343.90859481
S66by10_11_0.9_dimer -343.9077370590 -342.2735011500 -343.90798850
S66by10_11_1.05_dimer -343.9078714938 -342.2769562900 -343.90832189
S66by10_11_1.0_dimer -343.9082104410 -342.2763984200 -343.90862797
S66by10_11_2.0_dimer -343.9000637061 -342.2735404100 -343.90058468
S66by10_12_0.7_dimer -172.0729918270 -171.2535682600 -172.07423492
S66by10_12_0.8_dimer -172.0864773955 -171.2703438100 -172.08738253
S66by10_12_0.95_dimer -172.0914701727 -171.2788452700 -172.09204141
S66by10_12_0.9_dimer -172.0909300673 -171.2773229800 -172.09159438
S66by10_12_1.05_dimer -172.0909310200 -171.2798236700 -172.09147466
S66by10_12_1.5_dimer -172.0844457296 -171.2759202700 -172.08481542
S66by10_12_2.0_dimer -172.0813057161 -171.2732654800 -172.08160241
S66by10_13_0.7_dimer -363.7633042580 -362.0843229600 -363.76239098
S66by10_13_0.8_dimer -363.7752528659 -362.1003484100 -363.77471682
S66by10_13_0.95_dimer -363.7798179090 -362.1088107300 -363.77981959
S66by10_13_0.9_dimer -363.7792849310 -362.1072095700 -363.77912790
S66by10_13_1.05_dimer -363.7795230914 -362.1100871500 -363.77962908
S66by10_13_1.0_dimer -363.7798442536 -362.1096894100 -363.77990235
S66by10_13_2.0_dimer -363.7718387663 -362.1057813900 -363.77205581
S66by10_14_0.7_dimer -343.8929688892 -342.2501850400 -343.89555132
S66by10_14_0.8_dimer -343.9061615975 -342.2681620400 -343.90819022
S66by10_14_0.95_dimer -343.9113618476 -342.2781464900 -343.91276659
S66by10_14_1.05_dimer -343.9110163343 -342.2798228100 -343.91224059
S66by10_14_1.1_dimer -343.9104182539 -342.2799830100 -343.91157354
S66by10_15_0.7_dimer -496.3660905777 -494.0635261700 -496.36554662
S66by10_15_0.8_dimer -496.3794780590 -494.0811143500 -496.37902434
S66by10_15_0.95_dimer -496.3848001548 -494.0906877100 -496.38447995
S66by10_15_0.9_dimer -496.3841373320 -494.0888483400 -496.38378448
S66by10_15_1.05_dimer -496.3844656993 -494.0921663700 -496.38415206
S66by10_15_1.0_dimer -496.3848449615 -494.0917059500 -496.38452258
S66by10_15_1.5_dimer -496.3778991462 -494.0891081700 -496.37766058
S66by10_15_2.0_dimer -496.3737328542 -494.0858754800 -496.37372454
S66by10_16_0.7_dimer -324.5449357766 -323.0681277400 -324.54446716
S66by10_16_0.8_dimer -324.5555870579 -323.0818079800 -324.55551966
S66by10_16_0.95_dimer -324.5596152645 -323.0885326100 -324.55984746
S66by10_16_0.9_dimer -324.5591416634 -323.0873381000 -324.55929639
S66by10_16_1.05_dimer -324.5593829614 -323.0893291900 -324.55958181
S66by10_16_2.0_dimer -324.5532508405 -323.0849115000 -324.55310021
S66by10_17_0.7_dimer -828.6082603972 -825.0260596400 -828.60862548
S66by10_17_0.8_dimer -828.6367598487 -825.0599686000 -828.63700693
S66by10_17_0.95_dimer -828.6485258583 -825.0777477000 -828.64898842
S66by10_17_0.9_dimer -828.6469815059 -825.0745030700 -828.64735278
S66by10_17_1.05_dimer -828.6479743719 -825.0798325500 -828.64865446
S66by10_17_1.25_dimer -828.6417202113 -825.0765556600 -828.64237922
S66by10_17_1.5_dimer -828.6341165947 -825.0703560200 -828.63431789
S66by10_17_2.0_dimer -828.6263162427 -825.0631364300 -828.62642983
S66by10_18_0.7_dimer -324.2487272507 -322.7492810200 -324.25003832
S66by10_18_0.8_dimer -324.2613036205 -322.7645877300 -324.26207376
S66by10_18_0.95_dimer -324.2658848740 -322.7721381300 -324.26616091
S66by10_18_0.9_dimer -324.2654036087 -322.7708050400 -324.26579288
S66by10_18_1.05_dimer -324.2653502736 -322.7729533700 -324.26549926
S66by10_18_1.5_dimer -324.2592611880 -322.7693867000 -324.25917620
S66by10_18_2.0_dimer -324.2563296123 -322.7669554000 -324.25622004
S66by10_19_0.7_dimer -363.4656041331 -361.7654093000 -363.46657706
S66by10_19_0.8_dimer -363.4794432269 -361.7825801500 -363.47998097
S66by10_19_0.95_dimer -363.4847519058 -361.7915687900 -363.48489404
S66by10_19_0.9_dimer -363.4841292376 -361.7898840600 -363.48434370
S66by10_19_1.05_dimer -363.4843216627 -361.7928395100 -363.48440829
S66by10_19_2.0_dimer -363.4745205490 -361.7870858200 -363.47455559
S66by10_1_0.7_dimer -152.7253184100 -152.0693052300 -152.72393426
S66by10_1_0.8_dimer -152.7359202607 -152.0822923700 -152.73524092
S66by10_1_0.95_dimer -152.7396861555 -152.0882470500 -152.73955387
S66by10_1_0.9_dimer -152.7392915705 -152.0872808800 -152.73902752
S66by10_1_1.5_dimer -152.7350208852 -152.0856622000 -152.73498053
S66by10_1_2.0_dimer -152.7330691303 -152.0838098700 -152.73293959
S66by10_20_0.7_dimer -457.6340853566 -455.6625529100 -457.63352257
S66by10_20_0.8_dimer -457.6681869426 -455.6991830900 -457.66738895
S66by10_20_0.95_dimer -457.6818812213 -455.7171091800 -457.68119624
S66by10_20_0.9_dimer -457.6801091935 -455.7140029200 -457.67935260
S66by10_20_1.05_dimer -457.6813170504 -455.7186982400 -457.68083892
S66by10_20_1.1_dimer -457.6799176638 -455.7181413900 -457.67956915
S66by10_20_1.5_dimer -457.6656872492 -455.7071451600 -457.66556096
S66by10_20_2.0_dimer -457.6569154978 -455.6989280300 -457.65669337
S66by10_21_0.7_dimer -417.8874549751 -415.9910100900 -417.88611997
S66by10_21_0.8_dimer -417.9150990052 -416.0238185200 -417.91405911
S66by10_21_0.95_dimer -417.9263871694 -416.0407842300 -417.92584996
S66by10_21_0.9_dimer -417.9249143908 -416.0377241000 -417.92420740
S66by10_21_1.05_dimer -417.9258860454 -416.0426985400 -417.92559811
S66by10_21_1.25_dimer -417.9200581216 -416.0395925500 -417.91984878
S66by10_21_1.5_dimer -417.9130946318 -416.0338863000 -417.91266019
S66by10_21_2.0_dimer -417.9053318758 -416.0266427600 -417.90485874
S66by10_22_0.7_dimer -643.1233301120 -640.3467467900 -643.12360761
S66by10_22_0.8_dimer -643.1542485577 -640.3816694000 -643.15423579
S66by10_22_0.95_dimer -643.1670084446 -640.3995846200 -643.16709452
S66by10_22_0.9_dimer -643.1653081382 -640.3963726600 -643.16532939
S66by10_22_1.05_dimer -643.1664563165 -640.4014695900 -643.16673737
S66by10_22_1.0_dimer -643.1671991632 -640.4011049900 -643.16738190
S66by10_22_1.25_dimer -643.1596759420 -640.3975665300 -643.16020033
S66by10_22_1.5_dimer -643.1512535945 -640.3905818100 -643.15154181
S66by10_22_2.0_dimer -643.1423565987 -640.3822034600 -643.14253619
S66by10_23_0.7_dimer -623.2521777341 -620.5136180200 -623.25183899
S66by10_23_0.8_dimer -623.2794031557 -620.5457548300 -623.27918714
S66by10_23_0.95_dimer -623.2909421526 -620.5629082000 -623.29107298
S66by10_23_0.9_dimer -623.2893783921 -620.5597413300 -623.28938680
S66by10_23_1.05_dimer -623.2905160743 -620.5649695400 -623.29082759
S66by10_23_1.25_dimer -623.2842897845 -620.5616643900 -623.28468341
S66by10_23_1.5_dimer -623.2763877504 -620.5551779400 -623.27650520
S66by10_23_2.0_dimer -623.2677256878 -620.5470105000 -623.26770387
S66by10_24_0.7_dimer -463.6413998469 -461.3211476200 -463.64108810
S66by10_24_0.8_dimer -463.6928739069 -461.4058037400 -463.69213690
S66by10_24_0.95_dimer -463.7087166524 -461.4459005800 -463.70759316
S66by10_24_0.9_dimer -463.7071111925 -461.4383696300 -463.70600942
S66by10_24_1.05_dimer -463.7080943091 -461.4530590200 -463.70703483
S66by10_24_1.0_dimer -463.7087686168 -461.4503922100 -463.70768417
S66by10_24_1.1_dimer -463.7071480833 -461.4546210900 -463.70608810
S66by10_24_1.25_dimer -463.7044050803 -461.4562663500 -463.70309458
S66by10_24_1.5_dimer -463.7020820840 -461.4565267100 -463.70048285
S66by10_25_0.7_dimer -495.7219505636 -493.3170686000 -495.72196830
S66by10_25_0.8_dimer -495.7718077537 -493.3989206800 -495.77163697
S66by10_25_0.95_dimer -495.7873657476 -493.4388015000 -495.78701651
S66by10_25_0.9_dimer -495.7858217342 -493.4312250200 -495.78539207
S66by10_25_1.05_dimer -495.7865391079 -493.4460654500 -495.78647452
S66by10_25_1.0_dimer -495.7873316693 -493.4433567800 -495.78714112
S66by10_25_1.1_dimer -495.7854517064 -493.4476353900 -495.78542140
S66by10_25_1.25_dimer -495.7823279757 -493.4491760200 -495.78201741
S66by10_26_0.7_dimer -828.5680341343 -824.9397586100 -828.56761942
S66by10_26_0.8_dimer -828.6220563225 -825.0191246500 -828.62251958
S66by10_26_0.95_dimer -828.6399133967 -825.0577481400 -828.63968264
S66by10_26_0.9_dimer -828.6380808670 -825.0506332400 -828.63803006
S66by10_26_1.1_dimer -828.6371748109 -825.0648625400 -828.63738534
S66by10_26_1.25_dimer -828.6323448066 -825.0648806500 -828.63291343
S66by10_26_2.0_dimer -828.6235369324 -825.0608460300 -828.62335216
S66by10_27_0.7_dimer -479.6736072675 -477.3075106800 -479.67343956
S66by10_27_0.8_dimer -479.7307505687 -477.3995757200 -479.73044348
S66by10_27_0.95_dimer -479.7481227990 -477.4424277400 -479.74748531
S66by10_27_0.9_dimer -479.7463948177 -477.4344867100 -479.74574136
S66by10_27_1.05_dimer -479.7473884028 -477.4497821800 -479.74688001
S66by10_27_1.0_dimer -479.7481471572 -477.4470771300 -479.74759056
S66by10_27_1.1_dimer -479.7463412261 -477.4513246100 -479.74583666
S66by10_27_1.25_dimer -479.7433923709 -477.4528223500 -479.74262261
S66by10_27_1.5_dimer -479.7406999109 -477.4528993800 -479.73965887
S66by10_28_0.7_dimer -646.1084273130 -643.1325068900 -646.10864808
S66by10_28_0.8_dimer -646.1582140716 -643.2116532100 -646.15800302
S66by10_28_0.95_dimer -646.1740817777 -643.2507342000 -646.17410970
S66by10_28_0.9_dimer -646.1724977791 -643.2432960400 -646.17228466
S66by10_28_1.05_dimer -646.1730963177 -643.2577397000 -646.17348705
S66by10_28_1.0_dimer -646.1740068188 -643.2551738600 -646.17428522
S66by10_28_1.1_dimer -646.1718360950 -643.2591382700 -646.17220959
S66by10_28_1.25_dimer -646.1680712209 -643.2601523600 -646.16778892
S66by10_29_0.7_dimer -662.1015584112 -659.0627761300 -662.10159186
S66by10_29_0.8_dimer -662.1881916681 -659.1919586600 -662.18833316
S66by10_29_0.95_dimer -662.2139420490 -659.2475798500 -662.21381100
S66by10_29_0.9_dimer -662.2114131786 -659.2378954800 -662.21102623
S66by10_29_1.05_dimer -662.2128605334 -659.2555901700 -662.21344695
S66by10_29_1.0_dimer -662.2139697080 -659.2528434800 -662.21422793
S66by10_29_1.1_dimer -662.2113404273 -659.2569059400 -662.21208447
S66by10_29_1.25_dimer -662.2070501144 -659.2574326500 -662.20730401
S66by10_2_0.7_dimer -191.9432163952 -191.0873727200 -191.94182983
S66by10_2_0.8_dimer -191.9548509182 -191.1016922100 -191.95395027
S66by10_2_0.95_dimer -191.9590406036 -191.1085485500 -191.95866263
S66by10_2_0.9_dimer -191.9585970309 -191.1073845200 -191.95806816
S66by10_2_1.05_dimer -191.9586071336 -191.1091884700 -191.95848337
S66by10_2_1.5_dimer -191.9536427744 -191.1060214800 -191.95376590
S66by10_2_2.0_dimer -191.9513590651 -191.1040135600 -191.95149599
S66by10_30_0.7_dimer -310.2626560240 -308.6990487100 -310.26254610
S66by10_30_0.8_dimer -310.2887396417 -308.7438160500 -310.28847822
S66by10_30_0.95_dimer -310.2964471372 -308.7650101200 -310.29581718
S66by10_30_0.9_dimer -310.2957177748 -308.7610543000 -310.29521047
S66by10_30_1.05_dimer -310.2960421562 -308.7688497200 -310.29528366
S66by10_30_1.0_dimer -310.2964200755 -308.7673917600 -310.29570270
S66by10_30_1.1_dimer -310.2955383616 -308.7697664000 -310.29480196
S66by10_30_1.25_dimer -310.2941541013 -308.7709942000 -310.29356094
S66by10_30_2.0_dimer -310.2925746874 -308.7717173400 -310.29185422
S66by10_31_0.7_dimer -492.7314472155 -490.5186050900 -492.73127050
S66by10_31_0.8_dimer -492.7531483829 -490.5534140200 -492.75310629
S66by10_31_0.95_dimer -492.7600205805 -490.5709074400 -492.76016480
S66by10_31_0.9_dimer -492.7593697041 -490.5675584600 -492.75940103
S66by10_31_1.05_dimer -492.7594789044 -490.5740801900 -492.75981282
S66by10_31_1.0_dimer -492.7599445949 -490.5729127500 -492.76018194
S66by10_31_1.1_dimer -492.7588652798 -490.5747260400 -492.75925101
S66by10_32_0.7_dimer -491.4858093808 -489.3004279900 -491.48508559
S66by10_32_0.8_dimer -491.5099559549 -489.3380206900 -491.50926487
S66by10_32_0.95_dimer -491.5176752886 -489.3563373500 -491.51686189
S66by10_32_0.9_dimer -491.5169199639 -489.3529358300 -491.51610292
S66by10_32_1.05_dimer -491.5170837291 -489.3593588400 -491.51645478
S66by10_32_1.0_dimer -491.5175741575 -489.3582911500 -491.51686976
S66by10_32_1.1_dimer -491.5163891189 -489.3598853100 -491.51583949
S66by10_33_0.7_dimer -326.3097364969 -324.7080230700 -326.31029778
S66by10_33_0.8_dimer -326.3294055348 -324.7434078800 -326.32959911
S66by10_33_0.95_dimer -326.3355008452 -324.7616934300 -326.33539897
S66by10_33_0.9_dimer -326.3349372550 -324.7581059100 -326.33488809
S66by10_33_1.05_dimer -326.3350116460 -324.7653361500 -326.33492422
S66by10_33_1.0_dimer -326.3354168158 -324.7639333100 -326.33531771
S66by10_33_1.1_dimer -326.3344783643 -324.7662194300 -326.33443088
S66by10_33_1.25_dimer -326.3329493539 -324.7673628100 -326.33301292
S66by10_34_0.7_dimer -394.7833497759 -392.6395214600 -394.78213788
S66by10_34_0.8_dimer -394.8075829980 -392.6794794400 -394.80797808
S66by10_34_0.95_dimer -394.8160040587 -392.7012059700 -394.81587576
S66by10_34_0.9_dimer -394.8150357505 -392.6968013900 -394.81519629
S66by10_34_1.05_dimer -394.8157387109 -392.7055656300 -394.81525394
S66by10_34_1.0_dimer -394.8160919578 -392.7039100000 -394.81574191
S66by10_34_1.1_dimer -394.8151945878 -392.7065684600 -394.81465132
S66by10_34_1.25_dimer -394.8134421981 -392.7077251000 -394.81304216
S66by10_34_1.5_dimer -394.8115548050 -392.7078993700 -394.81145953
S66by10_35_0.7_dimer -394.7926223646 -392.6523377600 -394.79220021
S66by10_35_0.8_dimer -394.8142301675 -392.6866386400 -394.81508670
S66by10_35_0.95_dimer -394.8216206234 -392.7042053300 -394.82179661
S66by10_35_0.9_dimer -394.8207718264 -392.7007750200 -394.82124367
S66by10_36_0.7_dimer -394.8156956211 -392.6822413300 -394.81695773
S66by10_37_0.7_dimer -393.5932844415 -391.4840493600 -393.59268155
S66by10_37_0.8_dimer -393.6129320622 -391.5165949300 -393.61361679
S66by10_37_0.95_dimer -393.6197703041 -391.5336779500 -393.62012037
S66by10_37_0.9_dimer -393.6189316110 -391.5302626000 -393.61950084
S66by10_37_1.05_dimer -393.6197400261 -391.5368746300 -393.61981579
S66by10_37_1.0_dimer -393.6199161981 -391.5356794200 -393.62009511
S66by10_37_1.1_dimer -393.6194090062 -391.5375918200 -393.61945056
S66by10_37_1.25_dimer -393.6183254940 -391.5384228700 -393.61841885
S66by10_38_0.7_dimer -392.3855193160 -390.3127590200 -392.38395449
S66by10_38_0.8_dimer -392.4049601819 -390.3446762200 -392.40516166
S66by10_38_0.95_dimer -392.4117272523 -390.3617485100 -392.41198230
S66by10_38_0.9_dimer -392.4109869037 -390.3584166700 -392.41134427
S66by10_38_1.05_dimer -392.4115296226 -390.3655001100 -392.41153276
S66by10_38_1.0_dimer -392.4118343695 -390.3640699400 -392.41194195
S66by10_38_1.1_dimer -392.4110643307 -390.3663393200 -392.41102961
S66by10_38_1.25_dimer -392.4096495261 -390.3672516200 -392.40971929
S66by10_39_0.7_dimer -428.0178049879 -425.8263887700 -428.01840813
S66by10_39_0.8_dimer -428.0504961340 -425.8791610400 -428.05185095
S66by10_39_0.95_dimer -428.0611100038 -425.9056297900 -428.06180944
S66by10_39_0.9_dimer -428.0599799756 -425.9005780100 -428.06096763
S66by10_39_1.05_dimer -428.0606480729 -425.9105996100 -428.06081357
S66by10_39_1.0_dimer -428.0611698222 -425.9087555000 -428.06158920
S66by10_39_1.1_dimer -428.0598939229 -425.9116011500 -428.05985433
S66by10_39_1.25_dimer -428.0576877094 -425.9124833500 -428.05728126
S66by10_39_1.5_dimer -428.0555604788 -425.9123828100 -428.05507909
S66by10_3_0.7_dimer -172.0742389194 -171.2566844600 -172.07582242
S66by10_3_0.8_dimer -172.0864442473 -171.2716543900 -172.08765362
S66by10_3_1.05_dimer -172.0902643925 -171.2797595500 -172.09091992
S66by10_40_0.7_dimer -429.2371026605 -427.0204233200 -429.23837017
S66by10_40_0.8_dimer -429.2606687320 -427.0589113400 -429.26209854
S66by10_40_0.95_dimer -429.2687049134 -427.0789223600 -429.26923314
S66by10_40_0.9_dimer -429.2678210810 -427.0750397400 -429.26866275
S66by10_40_1.05_dimer -429.2683654045 -427.0824615600 -429.26835894
S66by10_40_1.0_dimer -429.2687457447 -427.0811894500 -429.26899052
S66by10_40_1.1_dimer -429.2678082523 -427.0831329300 -429.26757571
S66by10_40_1.25_dimer -429.2661255303 -427.0836809200 -429.26548915
S66by10_40_1.5_dimer -429.2644653259 -427.0835399300 -429.26369045
S66by10_41_0.7_dimer -611.6859704106 -608.8058726000 -611.68441020
S66by10_41_0.8_dimer -611.7155895534 -608.8535163000 -611.71517358
S66by10_41_0.95_dimer -611.7251932258 -608.8781161600 -611.72477428
S66by10_41_0.9_dimer -611.7242294295 -608.8732910100 -611.72380338
S66by10_41_1.05_dimer -611.7244916149 -608.8828778200 -611.72423281
S66by10_41_1.0_dimer -611.7251024203 -608.8810824400 -611.72478772
S66by10_41_1.1_dimer -611.7234416305 -608.8840717200 -611.72328433
S66by10_41_1.25_dimer -611.7205172200 -608.8849368300 -611.72039642
S66by10_42_0.7_dimer -610.4789765417 -607.6308227200 -610.47703584
S66by10_42_0.8_dimer -610.5121248301 -607.6828380100 -610.51188746
S66by10_42_0.95_dimer -610.5224757660 -607.7082504300 -610.52246741
S66by10_42_0.9_dimer -610.5214524546 -607.7034299400 -610.52146278
S66by10_42_1.05_dimer -610.5218691970 -607.7127162900 -610.52181206
S66by10_42_1.0_dimer -610.5224386273 -607.7110792200 -610.52238466
S66by10_42_1.1_dimer -610.5210944257 -607.7136390300 -610.52101702
S66by10_42_1.25_dimer -610.5188487445 -607.7145149300 -610.51872157
S66by10_42_1.5_dimer -610.5166507113 -607.7144324200 -610.51659737
S66by10_43_0.7_dimer -611.6925262873 -608.8171338200 -611.69179065
S66by10_43_0.8_dimer -611.7215328607 -608.8609890900 -611.72143265
S66by10_43_0.9_dimer -611.7296530137 -608.8777820200 -611.72927029
S66by10_43_1.0_dimer -611.7305014911 -608.8837411900 -611.73008818
S66by10_43_1.25_dimer -611.7274387047 -608.8859619300 -611.72716606
S66by10_44_0.7_dimer -275.8340140843 -274.3616971300 -275.83338188
S66by10_44_0.8_dimer -275.8465631077 -274.3831154700 -275.84658535
S66by10_44_0.95_dimer -275.8504469579 -274.3942649700 -275.85013931
S66by10_44_0.9_dimer -275.8500845844 -274.3920551800 -275.84992372
S66by10_44_1.05_dimer -275.8501115930 -274.3964298500 -275.84967784
S66by10_44_1.0_dimer -275.8503818574 -274.3956085600 -275.84997917
S66by10_44_1.25_dimer -275.8488105221 -274.3975033500 -275.84853902
S66by10_45_0.7_dimer -274.5848294701 -273.1365950100 -274.58321603
S66by10_45_0.8_dimer -274.6021701390 -273.1646259500 -274.60094072
S66by10_45_0.95_dimer -274.6074701146 -273.1782277300 -274.60622144
S66by10_45_0.9_dimer -274.6069419059 -273.1756327900 -274.60571620
S66by10_45_1.05_dimer -274.6072396987 -273.1806982300 -274.60595830
S66by10_45_1.0_dimer -274.6074842652 -273.1797795300 -274.60621359
S66by10_45_1.25_dimer -274.6058705064 -273.1817722800 -274.60466619
S66by10_46_0.7_dimer -445.5773304787 -443.3502005600 -445.57610853
S66by10_46_0.8_dimer -445.5925726748 -443.3765050700 -445.59216687
S66by10_46_0.95_dimer -445.5977298081 -443.3915366000 -445.59728810
S66by10_46_0.9_dimer -445.5972358147 -443.3884143600 -445.59684777
S66by10_46_1.05_dimer -445.5972193364 -443.3948206700 -445.59669709
S66by10_46_1.0_dimer -445.5976404683 -443.3935456900 -445.59714170
S66by10_46_1.1_dimer -445.5966434436 -443.3956085100 -445.59612964
S66by10_46_1.25_dimer -445.5947892803 -443.3964595900 -445.59435890
S66by10_47_0.7_dimer -463.6728435478 -461.3932278800 -463.67265608
S66by10_47_0.8_dimer -463.6981640016 -461.4330054400 -463.69825842
S66by10_47_0.9_dimer -463.7058395326 -461.4494334600 -463.70580187
S66by10_47_1.0_dimer -463.7068576238 -461.4555708800 -463.70649837
S66by10_48_0.7_dimer -495.7566370649 -493.3962289100 -495.75708244
S66by10_48_0.8_dimer -495.7773057219 -493.4290551300 -495.77780433
S66by10_48_1.0_dimer -495.7843896107 -493.4482989200 -495.78455747
S66by10_48_1.1_dimer -495.7833707166 -493.4500313200 -495.78337448
S66by10_49_0.7_dimer -479.7106298081 -477.3893305900 -479.71085619
S66by10_49_0.8_dimer -479.7367234612 -477.4296253100 -479.73730070
S66by10_49_0.9_dimer -479.7447146907 -477.4462711000 -479.74522684
S66by10_49_1.0_dimer -479.7457872688 -477.4524345500 -479.74601963
S66by10_49_1.25_dimer -479.7428994536 -477.4544549700 -479.74228753
S66by10_4_0.7_dimer -324.5461506168 -323.0686977300 -324.54462396
S66by10_4_0.8_dimer -324.5593859918 -323.0843530900 -324.55809656
S66by10_4_0.95_dimer -324.5643404927 -323.0919932500 -324.56350543
S66by10_4_0.9_dimer -324.5637869155 -323.0906842300 -324.56276870
S66by10_4_1.25_dimer -324.5607904751 -323.0910429100 -324.56063146
S66by10_50_0.7_dimer -309.0256961947 -307.5087283600 -309.02613436
S66by10_50_0.8_dimer -309.0474969942 -307.5405148800 -309.04798663
S66by10_50_0.95_dimer -309.0551200376 -307.5562800900 -309.05540167
S66by10_50_0.9_dimer -309.0542624751 -307.5533790400 -309.05464774
S66by10_50_1.05_dimer -309.0548383184 -307.5585881200 -309.05481717
S66by10_50_1.0_dimer -309.0551790439 -307.5578391400 -309.05532586
S66by10_51_0.7_dimer -154.3893370441 -153.6385077600 -154.38870749
S66by10_51_0.8_dimer -154.3981166141 -153.6506310100 -154.39736370
S66by10_51_0.95_dimer -154.4010304401 -153.6564059600 -154.40012789
S66by10_51_0.9_dimer -154.4007187652 -153.6553687000 -154.39988088
S66by10_51_1.1_dimer -154.4006736933 -153.6572776500 -154.39950826
S66by10_52_0.7_dimer -460.6631567980 -458.5388855300 -460.66309626
S66by10_52_0.8_dimer -460.6802270500 -458.5646551600 -460.67998162
S66by10_52_0.95_dimer -460.6863341937 -458.5783953500 -460.68592114
S66by10_52_0.9_dimer -460.6856753457 -458.5757059200 -460.68529046
S66by10_52_1.05_dimer -460.6858635706 -458.5807863900 -460.68541030
S66by10_52_1.0_dimer -460.6862922979 -458.5799568900 -460.68586140
S66by10_52_2.0_dimer -460.6788847474 -458.5781184400 -460.67810603
S66by10_53_0.7_dimer -440.7908940139 -438.7106943200 -440.79166805
S66by10_53_0.8_dimer -440.8041936203 -438.7310074500 -440.80450445
S66by10_53_0.95_dimer -440.8090279697 -438.7419542000 -440.80850742
S66by10_53_0.9_dimer -440.8084852893 -438.7398122600 -440.80820544
S66by10_53_1.05_dimer -440.8087038385 -438.7438638400 -440.80789890
S66by10_53_1.0_dimer -440.8090232338 -438.7432024400 -440.80834229
S66by10_54_0.7_dimer -308.2039237844 -306.7409227000 -308.20376720
S66by10_54_0.8_dimer -308.2173509047 -306.7606891100 -308.21728681
S66by10_54_0.95_dimer -308.2219655278 -306.7707746600 -308.22188882
S66by10_54_0.9_dimer -308.2214917463 -306.7688810800 -308.22143025
S66by10_54_1.05_dimer -308.2215979948 -306.7723008000 -308.22141113
S66by10_54_1.0_dimer -308.2219187805 -306.7718087600 -308.22179957
S66by10_55_0.7_dimer -347.4200054571 -345.7488111800 -347.42038904
S66by10_55_0.8_dimer -347.4362190779 -345.7748926400 -347.43683122
S66by10_55_0.95_dimer -347.4420044603 -345.7892039100 -347.44252684
S66by10_55_0.9_dimer -347.4413688928 -345.7863372800 -347.44195901
S66by10_55_1.05_dimer -347.4416104907 -345.7919290300 -347.44190273
S66by10_55_1.0_dimer -347.4419890826 -345.7909384200 -347.44240318
