Name   |   Ref (MP2/CBS) (A.U.)   |   Base (MP2/aDZ) (A.U.)   |   ACP_Comp (A.U.)   
S66by10_10_0.95_dimer   |   -191.434131   |   -191.154336   |   -191.435344   
S66by10_10_0.9_dimer   |   -191.433643   |   -191.153795   |   -191.434948   
S66by10_10_1.05_dimer   |   -191.433828   |   -191.154001   |   -191.434909   
S66by10_10_2.0_dimer   |   -191.427942   |   -191.146963   |   -191.428644   
S66by10_11_0.7_dimer   |   -343.891655   |   -343.413256   |   -343.890903   
S66by10_11_0.8_dimer   |   -343.903738   |   -343.425812   |   -343.903585   
S66by10_11_0.95_dimer   |   -343.908251   |   -343.43053   |   -343.908556   
S66by10_11_0.9_dimer   |   -343.907737   |   -343.429991   |   -343.90795   
S66by10_11_1.05_dimer   |   -343.907871   |   -343.430106   |   -343.908291   
S66by10_11_1.0_dimer   |   -343.90821   |   -343.430498   |   -343.908586   
S66by10_11_2.0_dimer   |   -343.900064   |   -343.42071   |   -343.900587   
S66by10_12_0.7_dimer   |   -172.072992   |   -171.827093   |   -172.074118   
S66by10_12_0.8_dimer   |   -172.086477   |   -171.841215   |   -172.087311   
S66by10_12_0.95_dimer   |   -172.09147   |   -171.846708   |   -172.092053   
S66by10_12_0.9_dimer   |   -172.09093   |   -171.846061   |   -172.091585   
S66by10_12_1.05_dimer   |   -172.090931   |   -171.846302   |   -172.091498   
S66by10_12_1.5_dimer   |   -172.084446   |   -171.839474   |   -172.084855   
S66by10_12_2.0_dimer   |   -172.081306   |   -171.836027   |   -172.081645   
S66by10_13_0.7_dimer   |   -363.763304   |   -363.262833   |   -363.762422   
S66by10_13_0.8_dimer   |   -363.775253   |   -363.275278   |   -363.774734   
S66by10_13_0.95_dimer   |   -363.779818   |   -363.279991   |   -363.779811   
S66by10_13_0.9_dimer   |   -363.779285   |   -363.27944   |   -363.779127   
S66by10_13_1.05_dimer   |   -363.779523   |   -363.279617   |   -363.779616   
S66by10_13_1.0_dimer   |   -363.779844   |   -363.279979   |   -363.77989   
S66by10_13_2.0_dimer   |   -363.771839   |   -363.270661   |   -363.772069   
S66by10_14_0.7_dimer   |   -343.892969   |   -343.415195   |   -343.895507   
S66by10_14_0.8_dimer   |   -343.906162   |   -343.428882   |   -343.908208   
S66by10_14_0.95_dimer   |   -343.911362   |   -343.434236   |   -343.912824   
S66by10_14_1.05_dimer   |   -343.911016   |   -343.433823   |   -343.912294   
S66by10_14_1.1_dimer   |   -343.910418   |   -343.433143   |   -343.911624   
S66by10_15_0.7_dimer   |   -496.366091   |   -495.689886   |   -496.365538   
S66by10_15_0.8_dimer   |   -496.379478   |   -495.703724   |   -496.378994   
S66by10_15_0.95_dimer   |   -496.3848   |   -495.709088   |   -496.384441   
S66by10_15_0.9_dimer   |   -496.384137   |   -495.708458   |   -496.383752   
S66by10_15_1.05_dimer   |   -496.384466   |   -495.708616   |   -496.384115   
S66by10_15_1.0_dimer   |   -496.384845   |   -495.709066   |   -496.38448   
S66by10_15_1.5_dimer   |   -496.377899   |   -495.700968   |   -496.377668   
S66by10_15_2.0_dimer   |   -496.373733   |   -495.696025   |   -496.373728   
S66by10_16_0.7_dimer   |   -324.544936   |   -324.101168   |   -324.544473   
S66by10_16_0.8_dimer   |   -324.555587   |   -324.112328   |   -324.555519   
S66by10_16_0.95_dimer   |   -324.559615   |   -324.116553   |   -324.559829   
S66by10_16_0.9_dimer   |   -324.559142   |   -324.116038   |   -324.559284   
S66by10_16_1.05_dimer   |   -324.559383   |   -324.116299   |   -324.559574   
S66by10_16_2.0_dimer   |   -324.553251   |   -324.109181   |   -324.553143   
S66by10_17_0.7_dimer   |   -828.60826   |   -827.5402   |   -828.608602   
S66by10_17_0.8_dimer   |   -828.63676   |   -827.570299   |   -828.636975   
S66by10_17_0.95_dimer   |   -828.648526   |   -827.583258   |   -828.648932   
S66by10_17_0.9_dimer   |   -828.646982   |   -827.581453   |   -828.647298   
S66by10_17_1.05_dimer   |   -828.647974   |   -827.583053   |   -828.648585   
S66by10_17_1.25_dimer   |   -828.64172   |   -827.576906   |   -828.642335   
S66by10_17_1.5_dimer   |   -828.634117   |   -827.568676   |   -828.634331   
S66by10_17_2.0_dimer   |   -828.626316   |   -827.559856   |   -828.626455   
S66by10_18_0.7_dimer   |   -324.248727   |   -323.818027   |   -324.249953   
S66by10_18_0.8_dimer   |   -324.261304   |   -323.830903   |   -324.262042   
S66by10_18_0.95_dimer   |   -324.265885   |   -323.835684   |   -324.266209   
S66by10_18_0.9_dimer   |   -324.265404   |   -323.835166   |   -324.265822   
S66by10_18_1.05_dimer   |   -324.26535   |   -323.835177   |   -324.265562   
S66by10_18_1.5_dimer   |   -324.259261   |   -323.828838   |   -324.259254   
S66by10_18_2.0_dimer   |   -324.25633   |   -323.825654   |   -324.25629   
S66by10_19_0.7_dimer   |   -363.465604   |   -362.97773   |   -363.466441   
S66by10_19_0.8_dimer   |   -363.479443   |   -362.991842   |   -363.479887   
S66by10_19_0.95_dimer   |   -363.484752   |   -362.997323   |   -363.484885   
S66by10_19_0.9_dimer   |   -363.484129   |   -362.996675   |   -363.484311   
S66by10_19_1.05_dimer   |   -363.484322   |   -362.996893   |   -363.484416   
S66by10_19_2.0_dimer   |   -363.474521   |   -362.986316   |   -363.474587   
S66by10_1_0.7_dimer   |   -152.725318   |   -152.514346   |   -152.724041   
S66by10_1_0.8_dimer   |   -152.73592   |   -152.525754   |   -152.735288   
S66by10_1_0.95_dimer   |   -152.739686   |   -152.529925   |   -152.739578   
S66by10_1_0.9_dimer   |   -152.739292   |   -152.529453   |   -152.739058   
S66by10_1_1.5_dimer   |   -152.735021   |   -152.525282   |   -152.735059   
S66by10_1_2.0_dimer   |   -152.733069   |   -152.523141   |   -152.733037   
S66by10_20_0.7_dimer   |   -457.634085   |   -457.022883   |   -457.633567   
S66by10_20_0.8_dimer   |   -457.668187   |   -457.058553   |   -457.66742   
S66by10_20_0.95_dimer   |   -457.681881   |   -457.074059   |   -457.681191   
S66by10_20_0.9_dimer   |   -457.680109   |   -457.071803   |   -457.679346   
S66by10_20_1.05_dimer   |   -457.681317   |   -457.074088   |   -457.680845   
S66by10_20_1.1_dimer   |   -457.679918   |   -457.072891   |   -457.679581   
S66by10_20_1.5_dimer   |   -457.665687   |   -457.059145   |   -457.665626   
S66by10_20_2.0_dimer   |   -457.656915   |   -457.049768   |   -457.656819   
S66by10_21_0.7_dimer   |   -417.887455   |   -417.32065   |   -417.88621   
S66by10_21_0.8_dimer   |   -417.915099   |   -417.350019   |   -417.914115   
S66by10_21_0.95_dimer   |   -417.926387   |   -417.362634   |   -417.925885   
S66by10_21_0.9_dimer   |   -417.924914   |   -417.360844   |   -417.924251   
S66by10_21_1.05_dimer   |   -417.925886   |   -417.362579   |   -417.925622   
S66by10_21_1.25_dimer   |   -417.920058   |   -417.357133   |   -417.919891   
S66by10_21_1.5_dimer   |   -417.913095   |   -417.349826   |   -417.912735   
S66by10_21_2.0_dimer   |   -417.905332   |   -417.341373   |   -417.904929   
S66by10_22_0.7_dimer   |   -643.12333   |   -642.283577   |   -643.123622   
S66by10_22_0.8_dimer   |   -643.154249   |   -642.316079   |   -643.154235   
S66by10_22_0.95_dimer   |   -643.167008   |   -642.330345   |   -643.167062   
S66by10_22_0.9_dimer   |   -643.165308   |   -642.328293   |   -643.165302   
S66by10_22_1.05_dimer   |   -643.166456   |   -642.33029   |   -643.166698   
S66by10_22_1.0_dimer   |   -643.167199   |   -642.330825   |   -643.167343   
S66by10_22_1.25_dimer   |   -643.159676   |   -642.323937   |   -643.160168   
S66by10_22_1.5_dimer   |   -643.151254   |   -642.315292   |   -643.151551   
S66by10_22_2.0_dimer   |   -643.142357   |   -642.305593   |   -643.142584   
S66by10_23_0.7_dimer   |   -623.252178   |   -622.434718   |   -623.251878   
S66by10_23_0.8_dimer   |   -623.279403   |   -622.463535   |   -623.279215   
S66by10_23_0.95_dimer   |   -623.290942   |   -622.476368   |   -623.291074   
S66by10_23_0.9_dimer   |   -623.289378   |   -622.474501   |   -623.289396   
S66by10_23_1.05_dimer   |   -623.290516   |   -622.47634   |   -623.290823   
S66by10_23_1.25_dimer   |   -623.28429   |   -622.470434   |   -623.284686   
S66by10_23_1.5_dimer   |   -623.276388   |   -622.462168   |   -623.276547   
S66by10_23_2.0_dimer   |   -623.267726   |   -622.452661   |   -623.26775   
S66by10_24_0.7_dimer   |   -463.6414   |   -463.025099   |   -463.641158   
S66by10_24_0.8_dimer   |   -463.692874   |   -463.076875   |   -463.692212   
S66by10_24_0.95_dimer   |   -463.708717   |   -463.090214   |   -463.707578   
S66by10_24_0.9_dimer   |   -463.707111   |   -463.089472   |   -463.706019   
S66by10_24_1.05_dimer   |   -463.708094   |   -463.088199   |   -463.707009   
S66by10_24_1.0_dimer   |   -463.708769   |   -463.089517   |   -463.707658   
S66by10_24_1.1_dimer   |   -463.707148   |   -463.086693   |   -463.706073   
S66by10_24_1.25_dimer   |   -463.704405   |   -463.08256   |   -463.703131   
S66by10_24_1.5_dimer   |   -463.702082   |   -463.078931   |   -463.700544   
S66by10_25_0.7_dimer   |   -495.721951   |   -495.075764   |   -495.721974   
S66by10_25_0.8_dimer   |   -495.771808   |   -495.126873   |   -495.771673   
S66by10_25_0.95_dimer   |   -495.787366   |   -495.140837   |   -495.787044   
S66by10_25_0.9_dimer   |   -495.785822   |   -495.139948   |   -495.785429   
S66by10_25_1.05_dimer   |   -495.786539   |   -495.138826   |   -495.786495   
S66by10_25_1.0_dimer   |   -495.787332   |   -495.140185   |   -495.787169   
S66by10_25_1.1_dimer   |   -495.785452   |   -495.137214   |   -495.785447   
S66by10_25_1.25_dimer   |   -495.782328   |   -495.132757   |   -495.782074   
S66by10_26_0.7_dimer   |   -828.568034   |   -827.508089   |   -828.567713   
S66by10_26_0.8_dimer   |   -828.622056   |   -827.563555   |   -828.622379   
S66by10_26_0.95_dimer   |   -828.639913   |   -827.579938   |   -828.639593   
S66by10_26_0.9_dimer   |   -828.638081   |   -827.578843   |   -828.63789   
S66by10_26_1.1_dimer   |   -828.637175   |   -827.574933   |   -828.637385   
S66by10_26_1.25_dimer   |   -828.632345   |   -827.568441   |   -828.632933   
S66by10_26_2.0_dimer   |   -828.623537   |   -827.556676   |   -828.623348   
S66by10_27_0.7_dimer   |   -479.673607   |   -479.042028   |   -479.673462   
S66by10_27_0.8_dimer   |   -479.730751   |   -479.100401   |   -479.730492   
S66by10_27_0.95_dimer   |   -479.748123   |   -479.115707   |   -479.747492   
S66by10_27_0.9_dimer   |   -479.746395   |   -479.114782   |   -479.745766   
S66by10_27_1.05_dimer   |   -479.747388   |   -479.113605   |   -479.746876   
S66by10_27_1.0_dimer   |   -479.748147   |   -479.115005   |   -479.747591   
S66by10_27_1.1_dimer   |   -479.746341   |   -479.11199   |   -479.745835   
S66by10_27_1.25_dimer   |   -479.743392   |   -479.107695   |   -479.742664   
S66by10_27_1.5_dimer   |   -479.7407   |   -479.103737   |   -479.739743   
S66by10_28_0.7_dimer   |   -646.108427   |   -645.271148   |   -646.108732   
S66by10_28_0.8_dimer   |   -646.158214   |   -645.321821   |   -646.157999   
S66by10_28_0.95_dimer   |   -646.174082   |   -645.335698   |   -646.174096   
S66by10_28_0.9_dimer   |   -646.172498   |   -645.334939   |   -646.17227   
S66by10_28_1.05_dimer   |   -646.173096   |   -645.333027   |   -646.173488   
S66by10_28_1.0_dimer   |   -646.174007   |   -645.334772   |   -646.17428   
S66by10_28_1.1_dimer   |   -646.171836   |   -645.330977   |   -646.172213   
S66by10_28_1.25_dimer   |   -646.168071   |   -645.325289   |   -646.167813   
S66by10_29_0.7_dimer   |   -662.101558   |   -661.247269   |   -662.101777   
S66by10_29_0.8_dimer   |   -662.188192   |   -661.337033   |   -662.1883   
S66by10_29_0.95_dimer   |   -662.213942   |   -661.361175   |   -662.21382   
S66by10_29_0.9_dimer   |   -662.211413   |   -661.35949   |   -662.210999   
S66by10_29_1.05_dimer   |   -662.212861   |   -661.358338   |   -662.213499   
S66by10_29_1.0_dimer   |   -662.21397   |   -661.360311   |   -662.214264   
S66by10_29_1.1_dimer   |   -662.21134   |   -661.356018   |   -662.212142   
S66by10_29_1.25_dimer   |   -662.20705   |   -661.349902   |   -662.207361   
S66by10_2_0.7_dimer   |   -191.943216   |   -191.674924   |   -191.941915   
S66by10_2_0.8_dimer   |   -191.954851   |   -191.687339   |   -191.95399   
S66by10_2_0.95_dimer   |   -191.959041   |   -191.69193   |   -191.958673   
S66by10_2_0.9_dimer   |   -191.958597   |   -191.69141   |   -191.958085   
S66by10_2_1.05_dimer   |   -191.958607   |   -191.691598   |   -191.958484   
S66by10_2_1.5_dimer   |   -191.953643   |   -191.686505   |   -191.953798   
S66by10_2_2.0_dimer   |   -191.951359   |   -191.684002   |   -191.951541   
S66by10_30_0.7_dimer   |   -310.262656   |   -309.839182   |   -310.262543   
S66by10_30_0.8_dimer   |   -310.28874   |   -309.866183   |   -310.288486   
S66by10_30_0.95_dimer   |   -310.296447   |   -309.872831   |   -310.295781   
S66by10_30_0.9_dimer   |   -310.295718   |   -309.872579   |   -310.295189   
S66by10_30_1.05_dimer   |   -310.296042   |   -309.871571   |   -310.295236   
S66by10_30_1.0_dimer   |   -310.29642   |   -309.87234   |   -310.295656   
S66by10_30_1.1_dimer   |   -310.295538   |   -309.870769   |   -310.29476   
S66by10_30_1.25_dimer   |   -310.294154   |   -309.868875   |   -310.293548   
S66by10_30_2.0_dimer   |   -310.292575   |   -309.866507   |   -310.291841   
S66by10_31_0.7_dimer   |   -492.731447   |   -492.086525   |   -492.731196   
S66by10_31_0.8_dimer   |   -492.753148   |   -492.108994   |   -492.753037   
S66by10_31_0.95_dimer   |   -492.760021   |   -492.115237   |   -492.760115   
S66by10_31_0.9_dimer   |   -492.75937   |   -492.114898   |   -492.759343   
S66by10_31_1.05_dimer   |   -492.759479   |   -492.11398   |   -492.75975   
S66by10_31_1.0_dimer   |   -492.759945   |   -492.114793   |   -492.760123   
S66by10_31_1.1_dimer   |   -492.758865   |   -492.113036   |   -492.759186   
S66by10_32_0.7_dimer   |   -491.485809   |   -490.846548   |   -491.485072   
S66by10_32_0.8_dimer   |   -491.509956   |   -490.871551   |   -491.509253   
S66by10_32_0.95_dimer   |   -491.517675   |   -490.878897   |   -491.516864   
S66by10_32_0.9_dimer   |   -491.51692   |   -490.878376   |   -491.516098   
S66by10_32_1.05_dimer   |   -491.517084   |   -490.877839   |   -491.516437   
S66by10_32_1.0_dimer   |   -491.517574   |   -490.878581   |   -491.516861   
S66by10_32_1.1_dimer   |   -491.516389   |   -490.876935   |   -491.515819   
S66by10_33_0.7_dimer   |   -326.309736   |   -325.872461   |   -326.310234   
S66by10_33_0.8_dimer   |   -326.329406   |   -325.892821   |   -326.329577   
S66by10_33_0.95_dimer   |   -326.335501   |   -325.898027   |   -326.335378   
S66by10_33_0.9_dimer   |   -326.334937   |   -325.897867   |   -326.334874   
S66by10_33_1.05_dimer   |   -326.335012   |   -325.896781   |   -326.334899   
S66by10_33_1.0_dimer   |   -326.335417   |   -325.897541   |   -326.335298   
S66by10_33_1.1_dimer   |   -326.334478   |   -325.895956   |   -326.334405   
S66by10_33_1.25_dimer   |   -326.332949   |   -325.893874   |   -326.333002   
S66by10_34_0.7_dimer   |   -394.78335   |   -394.203481   |   -394.782297   
S66by10_34_0.8_dimer   |   -394.807583   |   -394.228519   |   -394.808027   
S66by10_34_0.95_dimer   |   -394.816004   |   -394.236496   |   -394.81587   
S66by10_34_0.9_dimer   |   -394.815036   |   -394.235821   |   -394.815191   
S66by10_34_1.05_dimer   |   -394.815739   |   -394.235456   |   -394.815268   
S66by10_34_1.0_dimer   |   -394.816092   |   -394.23622   |   -394.815743   
S66by10_34_1.1_dimer   |   -394.815195   |   -394.234478   |   -394.814679   
S66by10_34_1.25_dimer   |   -394.813442   |   -394.231545   |   -394.813094   
S66by10_34_1.5_dimer   |   -394.811555   |   -394.228409   |   -394.81152   
S66by10_35_0.7_dimer   |   -394.792622   |   -394.215008   |   -394.792377   
S66by10_35_0.8_dimer   |   -394.81423   |   -394.236719   |   -394.815133   
S66by10_35_0.95_dimer   |   -394.821621   |   -394.243055   |   -394.821809   
S66by10_35_0.9_dimer   |   -394.820772   |   -394.242625   |   -394.821247   
S66by10_36_0.7_dimer   |   -394.815696   |   -394.239401   |   -394.81705   
S66by10_37_0.7_dimer   |   -393.593284   |   -393.025149   |   -393.592781   
S66by10_37_0.8_dimer   |   -393.612932   |   -393.045325   |   -393.613627   
S66by10_37_0.95_dimer   |   -393.61977   |   -393.051498   |   -393.6201   
S66by10_37_0.9_dimer   |   -393.618932   |   -393.051023   |   -393.619478   
S66by10_37_1.05_dimer   |   -393.61974   |   -393.050665   |   -393.619817   
S66by10_37_1.0_dimer   |   -393.619916   |   -393.051249   |   -393.620086   
S66by10_37_1.1_dimer   |   -393.619409   |   -393.049952   |   -393.61946   
S66by10_37_1.25_dimer   |   -393.618325   |   -393.047873   |   -393.618435   
S66by10_38_0.7_dimer   |   -392.385519   |   -391.825339   |   -392.384013   
S66by10_38_0.8_dimer   |   -392.40496   |   -391.845576   |   -392.405122   
S66by10_38_0.95_dimer   |   -392.411727   |   -391.852119   |   -392.411907   
S66by10_38_0.9_dimer   |   -392.410987   |   -391.851537   |   -392.411265   
S66by10_38_1.05_dimer   |   -392.41153   |   -391.85132   |   -392.411492   
S66by10_38_1.0_dimer   |   -392.411834   |   -391.85195   |   -392.411885   
S66by10_38_1.1_dimer   |   -392.411064   |   -391.850509   |   -392.411003   
S66by10_38_1.25_dimer   |   -392.40965   |   -391.848102   |   -392.40971   
S66by10_39_0.7_dimer   |   -428.017805   |   -427.430595   |   -428.018406   
S66by10_39_0.8_dimer   |   -428.050496   |   -427.463877   |   -428.051834   
S66by10_39_0.95_dimer   |   -428.06111   |   -427.473223   |   -428.061797   
S66by10_39_0.9_dimer   |   -428.05998   |   -427.472675   |   -428.060954   
S66by10_39_1.05_dimer   |   -428.060648   |   -427.471421   |   -428.060803   
S66by10_39_1.0_dimer   |   -428.06117   |   -427.472623   |   -428.061578   
S66by10_39_1.1_dimer   |   -428.059894   |   -427.470025   |   -428.059851   
S66by10_39_1.25_dimer   |   -428.057688   |   -427.466319   |   -428.057296   
S66by10_39_1.5_dimer   |   -428.05556   |   -427.462961   |   -428.055107   
S66by10_3_0.7_dimer   |   -172.074239   |   -171.828357   |   -172.075728   
S66by10_3_0.8_dimer   |   -172.086444   |   -171.841027   |   -172.087606   
S66by10_3_1.05_dimer   |   -172.090264   |   -171.845352   |   -172.090958   
S66by10_40_0.7_dimer   |   -429.237103   |   -428.641677   |   -429.238392   
S66by10_40_0.8_dimer   |   -429.260669   |   -428.665136   |   -429.262113   
S66by10_40_0.95_dimer   |   -429.268705   |   -428.671495   |   -429.269268   
S66by10_40_0.9_dimer   |   -429.267821   |   -428.67128   |   -429.268694   
S66by10_40_1.05_dimer   |   -429.268365   |   -428.669807   |   -429.268396   
S66by10_40_1.0_dimer   |   -429.268746   |   -428.670852   |   -429.269027   
S66by10_40_1.1_dimer   |   -429.267808   |   -428.668631   |   -429.267615   
S66by10_40_1.25_dimer   |   -429.266126   |   -428.665578   |   -429.265532   
S66by10_40_1.5_dimer   |   -429.264465   |   -428.662874   |   -429.263728   
S66by10_41_0.7_dimer   |   -611.68597   |   -610.866883   |   -611.684271   
S66by10_41_0.8_dimer   |   -611.71559   |   -610.897006   |   -611.715049   
S66by10_41_0.95_dimer   |   -611.725193   |   -610.905286   |   -611.724773   
S66by10_41_0.9_dimer   |   -611.724229   |   -610.904871   |   -611.723775   
S66by10_41_1.05_dimer   |   -611.724492   |   -610.903508   |   -611.724252   
S66by10_41_1.0_dimer   |   -611.725102   |   -610.904662   |   -611.724804   
S66by10_41_1.1_dimer   |   -611.723442   |   -610.901842   |   -611.723304   
S66by10_41_1.25_dimer   |   -611.720517   |   -610.897327   |   -611.720409   
S66by10_42_0.7_dimer   |   -610.478977   |   -609.669733   |   -610.47702   
S66by10_42_0.8_dimer   |   -610.512125   |   -609.703578   |   -610.511833   
S66by10_42_0.95_dimer   |   -610.522476   |   -609.71269   |   -610.522446   
S66by10_42_0.9_dimer   |   -610.521452   |   -609.71223   |   -610.52143   
S66by10_42_1.05_dimer   |   -610.521869   |   -609.710896   |   -610.521795   
S66by10_42_1.0_dimer   |   -610.522439   |   -609.712039   |   -610.522374   
S66by10_42_1.1_dimer   |   -610.521094   |   -609.709569   |   -610.521005   
S66by10_42_1.25_dimer   |   -610.518849   |   -609.705905   |   -610.518718   
S66by10_42_1.5_dimer   |   -610.516651   |   -609.702342   |   -610.516585   
S66by10_43_0.7_dimer   |   -611.692526   |   -610.874014   |   -611.691739   
S66by10_43_0.8_dimer   |   -611.721533   |   -610.903389   |   -611.721376   
S66by10_43_0.9_dimer   |   -611.729653   |   -610.910772   |   -611.729276   
S66by10_43_1.0_dimer   |   -611.730501   |   -610.910571   |   -611.730114   
S66by10_43_1.25_dimer   |   -611.727439   |   -610.905232   |   -611.727171   
S66by10_44_0.7_dimer   |   -275.834014   |   -275.429297   |   -275.833376   
S66by10_44_0.8_dimer   |   -275.846563   |   -275.442435   |   -275.846544   
S66by10_44_0.95_dimer   |   -275.850447   |   -275.446185   |   -275.850097   
S66by10_44_0.9_dimer   |   -275.850085   |   -275.445945   |   -275.849876   
S66by10_44_1.05_dimer   |   -275.850112   |   -275.44556   |   -275.849647   
S66by10_44_1.0_dimer   |   -275.850382   |   -275.445979   |   -275.849943   
S66by10_44_1.25_dimer   |   -275.848811   |   -275.443643   |   -275.84853   
S66by10_45_0.7_dimer   |   -274.584829   |   -274.186255   |   -274.583249   
S66by10_45_0.8_dimer   |   -274.60217   |   -274.204576   |   -274.600958   
S66by10_45_0.95_dimer   |   -274.60747   |   -274.209838   |   -274.606218   
S66by10_45_0.9_dimer   |   -274.606942   |   -274.209433   |   -274.605718   
S66by10_45_1.05_dimer   |   -274.60724   |   -274.209228   |   -274.605958   
S66by10_45_1.0_dimer   |   -274.607484   |   -274.20967   |   -274.606209   
S66by10_45_1.25_dimer   |   -274.605871   |   -274.207192   |   -274.604697   
S66by10_46_0.7_dimer   |   -445.57733   |   -444.950911   |   -445.576125   
S66by10_46_0.8_dimer   |   -445.592573   |   -444.966565   |   -445.592156   
S66by10_46_0.95_dimer   |   -445.59773   |   -444.971177   |   -445.597284   
S66by10_46_0.9_dimer   |   -445.597236   |   -444.970954   |   -445.596838   
S66by10_46_1.05_dimer   |   -445.597219   |   -444.969991   |   -445.596708   
S66by10_46_1.0_dimer   |   -445.59764   |   -444.970756   |   -445.597148   
S66by10_46_1.1_dimer   |   -445.596643   |   -444.969049   |   -445.596144   
S66by10_46_1.25_dimer   |   -445.594789   |   -444.96616   |   -445.594376   
S66by10_47_0.7_dimer   |   -463.672844   |   -463.054938   |   -463.672617   
S66by10_47_0.8_dimer   |   -463.698164   |   -463.080351   |   -463.698243   
S66by10_47_0.9_dimer   |   -463.70584   |   -463.087365   |   -463.705819   
S66by10_47_1.0_dimer   |   -463.706858   |   -463.087361   |   -463.706528   
S66by10_48_0.7_dimer   |   -495.756637   |   -495.109091   |   -495.757079   
S66by10_48_0.8_dimer   |   -495.777306   |   -495.130143   |   -495.777807   
S66by10_48_1.0_dimer   |   -495.78439   |   -495.136347   |   -495.784621   
S66by10_48_1.1_dimer   |   -495.783371   |   -495.134637   |   -495.783458   
S66by10_49_0.7_dimer   |   -479.71063   |   -479.078531   |   -479.710824   
S66by10_49_0.8_dimer   |   -479.736723   |   -479.104822   |   -479.737297   
S66by10_49_0.9_dimer   |   -479.744715   |   -479.112232   |   -479.74526   
S66by10_49_1.0_dimer   |   -479.745787   |   -479.11235   |   -479.746067   
S66by10_49_1.25_dimer   |   -479.742899   |   -479.107176   |   -479.742355   
S66by10_4_0.7_dimer   |   -324.546151   |   -324.101228   |   -324.544672   
S66by10_4_0.8_dimer   |   -324.559386   |   -324.115223   |   -324.558101   
S66by10_4_0.95_dimer   |   -324.56434   |   -324.120693   |   -324.563475   
S66by10_4_0.9_dimer   |   -324.563787   |   -324.120024   |   -324.562754   
S66by10_4_1.25_dimer   |   -324.56079   |   -324.117463   |   -324.560572   
S66by10_50_0.7_dimer   |   -309.025696   |   -308.610623   |   -309.026082   
S66by10_50_0.8_dimer   |   -309.047497   |   -308.632668   |   -309.047945   
S66by10_50_0.95_dimer   |   -309.05512   |   -308.63981   |   -309.055415   
S66by10_50_0.9_dimer   |   -309.054262   |   -308.639203   |   -309.054649   
