Name   |   Ref (HF/aDZ + (C/CBS - C/aDZ)) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_C (A.U.)
S66by10_14_0.7_dimer   |   -342.616782   |   -342.250185   |   -342.619962
S66by10_14_0.8_dimer   |   -342.634205   |   -342.268162   |   -342.636366
S66by10_14_0.95_dimer   |   -342.643812   |   -342.278146   |   -342.645148
S66by10_14_1.05_dimer   |   -342.6454   |   -342.279823   |   -342.646452
S66by10_14_1.1_dimer   |   -342.645561   |   -342.279983   |   -342.646508
S66by10_15_0.7_dimer   |   -494.580351   |   -494.063526   |   -494.580024
S66by10_15_0.8_dimer   |   -494.597498   |   -494.081114   |   -494.597203
S66by10_15_0.95_dimer   |   -494.606866   |   -494.090688   |   -494.606716
S66by10_15_0.9_dimer   |   -494.605062   |   -494.088848   |   -494.604887
S66by10_15_1.05_dimer   |   -494.60833   |   -494.092166   |   -494.608156
S66by10_15_1.0_dimer   |   -494.607875   |   -494.091706   |   -494.607708
S66by10_15_1.5_dimer   |   -494.605828   |   -494.089108   |   -494.605599
S66by10_15_2.0_dimer   |   -494.603131   |   -494.085875   |   -494.603017
S66by10_16_0.7_dimer   |   -323.406325   |   -323.068128   |   -323.406014
S66by10_16_0.8_dimer   |   -323.41948   |   -323.081808   |   -323.419497
S66by10_16_0.95_dimer   |   -323.425872   |   -323.088533   |   -323.426016
S66by10_16_0.9_dimer   |   -323.424764   |   -323.087338   |   -323.424901
S66by10_16_1.05_dimer   |   -323.426605   |   -323.089329   |   -323.426593
S66by10_16_2.0_dimer   |   -323.422747   |   -323.084911   |   -323.422243
S66by10_17_0.7_dimer   |   -825.84192   |   -825.02606   |   -825.842383
S66by10_17_0.8_dimer   |   -825.874649   |   -825.059969   |   -825.87487
S66by10_17_0.95_dimer   |   -825.891561   |   -825.077748   |   -825.891958
S66by10_17_0.9_dimer   |   -825.888515   |   -825.074503   |   -825.888818
S66by10_17_1.05_dimer   |   -825.893333   |   -825.079833   |   -825.89389
S66by10_17_1.25_dimer   |   -825.889839   |   -825.076556   |   -825.890225
S66by10_17_1.5_dimer   |   -825.883958   |   -825.070356   |   -825.883915
S66by10_17_2.0_dimer   |   -825.877387   |   -825.063136   |   -825.877202
S66by10_18_0.7_dimer   |   -323.082504   |   -322.749281   |   -323.08354
S66by10_18_0.8_dimer   |   -323.097294   |   -322.764588   |   -323.097698
S66by10_18_0.95_dimer   |   -323.104449   |   -322.772138   |   -323.104535
S66by10_18_0.9_dimer   |   -323.103197   |   -322.770805   |   -323.103347
S66by10_18_1.05_dimer   |   -323.105183   |   -322.772953   |   -323.105156
S66by10_18_1.5_dimer   |   -323.101712   |   -322.769387   |   -323.10127
S66by10_18_2.0_dimer   |   -323.099448   |   -322.766955   |   -323.098962
S66by10_19_0.7_dimer   |   -362.141621   |   -361.765409   |   -362.142608
S66by10_19_0.8_dimer   |   -362.158343   |   -361.78258   |   -362.15864
S66by10_19_0.95_dimer   |   -362.166988   |   -361.791569   |   -362.166993
S66by10_19_0.9_dimer   |   -362.165368   |   -361.789884   |   -362.165406
S66by10_19_1.05_dimer   |   -362.168212   |   -361.79284   |   -362.168185
S66by10_19_2.0_dimer   |   -362.162962   |   -361.787086   |   -362.162805
S66by10_1_0.7_dimer   |   -152.228295   |   -152.069305   |   -152.227075
S66by10_1_0.8_dimer   |   -152.240754   |   -152.082292   |   -152.240025
S66by10_1_0.95_dimer   |   -152.246387   |   -152.088247   |   -152.246076
S66by10_1_0.9_dimer   |   -152.245502   |   -152.087281   |   -152.245097
S66by10_1_1.5_dimer   |   -152.243603   |   -152.085662   |   -152.242991
S66by10_1_2.0_dimer   |   -152.241865   |   -152.08381   |   -152.241117
S66by10_20_0.7_dimer   |   -456.124084   |   -455.662553   |   -456.122351
S66by10_20_0.8_dimer   |   -456.159199   |   -455.699183   |   -456.158054
S66by10_20_0.95_dimer   |   -456.1758   |   -455.717109   |   -456.175042
S66by10_20_0.9_dimer   |   -456.173021   |   -455.714003   |   -456.172119
S66by10_20_1.05_dimer   |   -456.176988   |   -455.718698   |   -456.176534
S66by10_20_1.1_dimer   |   -456.176273   |   -455.718141   |   -456.175952
S66by10_20_1.5_dimer   |   -456.164718   |   -455.707145   |   -456.164246
S66by10_20_2.0_dimer   |   -456.156855   |   -455.698928   |   -456.156113
S66by10_21_0.7_dimer   |   -416.423484   |   -415.99101   |   -416.422416
S66by10_21_0.8_dimer   |   -416.45494   |   -416.023819   |   -416.454034
S66by10_21_0.95_dimer   |   -416.470906   |   -416.040784   |   -416.470373
S66by10_21_0.9_dimer   |   -416.468099   |   -416.037724   |   -416.467444
S66by10_21_1.05_dimer   |   -416.472416   |   -416.042699   |   -416.471998
S66by10_21_1.25_dimer   |   -416.468866   |   -416.039593   |   -416.468284
S66by10_21_1.5_dimer   |   -416.463271   |   -416.033886   |   -416.462425
S66by10_21_2.0_dimer   |   -416.456413   |   -416.026643   |   -416.455408
S66by10_22_0.7_dimer   |   -640.98553   |   -640.346747   |   -640.985403
S66by10_22_0.8_dimer   |   -641.019099   |   -640.381669   |   -641.019002
S66by10_22_0.95_dimer   |   -641.035926   |   -640.399585   |   -641.036009
S66by10_22_0.9_dimer   |   -641.032953   |   -640.396373   |   -641.032947
S66by10_22_1.05_dimer   |   -641.037437   |   -640.40147   |   -641.03771
S66by10_22_1.0_dimer   |   -641.037234   |   -640.401105   |   -641.037425
S66by10_22_1.25_dimer   |   -641.033116   |   -640.397567   |   -641.033457
S66by10_22_1.5_dimer   |   -641.026171   |   -640.390582   |   -641.026137
S66by10_22_2.0_dimer   |   -641.018287   |   -640.382203   |   -641.018045
S66by10_23_0.7_dimer   |   -621.137893   |   -620.513618   |   -621.137779
S66by10_23_0.8_dimer   |   -621.168814   |   -620.545755   |   -621.168697
S66by10_23_0.95_dimer   |   -621.184999   |   -620.562908   |   -621.185092
S66by10_23_0.9_dimer   |   -621.182067   |   -620.559741   |   -621.182071
S66by10_23_1.05_dimer   |   -621.18671   |   -620.56497   |   -621.186903
S66by10_23_1.25_dimer   |   -621.183018   |   -620.561664   |   -621.183095
S66by10_23_1.5_dimer   |   -621.176667   |   -620.555178   |   -621.176429
S66by10_23_2.0_dimer   |   -621.169007   |   -620.547011   |   -621.16855
S66by10_24_0.7_dimer   |   -461.802687   |   -461.321148   |   -461.802064
S66by10_24_0.8_dimer   |   -461.886397   |   -461.405804   |   -461.885149
S66by10_24_0.95_dimer   |   -461.927522   |   -461.445901   |   -461.926346
S66by10_24_0.9_dimer   |   -461.919563   |   -461.43837   |   -461.918287
S66by10_24_1.05_dimer   |   -461.935441   |   -461.453059   |   -461.934467
S66by10_24_1.0_dimer   |   -461.932416   |   -461.450392   |   -461.931351
S66by10_24_1.1_dimer   |   -461.937314   |   -461.454621   |   -461.936415
S66by10_24_1.25_dimer   |   -461.939674   |   -461.456266   |   -461.938869
S66by10_24_1.5_dimer   |   -461.940664   |   -461.456527   |   -461.939784
S66by10_25_0.7_dimer   |   -493.822256   |   -493.317069   |   -493.822271
S66by10_25_0.8_dimer   |   -493.902446   |   -493.398921   |   -493.901969
S66by10_25_0.95_dimer   |   -493.942859   |   -493.438802   |   -493.942239
S66by10_25_0.9_dimer   |   -493.934953   |   -493.431225   |   -493.934252
S66by10_25_1.05_dimer   |   -493.950812   |   -493.446065   |   -493.950466
S66by10_25_1.0_dimer   |   -493.947765   |   -493.443357   |   -493.947296
S66by10_25_1.1_dimer   |   -493.952699   |   -493.447635   |   -493.952423
S66by10_25_1.25_dimer   |   -493.955023   |   -493.449176   |   -493.954739
S66by10_26_0.7_dimer   |   -825.751156   |   -824.939759   |   -825.750959
S66by10_26_0.8_dimer   |   -825.828607   |   -825.019125   |   -825.82951
S66by10_26_0.95_dimer   |   -825.867652   |   -825.057748   |   -825.867851
S66by10_26_0.9_dimer   |   -825.860172   |   -825.050633   |   -825.860601
S66by10_26_1.1_dimer   |   -825.876053   |   -825.064863   |   -825.876447
S66by10_26_1.25_dimer   |   -825.877139   |   -825.064881   |   -825.87775
S66by10_26_2.0_dimer   |   -825.875048   |   -825.060846   |   -825.874971
S66by10_27_0.7_dimer   |   -477.801167   |   -477.307511   |   -477.800837
S66by10_27_0.8_dimer   |   -477.891567   |   -477.399576   |   -477.890792
S66by10_27_0.95_dimer   |   -477.935193   |   -477.442428   |   -477.934349
S66by10_27_0.9_dimer   |   -477.926844   |   -477.434487   |   -477.925913
S66by10_27_1.05_dimer   |   -477.943338   |   -477.449782   |   -477.942696
S66by10_27_1.0_dimer   |   -477.940254   |   -477.447077   |   -477.939532
S66by10_27_1.1_dimer   |   -477.945216   |   -477.451325   |   -477.944638
S66by10_27_1.25_dimer   |   -477.947454   |   -477.452822   |   -477.946927
S66by10_27_1.5_dimer   |   -477.948259   |   -477.452899   |   -477.947704
S66by10_28_0.7_dimer   |   -643.778295   |   -643.132507   |   -643.77895
S66by10_28_0.8_dimer   |   -643.855935   |   -643.211653   |   -643.855899
S66by10_28_0.95_dimer   |   -643.895838   |   -643.250734   |   -643.895862
S66by10_28_0.9_dimer   |   -643.88794   |   -643.243296   |   -643.887796
S66by10_28_1.05_dimer   |   -643.903881   |   -643.25774   |   -643.904153
S66by10_28_1.0_dimer   |   -643.900794   |   -643.255174   |   -643.901001
S66by10_28_1.1_dimer   |   -643.905769   |   -643.259138   |   -643.90602
S66by10_28_1.25_dimer   |   -643.907946   |   -643.260152   |   -643.907775
S66by10_29_0.7_dimer   |   -659.722253   |   -659.062776   |   -659.722974
S66by10_29_0.8_dimer   |   -659.848004   |   -659.191959   |   -659.848339
S66by10_29_0.95_dimer   |   -659.904031   |   -659.24758   |   -659.903835
S66by10_29_0.9_dimer   |   -659.893896   |   -659.237895   |   -659.893542
S66by10_29_1.05_dimer   |   -659.913133   |   -659.25559   |   -659.913519
S66by10_29_1.0_dimer   |   -659.909837   |   -659.252843   |   -659.909941
S66by10_29_1.1_dimer   |   -659.914963   |   -659.256906   |   -659.915515
S66by10_29_1.25_dimer   |   -659.916665   |   -659.257433   |   -659.916965
S66by10_2_0.7_dimer   |   -191.289771   |   -191.087373   |   -191.28871
S66by10_2_0.8_dimer   |   -191.303551   |   -191.101692   |   -191.30284
S66by10_2_0.95_dimer   |   -191.310088   |   -191.108549   |   -191.309774
S66by10_2_0.9_dimer   |   -191.309006   |   -191.107385   |   -191.308582
S66by10_2_1.05_dimer   |   -191.310578   |   -191.109188   |   -191.31041
S66by10_2_1.5_dimer   |   -191.307287   |   -191.106021   |   -191.307067
S66by10_2_2.0_dimer   |   -191.305396   |   -191.104014   |   -191.305134
S66by10_30_0.7_dimer   |   -309.027963   |   -308.699049   |   -309.027753
S66by10_30_0.8_dimer   |   -309.071576   |   -308.743816   |   -309.070983
S66by10_30_0.95_dimer   |   -309.092913   |   -308.76501   |   -309.09219
S66by10_30_0.9_dimer   |   -309.088806   |   -308.761054   |   -309.088101
S66by10_30_1.05_dimer   |   -309.097104   |   -308.76885   |   -309.096423
S66by10_30_1.0_dimer   |   -309.095472   |   -308.767392   |   -309.094757
S66by10_30_1.1_dimer   |   -309.098174   |   -308.769766   |   -309.097556
S66by10_30_1.25_dimer   |   -309.099711   |   -308.770994   |   -309.099296
S66by10_30_2.0_dimer   |   -309.100954   |   -308.771717   |   -309.100433
S66by10_31_0.7_dimer   |   -491.011908   |   -490.518605   |   -491.012091
S66by10_31_0.8_dimer   |   -491.045669   |   -490.553414   |   -491.04584
S66by10_31_0.95_dimer   |   -491.063195   |   -490.570907   |   -491.063355
S66by10_31_0.9_dimer   |   -491.05973   |   -490.567558   |   -491.05985
S66by10_31_1.05_dimer   |   -491.066756   |   -490.57408   |   -491.06693
S66by10_31_1.0_dimer   |   -491.065393   |   -490.572913   |   -491.065554
S66by10_31_1.1_dimer   |   -491.067605   |   -490.574726   |   -491.067765
S66by10_32_0.7_dimer   |   -489.787859   |   -489.300428   |   -489.787624
S66by10_32_0.8_dimer   |   -489.824413   |   -489.338021   |   -489.824359
S66by10_32_0.95_dimer   |   -489.842631   |   -489.356337   |   -489.842443
S66by10_32_0.9_dimer   |   -489.839149   |   -489.352936   |   -489.838985
S66by10_32_1.05_dimer   |   -489.845888   |   -489.359359   |   -489.845759
S66by10_32_1.0_dimer   |   -489.844672   |   -489.358291   |   -489.844534
S66by10_32_1.1_dimer   |   -489.846539   |   -489.359885   |   -489.846431
S66by10_33_0.7_dimer   |   -325.04772   |   -324.708023   |   -325.048099
S66by10_33_0.8_dimer   |   -325.082169   |   -324.743408   |   -325.082116
S66by10_33_0.95_dimer   |   -325.100665   |   -324.761693   |   -325.100402
S66by10_33_0.9_dimer   |   -325.096905   |   -324.758106   |   -325.096668
S66by10_33_1.05_dimer   |   -325.104705   |   -324.765336   |   -325.104488
S66by10_33_1.0_dimer   |   -325.103105   |   -324.763933   |   -325.102871
S66by10_33_1.1_dimer   |   -325.105763   |   -324.766219   |   -325.105584
S66by10_33_1.25_dimer   |   -325.107269   |   -324.767363   |   -325.107226
S66by10_34_0.7_dimer   |   -393.090768   |   -392.639521   |   -393.089354
S66by10_34_0.8_dimer   |   -393.129508   |   -392.679479   |   -393.12972
S66by10_34_0.95_dimer   |   -393.15107   |   -392.701206   |   -393.151086
S66by10_34_0.9_dimer   |   -393.146565   |   -392.696801   |   -393.146807
S66by10_34_1.05_dimer   |   -393.155857   |   -392.705566   |   -393.155466
S66by10_34_1.0_dimer   |   -393.153958   |   -392.70391   |   -393.153751
S66by10_34_1.1_dimer   |   -393.157141   |   -392.706568   |   -393.156614
S66by10_34_1.25_dimer   |   -393.159133   |   -392.707725   |   -393.158472
S66by10_34_1.5_dimer   |   -393.160254   |   -392.707899   |   -393.159674
S66by10_35_0.7_dimer   |   -393.101973   |   -392.652338   |   -393.101246
S66by10_35_0.8_dimer   |   -393.135671   |   -392.686639   |   -393.135995
S66by10_35_0.95_dimer   |   -393.15358   |   -392.704205   |   -393.153454
S66by10_35_0.9_dimer   |   -393.149946   |   -392.700775   |   -393.150049
S66by10_36_0.7_dimer   |   -393.130678   |   -392.682241   |   -393.131514
S66by10_37_0.7_dimer   |   -391.928142   |   -391.484049   |   -391.927647
S66by10_37_0.8_dimer   |   -391.959919   |   -391.516595   |   -391.960373
S66by10_37_0.95_dimer   |   -391.977144   |   -391.533678   |   -391.977342
S66by10_37_0.9_dimer   |   -391.973555   |   -391.530263   |   -391.97394
S66by10_37_1.05_dimer   |   -391.980826   |   -391.536875   |   -391.980707
S66by10_37_1.0_dimer   |   -391.97937   |   -391.535679   |   -391.979394
S66by10_37_1.1_dimer   |   -391.9818   |   -391.537592   |   -391.981587
S66by10_37_1.25_dimer   |   -391.983361   |   -391.538423   |   -391.983011
S66by10_38_0.7_dimer   |   -390.752495   |   -390.312759   |   -390.751109
S66by10_38_0.8_dimer   |   -390.783309   |   -390.344676   |   -390.783552
S66by10_38_0.95_dimer   |   -390.800128   |   -390.361749   |   -390.800632
S66by10_38_0.9_dimer   |   -390.796778   |   -390.358417   |   -390.797337
S66by10_38_1.05_dimer   |   -390.804244   |   -390.3655   |   -390.80443
S66by10_38_1.0_dimer   |   -390.802596   |   -390.36407   |   -390.802947
S66by10_38_1.1_dimer   |   -390.805337   |   -390.366339   |   -390.805394
S66by10_38_1.25_dimer   |   -390.807017   |   -390.367252   |   -390.806913
S66by10_39_0.7_dimer   |   -426.285841   |   -425.826389   |   -426.286144
S66by10_39_0.8_dimer   |   -426.337725   |   -425.879161   |   -426.338822
S66by10_39_0.95_dimer   |   -426.364907   |   -425.90563   |   -426.365502
S66by10_39_0.9_dimer   |   -426.359485   |   -425.900578   |   -426.360312
S66by10_39_1.05_dimer   |   -426.370722   |   -425.9106   |   -426.37089
S66by10_39_1.0_dimer   |   -426.368452   |   -425.908755   |   -426.368823
S66by10_39_1.1_dimer   |   -426.372116   |   -425.911601   |   -426.372128
S66by10_39_1.25_dimer   |   -426.373928   |   -425.912483   |   -426.373643
S66by10_39_1.5_dimer   |   -426.374647   |   -425.912383   |   -426.374256
S66by10_3_0.7_dimer   |   -171.445031   |   -171.256684   |   -171.446784
S66by10_3_0.8_dimer   |   -171.459426   |   -171.271654   |   -171.460503
S66by10_3_1.05_dimer   |   -171.466921   |   -171.27976   |   -171.467256
S66by10_40_0.7_dimer   |   -427.484059   |   -427.020423   |   -427.485149
S66by10_40_0.8_dimer   |   -427.522461   |   -427.058911   |   -427.523469
S66by10_40_0.95_dimer   |   -427.543644   |   -427.078922   |   -427.543771
S66by10_40_0.9_dimer   |   -427.5393   |   -427.07504   |   -427.539698
S66by10_40_1.05_dimer   |   -427.548038   |   -427.082462   |   -427.547767
S66by10_40_1.0_dimer   |   -427.546357   |   -427.081189   |   -427.546262
S66by10_40_1.1_dimer   |   -427.549073   |   -427.083133   |   -427.548656
S66by10_40_1.25_dimer   |   -427.550458   |   -427.083681   |   -427.549736
S66by10_40_1.5_dimer   |   -427.551028   |   -427.08354   |   -427.550134
S66by10_41_0.7_dimer   |   -609.436086   |   -608.805873   |   -609.43538
S66by10_41_0.8_dimer   |   -609.482828   |   -608.853516   |   -609.482812
S66by10_41_0.95_dimer   |   -609.508001   |   -608.878116   |   -609.507931
S66by10_41_0.9_dimer   |   -609.502872   |   -608.873291   |   -609.502819
S66by10_41_1.05_dimer   |   -609.513412   |   -608.882878   |   -609.513351
S66by10_41_1.0_dimer   |   -609.511277   |   -608.881082   |   -609.511256
S66by10_41_1.1_dimer   |   -609.514998   |   -608.884072   |   -609.514908
S66by10_41_1.25_dimer   |   -609.516918   |   -608.884937   |   -609.516589
S66by10_42_0.7_dimer   |   -608.255487   |   -607.630823   |   -608.254434
S66by10_42_0.8_dimer   |   -608.306385   |   -607.682838   |   -608.306536
S66by10_42_0.95_dimer   |   -608.332265   |   -607.70825   |   -608.332563
S66by10_42_0.9_dimer   |   -608.327137   |   -607.70343   |   -608.32746
S66by10_42_1.05_dimer   |   -608.337457   |   -607.712716   |   -608.337617
S66by10_42_1.0_dimer   |   -608.335467   |   -607.711079   |   -608.335694
S66by10_42_1.1_dimer   |   -608.338735   |   -607.713639   |   -608.338817
S66by10_42_1.25_dimer   |   -608.340585   |   -607.714515   |   -608.34042
S66by10_42_1.5_dimer   |   -608.341473   |   -607.714432   |   -608.341234
S66by10_43_0.7_dimer   |   -609.446812   |   -608.817134   |   -609.446992
S66by10_43_0.8_dimer   |   -609.490005   |   -608.860989   |   -609.490433
S66by10_43_0.9_dimer   |   -609.507124   |   -608.877782   |   -609.507129
S66by10_43_1.0_dimer   |   -609.513721   |   -608.883741   |   -609.513473
S66by10_43_1.25_dimer   |   -609.517461   |   -608.885962   |   -609.516878
S66by10_44_0.7_dimer   |   -274.674842   |   -274.361697   |   -274.67389
S66by10_44_0.8_dimer   |   -274.695492   |   -274.383115   |   -274.695264
S66by10_44_0.95_dimer   |   -274.706472   |   -274.394265   |   -274.706195
S66by10_44_0.9_dimer   |   -274.704233   |   -274.392055   |   -274.704049
S66by10_44_1.05_dimer   |   -274.708791   |   -274.39643   |   -274.708348
S66by10_44_1.0_dimer   |   -274.707881   |   -274.395609   |   -274.707512
S66by10_44_1.25_dimer   |   -274.710312   |   -274.397503   |   -274.709775
S66by10_45_0.7_dimer   |   -273.443788   |   -273.136595   |   -273.442307
S66by10_45_0.8_dimer   |   -273.470695   |   -273.164626   |   -273.469808
S66by10_45_0.95_dimer   |   -273.484075   |   -273.178228   |   -273.483285
S66by10_45_0.9_dimer   |   -273.481439   |   -273.175633   |   -273.480679
S66by10_45_1.05_dimer   |   -273.486783   |   -273.180698   |   -273.485879
S66by10_45_1.0_dimer   |   -273.485736   |   -273.17978   |   -273.484889
S66by10_45_1.25_dimer   |   -273.488309   |   -273.181772   |   -273.487364
S66by10_46_0.7_dimer   |   -443.833355   |   -443.350201   |   -443.832385
S66by10_46_0.8_dimer   |   -443.858882   |   -443.376505   |   -443.858603
S66by10_46_0.95_dimer   |   -443.873858   |   -443.391537   |   -443.87362
S66by10_46_0.9_dimer   |   -443.870663   |   -443.388414   |   -443.870463
S66by10_46_1.05_dimer   |   -443.877466   |   -443.394821   |   -443.877096
S66by10_46_1.0_dimer   |   -443.876014   |   -443.393546   |   -443.875709
S66by10_46_1.1_dimer   |   -443.878471   |   -443.395609   |   -443.878042
S66by10_46_1.25_dimer   |   -443.879988   |   -443.39646   |   -443.879414
S66by10_47_0.7_dimer   |   -461.874342   |   -461.393228   |   -461.874326
S66by10_47_0.8_dimer   |   -461.913852   |   -461.433005   |   -461.914089
S66by10_47_0.9_dimer   |   -461.930709   |   -461.449433   |   -461.930842
S66by10_47_1.0_dimer   |   -461.937523   |   -461.455571   |   -461.93746
S66by10_48_0.7_dimer   |   -493.901027   |   -493.396229   |   -493.902049
S66by10_48_0.8_dimer   |   -493.933413   |   -493.429055   |   -493.934214
S66by10_48_1.0_dimer   |   -493.953126   |   -493.448299   |   -493.953504
S66by10_48_1.1_dimer   |   -493.955276   |   -493.450031   |   -493.955519
S66by10_49_0.7_dimer   |   -477.881873   |   -477.389331   |   -477.882115
S66by10_49_0.8_dimer   |   -477.921843   |   -477.429625   |   -477.922405
S66by10_49_0.9_dimer   |   -477.938879   |   -477.446271   |   -477.939368
S66by10_49_1.0_dimer   |   -477.945693   |   -477.452435   |   -477.946003
S66by10_49_1.25_dimer   |   -477.949121   |   -477.454455   |   -477.948813
S66by10_4_0.7_dimer   |   -323.407756   |   -323.068698   |   -323.406013
S66by10_4_0.8_dimer   |   -323.422777   |   -323.084353   |   -323.421393
S66by10_4_0.95_dimer   |   -323.429973   |   -323.091993   |   -323.429146
S66by10_4_0.9_dimer   |   -323.428778   |   -323.090684   |   -323.427747
S66by10_4_1.25_dimer   |   -323.428574   |   -323.091043   |   -323.428272
S66by10_50_0.7_dimer   |   -307.829537   |   -307.508728   |   -307.829559
S66by10_50_0.8_dimer   |   -307.860822   |   -307.540515   |   -307.86114
S66by10_50_0.95_dimer   |   -307.876852   |   -307.55628   |   -307.8771
S66by10_50_0.9_dimer   |   -307.873782   |   -307.553379   |   -307.874077
S66by10_50_1.05_dimer   |   -307.879568   |   -307.558588   |   -307.879662
S66by10_50_1.0_dimer   |   -307.878612   |   -307.557839   |   -307.878795
S66by10_51_0.7_dimer   |   -153.799279   |   -153.638508   |   -153.798738
S66by10_51_0.8_dimer   |   -153.810742   |   -153.650631   |   -153.810538
S66by10_51_0.95_dimer   |   -153.816257   |   -153.656406   |   -153.816003
S66by10_51_0.9_dimer   |   -153.81523   |   -153.655369   |   -153.815034
S66by10_51_1.1_dimer   |   -153.817321   |   -153.657278   |   -153.816811
S66by10_52_0.7_dimer   |   -459.008886   |   -458.538886   |   -459.008559
