Name   |   Ref (HF/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_HF (A.U.)
1-2-5-oxathiazolidine-4-carboxylic_acid   |   -793.202951   |   -793.058711   |   -793.202994
2005-01-02   |   -240.882519   |   -240.813167   |   -240.881658
1-2-6-oxathiazine   |   -642.191863   |   -642.09315   |   -642.191272
1-2-acetylenediol   |   -226.620183   |   -226.544873   |   -226.621595
2000-01-02   |   -154.969377   |   -154.918293   |   -154.969719
1-2-butanediamine   |   -267.469323   |   -267.386097   |   -267.469638
1-2-chloroethyl-1-nitrosourea   |   -889.82103   |   -889.671804   |   -889.821752
1-2-diaminopropane   |   -228.420332   |   -228.348803   |   -228.420516
1-2-dichloro-1-1-2-2-tetrafluoroethane   |   -1392.747719   |   -1392.540087   |   -1392.747392
1-2-dichloro-1-2-dihydropyrimidine   |   -1181.772678   |   -1181.658459   |   -1181.771495
1-2-dichloro-1-cyanoethane   |   -1088.902411   |   -1088.815577   |   -1088.902657
1-2-dichlorobutane   |   -1075.254717   |   -1075.169495   |   -1075.254523
1-2-dichloroethane   |   -997.148849   |   -997.08637   |   -997.148732
1-2-dichloroethyl_hydroperoxide   |   -1146.832363   |   -1146.723386   |   -1146.832106
1-2-dichloropropane   |   -1036.201715   |   -1036.128052   |   -1036.201608
1-2-dicyano-1-2-ethenedithiol   |   -1056.69076   |   -1056.574791   |   -1056.69002
1-2-dicyano-2-hydroxylamino-ethane   |   -392.675733   |   -392.560656   |   -392.676112
1-2-dicyanofluoroethane   |   -361.683217   |   -361.571371   |   -361.684191
1-2-diethoxyethane   |   -385.236518   |   -385.109673   |   -385.236265
1-2-difluoro-3-nitrobenzene   |   -632.13981   |   -631.938219   |   -632.139409
1-2-difluoroethane   |   -277.06194   |   -276.964304   |   -277.061564
1-2-dihydro-3H-1-2-4-triazol-3-ylidenemethanone   |   -353.599534   |   -353.494529   |   -353.599559
1-2-diisocyanatoethane   |   -412.615642   |   -412.485351   |   -412.616067
1-2-dimethoxyethane   |   -307.12443   |   -307.021357   |   -307.124027
1-2-dimethylhydrazine   |   -189.321225   |   -189.260416   |   -189.321172
1-2-divinylbenzene   |   -384.621732   |   -384.506534   |   -384.621245
1-2-ethanediol   |   -229.049015   |   -228.974712   |   -229.049046
1-2-ethanediyl_dicyanate   |   -412.532287   |   -412.402465   |   -412.532885
1-2-fluoroethyl-1-nitrosourea   |   -529.777968   |   -529.611007   |   -529.778801
1-2-furylpyridin-2-one   |   -549.261017   |   -549.094392   |   -549.260986
1-2-furylpyrrole   |   -436.46421   |   -436.330919   |   -436.46412
1-2-naphthalenedione   |   -532.110617   |   -531.954662   |   -532.110044
1-2-oxazole-4-carbonitrile   |   -336.46067   |   -336.361286   |   -336.460266
1-2-pentadiene   |   -194.019631   |   -193.956814   |   -194.020292
1-2-propadiene-1-3-dione   |   -263.397918   |   -263.313067   |   -263.399769
1-2-thiazole-1-oxide   |   -642.230362   |   -642.111556   |   -642.229004
1-2-thiazole-32H-thione   |   -964.946723   |   -964.854161   |   -964.946709
1-2-thiazole-3-carbonitrile   |   -659.15999   |   -659.059408   |   -659.160256
1-2-thiazole-4-carbonitrile   |   -659.164137   |   -659.063851   |   -659.164088
1-2-thienylpyridin-4-one   |   -871.915692   |   -871.752644   |   -871.915155
1-3-2-dithiazole   |   -927.03017   |   -926.943629   |   -927.030011
1-3-2-oxathiazole   |   -604.317332   |   -604.23066   |   -604.316773
1-3-4-oxadiazole   |   -260.728342   |   -260.649489   |   -260.728427
1-3-4-thiadiazolidine-2-5-dithione   |   -1378.484817   |   -1378.373724   |   -1378.484388
2004-01-03   |   -240.900083   |   -240.830209   |   -240.899855
2005-01-03   |   -278.812106   |   -278.733002   |   -278.812199
1-3-5-trifluorobenzene   |   -527.495406   |   -527.3186   |   -527.494825
2005-01-03   |   -341.816126   |   -341.704239   |   -341.81623
2005-01-03   |   -1309.789202   |   -1309.691627   |   -1309.788504
1-3-benzodithiole-2-thione   |   -1460.1612   |   -1460.023294   |   -1460.16027
2000-01-03   |   -154.990788   |   -154.940627   |   -154.990816
1-3-butanediol   |   -307.15396   |   -307.055798   |   -307.15392
1-3-cyclohexadiene   |   -231.929066   |   -231.858514   |   -231.928826
1-3-cyclopentadiene   |   -192.873859   |   -192.814905   |   -192.873613
2000-01-03   |   -262.802085   |   -262.726379   |   -262.802141
1-3-dichlorobutane   |   -1075.256873   |   -1075.171632   |   -1075.256744
1-3-dichloronitropropane   |   -1239.758129   |   -1239.624213   |   -1239.758194
1-3-dichloropropane   |   -1036.203908   |   -1036.130242   |   -1036.20377
1-3-diethylthiourea   |   -702.924281   |   -702.81043   |   -702.924135
1-3-difluoropyrrole   |   -406.598059   |   -406.46381   |   -406.597755
1-3-dihydro-2H-benzimidazole-2-thione   |   -775.205105   |   -775.077275   |   -775.205322
1-3-dihydro-2H-imidazol-2-one   |   -299.839325   |   -299.746647   |   -299.839049
1-3-dihydro-2H-pyrrol-2-one   |   -283.817172   |   -283.729944   |   -283.816845
1-3-dimethylnaphthalene   |   -461.610987   |   -461.475152   |   -461.610498
1-3-dinitrobenzene   |   -637.922226   |   -637.73214   |   -637.921783
2000-01-03   |   -305.973879   |   -305.875586   |   -305.97362
2000-01-03   |   -227.838976   |   -227.763682   |   -227.839321
1-3-dioxolan-2-one   |   -340.691693   |   -340.581043   |   -340.691574
2000-01-03   |   -266.917141   |   -266.830653   |   -266.917245
1-3dioxolo4-5-dpyrimidine   |   -450.45981   |   -450.324303   |   -450.460192
1-3-dithiane-2-thione   |   -1347.667086   |   -1347.561393   |   -1347.66718
1-3-dithiolane-2-thione   |   -1308.624942   |   -1308.531209   |   -1308.624946
1-3-dithiole-2-thione   |   -1307.440413   |   -1307.344209   |   -1307.439451
1-3dithiolo4-5-dpyrimidine   |   -1095.784237   |   -1095.658028   |   -1095.783715
1-3-oxazolidine-2-5-dithione   |   -1039.857743   |   -1039.746964   |   -1039.858573
1-3-pentadiyne   |   -191.626128   |   -191.563258   |   -191.626866
1-3-propanediol   |   -268.098653   |   -268.012364   |   -268.098663
1-3-propanedithiol   |   -913.417275   |   -913.340359   |   -913.417616
1-3-pyridinylethanone   |   -398.635149   |   -398.517018   |   -398.635062
1-3-thiazol-2-yl_thiocyanate   |   -1056.703331   |   -1056.58363   |   -1056.702225
1-3-thiazol-5-ylacetylenethiol   |   -1040.660484   |   -1040.545589   |   -1040.661543
1-3-thiazolidine-2-thione   |   -966.142932   |   -966.053603   |   -966.14328
1-4-butanediol   |   -307.150095   |   -307.051746   |   -307.150294
1-4-butanedithiol   |   -952.468969   |   -952.380154   |   -952.469392
1-4-cyclohexadiene   |   -231.931927   |   -231.861152   |   -231.931596
1-4-diazabicyclo2-2-2octane   |   -343.193279   |   -343.092357   |   -343.193819
1-4-dichlorobutane   |   -1075.254176   |   -1075.168603   |   -1075.254047
1-4-dimethylcyclohexane   |   -312.408249   |   -312.312087   |   -312.408413
1-4-dimethylnaphthalene   |   -461.608494   |   -461.472791   |   -461.608003
1-4-dimethylnorborane   |   -350.275704   |   -350.171457   |   -350.275066
1-4-dimethylpiperazine   |   -344.379212   |   -344.273037   |   -344.379263
2000-01-04   |   -305.965421   |   -305.867684   |   -305.965014
2000-01-04   |   -951.300508   |   -951.212379   |   -951.300483
1-4-naphthalenedione   |   -532.124787   |   -531.969197   |   -532.124381
1-4-pentadiene   |   -194.035402   |   -193.973106   |   -194.03548
1-4-pyridylethanone   |   -398.632029   |   -398.513979   |   -398.632127
1-5-heptadiyne   |   -269.728528   |   -269.641728   |   -269.728907
2000-01-05   |   -233.085978   |   -233.011802   |   -233.086143
1-6-dimethylnaphthalene   |   -461.612564   |   -461.476681   |   -461.612082
1-amino-1-2-dicyanoethene   |   -316.666947   |   -316.573702   |   -316.667162
1-azido-2-chloroethane   |   -700.956098   |   -700.864344   |   -700.955628
1-azido-3-chloro-2-propanol   |   -814.900862   |   -814.774739   |   -814.900361
1-butanamine   |   -212.418525   |   -212.350192   |   -212.418671
1999-12-31   |   -232.258835   |   -232.18303   |   -232.258917
1-buten-3-yne   |   -153.776774   |   -153.726468   |   -153.776899
1999-12-31   |   -156.177088   |   -156.125338   |   -156.177183
1-butoxybutane   |   -388.455769   |   -388.329747   |   -388.455696
1-butylsulfonylbutane   |   -860.889572   |   -860.673042   |   -860.889444
1999-12-31   |   -154.968947   |   -154.917114   |   -154.969046
1-carboxymethylamino-2-diazonioethenolate   |   -542.536677   |   -542.368337   |   -542.537059
1-chloro-1-1-difluoroethane   |   -736.021907   |   -735.904645   |   -736.02156
1-chloro-1-3-butadiene   |   -613.93156   |   -613.863492   |   -613.931537
1-chloro-1-cyano-2-isocyanatoethane   |   -796.635092   |   -796.514571   |   -796.63554
1-chloro-1-ethyl-3-nitrosourea   |   -889.760278   |   -889.607751   |   -889.759911
1-chloro-1-fluoroethane   |   -637.111553   |   -637.030991   |   -637.11143
1-chloro-1-fluoroethene   |   -635.909065   |   -635.827202   |   -635.909171
1-chloro-2-butene   |   -615.123145   |   -615.054846   |   -615.123116
1-chloro-2-ethoxyethane   |   -691.195722   |   -691.101346   |   -691.195649
1-chloro-2-methylbenzene   |   -728.790788   |   -728.691426   |   -728.790495
1-chloro-3-diazo-2-propanone   |   -758.696974   |   -758.586739   |   -758.697422
1-chloro-4-5-dihydro-1H-1-2-3-triazole   |   -700.920689   |   -700.83256   |   -700.9201
1-chloro-4-isothiocyanato-2-butyne   |   -1103.21623   |   -1103.103426   |   -1103.217274
1-chloroallyl_isothiocyanate   |   -1065.371802   |   -1065.271743   |   -1065.372733
1-chlorobutane   |   -616.312539   |   -616.243061   |   -616.312634
1-chloroethylsulfanyliminomethanone   |   -1102.414613   |   -1102.294413   |   -1102.414371
1-chlorohexane   |   -694.413544   |   -694.3202   |   -694.41352
1-chloronaphthalene   |   -842.443843   |   -842.314487   |   -842.443188
1-chloropentane   |   -655.362716   |   -655.281363   |   -655.362714
1-chloropropane   |   -577.261105   |   -577.203689   |   -577.261151
1-chloropyrazole   |   -683.780071   |   -683.692881   |   -683.778942
1-cyano-1-1-difluoroethane   |   -368.832476   |   -368.709082   |   -368.833006
1-cyano-1-2-difluoroethane   |   -368.819215   |   -368.697165   |   -368.819704
1-cyano-2-fluoroethene   |   -268.737672   |   -268.649527   |   -268.738023
1-cyclohexylethanone   |   -386.139423   |   -386.021709   |   -386.139393
1999-12-31   |   -466.564061   |   -466.416267   |   -466.564145
1-dichloroamino-oxy-1-methoxyethene   |   -1239.679234   |   -1239.5393   |   -1239.679592
1-difluoroaminoethanol   |   -406.877274   |   -406.743039   |   -406.877687
1-ethoxy-2-methoxyethane   |   -346.179147   |   -346.064331   |   -346.178833
1-ethoxyethoxyethane   |   -385.248448   |   -385.121684   |   -385.248455
1-ethoxypropane   |   -271.303722   |   -271.213702   |   -271.303663
1-ethyl-1H-imidazole   |   -303.013684   |   -302.921735   |   -303.013539
1-ethyl-2-methylbenzene   |   -347.950936   |   -347.845154   |   -347.950821
1-ethyl-4-methylbenzene   |   -347.953515   |   -347.847541   |   -347.953361
1-ethylnaphthalene   |   -461.605901   |   -461.470259   |   -461.605355
1-ethylsulfanyl-2-methylsulfanyl-ethane   |   -991.515064   |   -991.409659   |   -991.514665
1-ethylsulfinylpropane   |   -668.828675   |   -668.700985   |   -668.828321
1-ethylsulfonylpropane   |   -743.737724   |   -743.556783   |   -743.737113
1H-1-2-4-triazole   |   -240.910811   |   -240.841011   |   -240.910324
1-H-1-2--bipyrrole   |   -416.63708   |   -416.512723   |   -416.636591
1H-3H-7H-xanthine   |   -559.497027   |   -559.33061   |   -559.497138
1H-3H-8H-alloxanthine   |   -559.474022   |   -559.307668   |   -559.473433
1H-3H-9H-alloxanthine   |   -559.468321   |   -559.30196   |   -559.467574
1H-3H-9H-xanthine   |   -559.482913   |   -559.316349   |   -559.48267
1H-7H-hypoxanthine   |   -484.559585   |   -484.418806   |   -484.559094
1H-8H-allopurinol   |   -484.532108   |   -484.391493   |   -484.530992
1H-9H-allopurinol   |   -484.539668   |   -484.398988   |   -484.538656
1H-9H-hypoxanthine   |   -484.558608   |   -484.417694   |   -484.558013
1H-benzimidazole   |   -377.631676   |   -377.522182   |   -377.631255
1-heptanamine   |   -329.570837   |   -329.466427   |   -329.57085
1999-12-31   |   -349.411326   |   -349.299526   |   -349.411353
1999-12-31   |   -273.329684   |   -273.241961   |   -273.329763
1999-12-31   |   -272.121737   |   -272.033974   |   -272.12185
1-hexanamine   |   -290.520028   |   -290.427622   |   -290.520057
1999-12-31   |   -310.360513   |   -310.260714   |   -310.360557
1999-12-31   |   -234.278868   |   -234.203139   |   -234.278958
1999-12-31   |   -233.070911   |   -232.995145   |   -233.071038
1H-imidazole   |   -224.915105   |   -224.848157   |   -224.915054
1H-indene   |   -345.600893   |   -345.499926   |   -345.600584
1H-indole   |   -361.617635   |   -361.511246   |   -361.617091
1H-pyrazin-2-one   |   -337.697845   |   -337.597269   |   -337.697816
1H-pyrazole   |   -224.893514   |   -224.826829   |   -224.892831
1H-pyrazole-1-OS-thioperoxol   |   -697.243571   |   -697.13097   |   -697.243293
1H-pyrimidin-4-one   |   -337.704284   |   -337.602888   |   -337.703992
1H-pyrrol-3-ylhydrazine   |   -318.968615   |   -318.873176   |   -318.968112
1H-pyrrole-3-carboxamide   |   -376.772721   |   -376.658631   |   -376.772715
1H-tetrazol-5-amine   |   -311.93558   |   -311.846264   |   -311.934198
1H-tetrazole   |   -256.867774   |   -256.795226   |   -256.866765
1-hydroperoxy-N-nitrosodimethylamine   |   -412.699497   |   -412.570771   |   -412.700291
1-hydroxy-1-3-dibutyne   |   -227.449279   |   -227.374602   |   -227.450657
1-hydroxy-1H-imidazole-2-carbonitrile   |   -391.501158   |   -391.386119   |   -391.501084
1-hydroxy-3-4-dihydroquinolin-2-one   |   -550.430037   |   -550.266324   |   -550.42999
1-hydroxyguanidine   |   -279.060204   |   -278.974879   |   -279.059994
1-isocyanato-1-1-2-ethanetriol   |   -470.63854   |   -470.49027   |   -470.638717
1-isocyanato-1-2-2-ethanetriol   |   -470.637422   |   -470.489092   |   -470.637468
1-isocyanato-2-isothiocyanatoethane   |   -735.252685   |   -735.128875   |   -735.253887
1-isopropyl-4-methylbenzene   |   -387.00278   |   -386.885232   |   -387.002834
1-methoxybut-2-yne   |   -268.900788   |   -268.811718   |   -268.900873
1-methoxybutane   |   -271.298436   |   -271.208334   |   -271.298295
1-methoxyethanimine   |   -247.092059   |   -247.011641   |   -247.091912
1-methoxypropane   |   -232.247734   |   -232.169614   |   -232.247602
1-methyl-1H-imidazole   |   -263.96032   |   -263.880327   |   -263.96021
1-methyl-1H-pyrrole   |   -247.946773   |   -247.869754   |   -247.946678
1-methyl-1H-tetrazole   |   -295.917389   |   -295.831914   |   -295.916255
1-methyl-2-nitro-benzene   |   -473.411003   |   -473.269371   |   -473.410752
1-methyl-3-nitro-benzene   |   -473.416298   |   -473.274373   |   -473.416094
1-methyl-4-methylsulfonylbenzene   |   -856.216225   |   -856.004704   |   -856.215569
1-methyl-4-vinylsulfonylbenzene   |   -894.068881   |   -893.846914   |   -894.068629
1-methylcyclohexene   |   -272.171479   |   -272.087956   |   -272.171518
1-methylcyclohexylhydroperoxide   |   -423.043216   |   -422.913896   |   -423.043126
1-methylcyclopentene   |   -233.115366   |   -233.043309   |   -233.115272
1-methylcyclopropene   |   -154.935626   |   -154.884777   |   -154.935617
1-methylethyl_hydroperoxide   |   -268.004933   |   -267.917808   |   -268.004965
1-methylnaphthalene   |   -422.557481   |   -422.433734   |   -422.557013
1-methylpiperazine   |   -305.334743   |   -305.241424   |   -305.334981
1-methylpiperidine   |   -289.335391   |   -289.246088   |   -289.335795
1-methylsulfanylethanimine   |   -569.746304   |   -569.671106   |   -569.745903
1-methylsulfanylethanone   |   -589.607023   |   -589.523409   |   -589.606536
1-methylsulfonylbutane   |   -743.737528   |   -743.555391   |   -743.736772
1-methylsulfonylpropane   |   -704.686523   |   -704.516279   |   -704.685688
1-methylthiobutane   |   -593.967584   |   -593.882063   |   -593.967298
1-nitrobutane   |   -360.93846   |   -360.825418   |   -360.938413
1-nitropentane   |   -399.989348   |   -399.864324   |   -399.989294
1-nitropropan-2-ylnitrite   |   -525.454119   |   -525.292769   |   -525.45415
1-nitropropane   |   -321.887465   |   -321.786404   |   -321.887405
1-nitropyrrole-3-carbonitrile   |   -504.200462   |   -504.049464   |   -504.199987
1-nitroso-2-imidazolidinethione   |   -752.342812   |   -752.220065   |   -752.343712
1-nitrosopyrazolidin-3-one   |   -429.660202   |   -429.531122   |   -429.660176
1999-12-31   |   -388.462136   |   -388.338332   |   -388.462148
1-pentanethiol   |   -593.969842   |   -593.886844   |   -593.970071
1999-12-31   |   -271.309696   |   -271.221897   |   -271.30976
1999-12-31   |   -195.228047   |   -195.164308   |   -195.228136
1-phenylethanimine   |   -362.779519   |   -362.672685   |   -362.779407
1-propanamine   |   -173.367684   |   -173.311276   |   -173.367755
1-propanethiol   |   -515.868794   |   -515.809746   |   -515.869039
1999-12-31   |   -193.208146   |   -193.144335   |   -193.208245
1-propoxypropane   |   -310.354394   |   -310.252359   |   -310.354353
1-propylsulfanylpropane   |   -633.018627   |   -632.921506   |   -633.018441
1-propylsulfonylpropane   |   -782.779825   |   -782.587533   |   -782.779625
1-propyn-1-yl_thiocyanate   |   -605.220085   |   -605.131972   |   -605.220171
1-p-tolylethanone   |   -421.689166   |   -421.561895   |   -421.689193
1-pyrazin-2-ylethanone   |   -414.630228   |   -414.509193   |   -414.630303
1-pyrrolidin-1-ylethanone   |   -363.099958   |   -362.987321   |   -363.100249
1R-1-2-2-trifluoroethoxybenzene   |   -680.500497   |   -680.275738   |   -680.500182
1R-2S-1-2-dimethylcyclohexane   |   -312.401828   |   -312.305797   |   -312.401915
1-sulfanyl-5-6-dihydro-1-3-5-triazine-21H-thione   |   -1075.040772   |   -1074.917027   |   -1075.040531
1-thiazolidine-1-oxide   |   -644.609451   |   -644.489078   |   -644.608417
1-vinylsulfonylethylene   |   -702.289928   |   -702.121164   |   -702.289319
1Z-2-chloroethanimidoylmalononitrile   |   -814.636302   |   -814.516237   |   -814.636227
2-1H-1-2-4-triazol-3-yl-ethenone   |   -391.553806   |   -391.437762   |   -391.553606
2-1H-pyridinone   |   -321.708564   |   -321.610875   |   -321.708347
2-1H-pyrrol-2-yl-1H-pyrrole   |   -416.651511   |   -416.528014   |   -416.650693
2-2-2-trifluoroethanol   |   -450.888786   |   -450.729328   |   -450.888336
2-2-3-3-tetrachlorobutane   |   -1993.110407   |   -1992.99314   |   -1993.110088
2-2-3-3-tetrafluorobutane   |   -552.999847   |   -552.808131   |   -552.999443
2-2-4-trimethylpentane   |   -313.561007   |   -313.460817   |   -313.561032
2-2-5-trimethylhexane   |   -352.614533   |   -352.502448   |   -352.614669
2-2--bifuran   |   -456.303334   |   -456.162592   |   -456.30306
2-2-dichloroethanimidamide   |   -1106.07747   |   -1105.984959   |   -1106.077304
2-2-dichloropropane   |   -1036.200333   |   -1036.127207   |   -1036.200325
2-2-dicyanoacetamide   |   -391.587944   |   -391.471712   |   -391.588252
2-2-dicyanoethanedithioicacid   |   -1056.684249   |   -1056.571876   |   -1056.68418
2-2-difluoro-1-3-dithiolane   |   -1110.04623   |   -1109.898767   |   -1110.046146
2-2-difluoro-2-isocyanatoethane   |   -443.764192   |   -443.614037   |   -443.764643
2-2-dimethyl-1-propanethiol   |   -593.966149   |   -593.884074   |   -593.966166
2-2-dimethylbutane   |   -235.46626   |   -235.389758   |   -235.4664
2-2-dimethylpropane   |   -196.419573   |   -196.355002   |   -196.419752
2-2--disulfanediyldiacetonitrile   |   -1057.891192   |   -1057.772234   |   -1057.890603
2-2-furylcyclopropyl-3H-imidazole   |   -568.439877   |   -568.270707   |   -568.439482
2-2--iminodiacetylenol   |   -357.359542   |   -357.243937   |   -357.361905
2-2--methyliminodiacetylenol   |   -396.401936   |   -396.273651   |   -396.404871
2-2-nitrosoamino-3-sulfanylpropanoic_acid   |   -848.257641   |   -848.101209   |   -848.257697
2-2--oxodiethenone   |   -377.272615   |   -377.151815   |   -377.273465
2-2-oxoethylideneaminooxyethenone   |   -432.308469   |   -432.17433   |   -432.308987
2-3-2--3--dipyrrolopyrrole   |   -470.498728   |   -470.361957   |   -470.498588
2-3-3-trifluoropropene   |   -413.831   |   -413.68507   |   -413.831215
2-3-4-trimethylpentane   |   -313.559432   |   -313.459219   |   -313.55974
2-3-5-6-tetrachlorobenzene-1-4-diol   |   -2216.325268   |   -2216.135468   |   -2216.32317
2-3-6-7-tetraazanaphthalene   |   -447.424744   |   -447.301186   |   -447.424629
2-3-butanedione   |   -304.827042   |   -304.730877   |   -304.827125
2-3-diamino-1-3-butadiene-1-4-dione   |   -412.524792   |   -412.397843   |   -412.525963
2-3-diazabutadiene   |   -186.970365   |   -186.914252   |   -186.969679
2-3-dichloro-1-3-cyclohexadien-5-yne   |   -1147.350571   |   -1147.245915   |   -1147.350332
2-3-dihydro-1-2-3-thiadiazole   |   -584.509444   |   -584.431979   |   -584.509619
2-3-dihydro-1-2-thiazole-1-oxide   |   -643.415161   |   -643.293755   |   -643.413402
2-3-dihydro-1-3-4-thiadiazole-2-thiol   |   -982.088491   |   -981.995434   |   -982.088098
2-3-dihydro-1-3-oxazole   |   -244.589134   |   -244.517441   |   -244.590565
2-3-dihydro-5-methylfuran   |   -268.953661   |   -268.86841   |   -268.953478
