Name   |   Ref (MP2/CBS) (A.U.)   |   Base (MP2/aDZ) (A.U.)   |   ACP_Comp (A.U.)
1-2-3-6-tetrahydropyridine   |   -250.262231   |   -249.91708   |   -250.262049
1-2-3-dithiazolidin-4-imine   |   -983.330147   |   -982.921693   |   -983.329943
1-2-3-oxadiazole   |   -261.745248   |   -261.412159   |   -261.745747
1-2-3-oxathiazole   |   -605.416419   |   -605.062025   |   -605.417547
1-2-3-thiadiazole-23H-carbonitrile   |   -677.626088   |   -677.188751   |   -677.627483
2003-01-02   |   -279.907197   |   -279.551703   |   -279.906228
1-2-3-triazine-1-3-52H-4H-triol   |   -507.665869   |   -507.006713   |   -507.666667
2003-01-02   |   -241.908583   |   -241.595747   |   -241.907763
1-2-3-trichloropropane   |   -1496.375206   |   -1495.93081   |   -1496.373585
1-2-3-trifluorobenzene   |   -529.377844   |   -528.699652   |   -529.377994
1-2-3-trimethylbenzene   |   -349.592728   |   -349.114639   |   -349.591541
1-2-3-trioxolane   |   -303.757351   |   -303.361415   |   -303.757615
1-2-4-5-hexatetraene   |   -231.710593   |   -231.397176   |   -231.710693
1-2-4-5-tetrafluorobenzene   |   -628.553695   |   -627.753662   |   -628.554106
1-2-4-5-tetraoxane   |   -378.89816   |   -378.408481   |   -378.899387
1-2-4-5-tetrazine   |   -295.936706   |   -295.566216   |   -295.934899
1-2-4-dioxazolidine   |   -283.970777   |   -283.595694   |   -283.970698
1-2-4-oxadiazole   |   -261.767748   |   -261.434092   |   -261.769048
1-2-4-thiadiazole   |   -584.399588   |   -584.078856   |   -584.401004
2004-01-02   |   -279.932748   |   -279.576943   |   -279.931967
1-2-4-triazole-5-mercaptomethyl-3-thione   |   -1076.653434   |   -1076.137207   |   -1076.658134
1-2-4-trimethylbenzene   |   -349.593973   |   -349.115847   |   -349.59305
1-2-4-trioxolane   |   -303.839333   |   -303.44101   |   -303.83924
1-2-5-oxadiazole   |   -261.72839   |   -261.396194   |   -261.727811
1-2-5-oxathiazolidine-4-carboxylic_acid   |   -794.97229   |   -794.378768   |   -794.972075
2005-01-02   |   -241.916105   |   -241.603172   |   -241.916014
1-2-6-oxathiazine   |   -643.404099   |   -643.005661   |   -643.40218
1-2-acetylenediol   |   -227.493716   |   -227.193366   |   -227.494489
2000-01-02   |   -155.690236   |   -155.471099   |   -155.690163
1-2-butanediamine   |   -268.735978   |   -268.356332   |   -268.735415
1-2-chloroethyl-1-nitrosourea   |   -891.810206   |   -891.157119   |   -891.80864
1-2-diaminopropane   |   -229.493162   |   -229.168623   |   -229.492254
1-2-dichloro-1-1-2-2-tetrafluoroethane   |   -1394.706476   |   -1393.918173   |   -1394.704971
1-2-dichloro-1-2-dihydropyrimidine   |   -1183.371457   |   -1182.842803   |   -1183.372479
1-2-dichloro-1-cyanoethane   |   -1090.093311   |   -1089.685563   |   -1090.093271
1-2-dichlorobutane   |   -1076.47414   |   -1076.063024   |   -1076.473218
1-2-dichloroethane   |   -997.97923   |   -997.67748   |   -997.978246
1-2-dichloroethyl_hydroperoxide   |   -1148.203677   |   -1147.715071   |   -1148.202622
1-2-dichloropropane   |   -1037.228173   |   -1036.871901   |   -1037.227176
1-2-dicyano-1-2-ethenedithiol   |   -1058.187679   |   -1057.707554   |   -1058.186515
1-2-dicyano-2-hydroxylamino-ethane   |   -394.300841   |   -393.797421   |   -394.300837
1-2-dicyanofluoroethane   |   -363.084374   |   -362.625753   |   -363.085815
1-2-diethoxyethane   |   -386.935029   |   -386.396579   |   -386.934546
1-2-difluoro-3-nitrobenzene   |   -634.517422   |   -633.713589   |   -634.516214
1-2-difluoroethane   |   -278.026877   |   -277.661803   |   -278.0278
1-2-dihydro-3H-1-2-4-triazol-3-ylidenemethanone   |   -355.039643   |   -354.585499   |   -355.039398
1-2-diisocyanatoethane   |   -414.269037   |   -413.735452   |   -414.27188
1-2-dimethoxyethane   |   -308.438949   |   -308.012045   |   -308.438556
1-2-dimethylhydrazine   |   -190.196233   |   -189.926821   |   -190.196636
1-2-divinylbenzene   |   -386.38137   |   -385.866231   |   -386.380987
1-2-ethanediol   |   -229.989468   |   -229.676796   |   -229.989461
1-2-ethanediyl_dicyanate   |   -414.175334   |   -413.643179   |   -414.173383
1-2-fluoroethyl-1-nitrosourea   |   -531.833958   |   -531.148718   |   -531.833245
1-2-furylpyridin-2-one   |   -551.568319   |   -550.854041   |   -551.568685
1-2-furylpyrrole   |   -438.352716   |   -437.775862   |   -438.352041
1-2-naphthalenedione   |   -534.335371   |   -533.653511   |   -534.335296
1-2-oxazole-4-carbonitrile   |   -337.833063   |   -337.407327   |   -337.833727
1-2-pentadiene   |   -194.934073   |   -194.659378   |   -194.934017
1-2-propadiene-1-3-dione   |   -264.409181   |   -264.076008   |   -264.410101
1-2-thiazole-1-oxide   |   -643.450953   |   -643.028218   |   -643.450993
1-2-thiazole-32H-thione   |   -966.089165   |   -965.709347   |   -966.089465
1-2-thiazole-3-carbonitrile   |   -660.473523   |   -660.059487   |   -660.474088
1-2-thiazole-4-carbonitrile   |   -660.474242   |   -660.06067   |   -660.474839
1-2-thienylpyridin-4-one   |   -874.163409   |   -873.466336   |   -874.162399
1-3-2-dithiazole   |   -928.012308   |   -927.673014   |   -928.013167
1-3-2-oxathiazole   |   -605.366311   |   -605.014346   |   -605.366752
1-3-4-oxadiazole   |   -261.778458   |   -261.443113   |   -261.778354
1-3-4-thiadiazolidine-2-5-dithione   |   -1379.87268   |   -1379.405248   |   -1379.874085
2004-01-03   |   -241.923444   |   -241.610516   |   -241.922865
2005-01-03   |   -279.974303   |   -279.617633   |   -279.975782
1-3-5-trifluorobenzene   |   -529.38929   |   -528.711329   |   -529.389723
2005-01-03   |   -343.174811   |   -342.718164   |   -343.173917
2005-01-03   |   -1310.960381   |   -1310.559211   |   -1310.961203
1-3-benzodithiole-2-thione   |   -1461.96431   |   -1461.385114   |   -1461.962485
2000-01-03   |   -155.710806   |   -155.493671   |   -155.710929
1-3-butanediol   |   -308.480232   |   -308.05655   |   -308.480309
1-3-cyclohexadiene   |   -233.009751   |   -232.690047   |   -233.009572
1-3-cyclopentadiene   |   -193.765447   |   -193.500065   |   -193.765101
2000-01-03   |   -263.930016   |   -263.588536   |   -263.930621
1-3-dichlorobutane   |   -1076.474595   |   -1076.06343   |   -1076.473966
1-3-dichloronitropropane   |   -1241.545033   |   -1240.941926   |   -1241.544194
1-3-dichloropropane   |   -1037.227268   |   -1036.870563   |   -1037.226341
1-3-diethylthiourea   |   -704.542255   |   -704.039965   |   -704.543138
1-3-difluoropyrrole   |   -408.103675   |   -407.578444   |   -408.103133
1-3-dihydro-2H-benzimidazole-2-thione   |   -777.060763   |   -776.491406   |   -777.06113
1-3-dihydro-2H-imidazol-2-one   |   -301.078413   |   -300.683371   |   -301.077046
1-3-dihydro-2H-pyrrol-2-one   |   -285.010103   |   -284.633966   |   -285.00995
1-3-dimethylnaphthalene   |   -463.739355   |   -463.1221   |   -463.737744
1-3-dinitrobenzene   |   -640.496501   |   -639.688514   |   -640.494815
2000-01-03   |   -307.262844   |   -306.846671   |   -307.262033
2000-01-03   |   -228.739335   |   -228.433807   |   -228.738667
1-3-dioxolan-2-one   |   -342.014224   |   -341.567224   |   -342.01497
2000-01-03   |   -268.01116   |   -267.650329   |   -268.011322
1-3dioxolo4-5-dpyrimidine   |   -452.281293   |   -451.700446   |   -452.281199
1-3-dithiane-2-thione   |   -1349.006523   |   -1348.56176   |   -1349.007695
1-3-dithiolane-2-thione   |   -1309.769935   |   -1309.380805   |   -1309.769918
1-3-dithiole-2-thione   |   -1308.558383   |   -1308.173629   |   -1308.555968
1-3dithiolo4-5-dpyrimidine   |   -1097.485145   |   -1096.942863   |   -1097.485935
1-3-oxazolidine-2-5-dithione   |   -1041.258001   |   -1040.79159   |   -1041.258965
1-3-pentadiyne   |   -192.482421   |   -192.220495   |   -192.482512
1-3-propanediol   |   -269.231329   |   -268.863079   |   -269.231154
1-3-propanedithiol   |   -914.407082   |   -914.079238   |   -914.407432
1-3-pyridinylethanone   |   -400.341279   |   -399.820141   |   -400.342042
1-3-thiazol-2-yl_thiocyanate   |   -1058.215393   |   -1057.725097   |   -1058.213456
1-3-thiazol-5-ylacetylenethiol   |   -1042.128197   |   -1041.654428   |   -1042.130138
1-3-thiazolidine-2-thione   |   -967.31408   |   -966.929717   |   -967.314557
1-4-butanediol   |   -308.473981   |   -308.049915   |   -308.474646
1-4-butanedithiol   |   -953.651177   |   -953.267936   |   -953.651714
1-4-cyclohexadiene   |   -233.008775   |   -232.688324   |   -233.008337
1-4-diazabicyclo2-2-2octane   |   -344.789559   |   -344.318332   |   -344.787437
1-4-dichlorobutane   |   -1076.469766   |   -1076.05767   |   -1076.468945
1-4-dimethylcyclohexane   |   -313.95036   |   -313.504558   |   -313.949514
1-4-dimethylnaphthalene   |   -463.739186   |   -463.12206   |   -463.737205
1-4-dimethylnorborane   |   -351.991208   |   -351.501154   |   -351.989752
1-4-dimethylpiperazine   |   -345.999037   |   -345.517535   |   -345.997842
2000-01-04   |   -307.253354   |   -306.837543   |   -307.252347
2000-01-04   |   -952.463158   |   -952.084999   |   -952.46379
1-4-naphthalenedione   |   -534.347442   |   -533.665402   |   -534.347113
1-4-pentadiene   |   -194.946903   |   -194.673931   |   -194.947399
1-4-pyridylethanone   |   -400.340843   |   -399.819809   |   -400.34127
1-5-heptadiyne   |   -270.96323   |   -270.589995   |   -270.964123
2000-01-05   |   -234.19081   |   -233.862351   |   -234.191198
1-6-dimethylnaphthalene   |   -463.739245   |   -463.121821   |   -463.737851
1-amino-1-2-dicyanoethene   |   -317.995266   |   -317.591453   |   -317.994443
1-azido-2-chloroethane   |   -702.233504   |   -701.822364   |   -702.232656
1-azido-3-chloro-2-propanol   |   -816.638293   |   -816.078461   |   -816.638138
1-butanamine   |   -213.445797   |   -213.137728   |   -213.445493
1999-12-31   |   -233.317408   |   -232.98737   |   -233.317466
1-buten-3-yne   |   -154.467159   |   -154.256095   |   -154.467629
1999-12-31   |   -156.932908   |   -156.706384   |   -156.933148
1-butoxybutane   |   -390.278275   |   -389.72418   |   -390.278343
1-butylsulfonylbutane   |   -863.205959   |   -862.427878   |   -863.206461
1999-12-31   |   -155.694086   |   -155.473518   |   -155.69452
1-carboxymethylamino-2-diazonioethenolate   |   -544.698828   |   -543.999291   |   -544.697105
1-chloro-1-1-difluoroethane   |   -737.20422   |   -736.74829   |   -737.203634
1-chloro-1-3-butadiene   |   -614.866927   |   -614.559479   |   -614.866814
1-chloro-1-cyano-2-isocyanatoethane   |   -798.239024   |   -797.715437   |   -798.240405
1-chloro-1-ethyl-3-nitrosourea   |   -891.745876   |   -891.091259   |   -891.743508
1-chloro-1-fluoroethane   |   -638.011897   |   -637.678346   |   -638.011549
1-chloro-1-fluoroethene   |   -636.776962   |   -636.449605   |   -636.776956
1-chloro-2-butene   |   -616.09015   |   -615.77505   |   -616.090244
1-chloro-2-ethoxyethane   |   -692.459009   |   -692.039236   |   -692.458699
1-chloro-2-methylbenzene   |   -730.256497   |   -729.799889   |   -730.255936
1-chloro-3-diazo-2-propanone   |   -760.151467   |   -759.67322   |   -760.150318
1-chloro-4-5-dihydro-1H-1-2-3-triazole   |   -702.187712   |   -701.779741   |   -702.187613
1-chloro-4-isothiocyanato-2-butyne   |   -1104.713714   |   -1104.220418   |   -1104.716135
1-chloroallyl_isothiocyanate   |   -1066.71353   |   -1066.271322   |   -1066.715698
1-chlorobutane   |   -617.315872   |   -616.991895   |   -617.315686
1-chloroethylsulfanyliminomethanone   |   -1103.859234   |   -1103.361267   |   -1103.861208
1-chlorohexane   |   -695.802605   |   -695.367471   |   -695.802165
1-chloronaphthalene   |   -844.399758   |   -843.80383   |   -844.398651
1-chloropentane   |   -656.559297   |   -656.17973   |   -656.558867
1-chloropropane   |   -578.072724   |   -577.804282   |   -578.072275
1-chloropyrazole   |   -684.982923   |   -684.594494   |   -684.984464
1-cyano-1-1-difluoroethane   |   -370.158303   |   -369.685153   |   -370.158631
1-cyano-1-2-difluoroethane   |   -370.141959   |   -369.66986   |   -370.143083
1-cyano-2-fluoroethene   |   -269.747249   |   -269.402534   |   -269.748046
1-cyclohexylethanone   |   -387.906664   |   -387.376902   |   -387.906654
1999-12-31   |   -468.777282   |   -468.113719   |   -468.777405
1-dichloroamino-oxy-1-methoxyethene   |   -1241.448121   |   -1240.839849   |   -1241.446706
1-difluoroaminoethanol   |   -408.355983   |   -407.828718   |   -408.355209
1-ethoxy-2-methoxyethane   |   -347.685302   |   -347.202742   |   -347.685306
1-ethoxyethoxyethane   |   -386.950438   |   -386.412603   |   -386.950506
1-ethoxypropane   |   -272.549354   |   -272.16212   |   -272.549273
1-ethyl-1H-imidazole   |   -304.380557   |   -303.970891   |   -304.381297
1-ethyl-2-methylbenzene   |   -349.589428   |   -349.111722   |   -349.589178
1-ethyl-4-methylbenzene   |   -349.589465   |   -349.111293   |   -349.589306
1-ethylnaphthalene   |   -463.734179   |   -463.117253   |   -463.732953
1-ethylsulfanyl-2-methylsulfanyl-ethane   |   -992.894319   |   -992.448349   |   -992.893477
1-ethylsulfinylpropane   |   -670.291404   |   -669.806885   |   -670.290067
1-ethylsulfonylpropane   |   -745.475982   |   -744.863938   |   -745.475864
1H-1-2-4-triazole   |   -241.934195   |   -241.621131   |   -241.934953
1-H-1-2--bipyrrole   |   -418.500284   |   -417.946642   |   -418.499899
1H-3H-7H-xanthine   |   -561.759762   |   -561.042943   |   -561.75964
1H-3H-8H-alloxanthine   |   -561.738482   |   -561.021924   |   -561.738423
1H-3H-9H-alloxanthine   |   -561.730932   |   -561.014492   |   -561.730489
1H-3H-9H-xanthine   |   -561.745375   |   -561.028551   |   -561.744917
1H-7H-hypoxanthine   |   -486.563179   |   -485.943135   |   -486.564321
1H-8H-allopurinol   |   -486.539073   |   -485.91943   |   -486.540324
1H-9H-allopurinol   |   -486.543271   |   -485.92354   |   -486.544346
1H-9H-hypoxanthine   |   -486.561601   |   -485.941532   |   -486.56269
1H-benzimidazole   |   -379.29265   |   -378.79816   |   -379.292516
1-heptanamine   |   -331.175728   |   -330.700686   |   -331.175139
1999-12-31   |   -351.047308   |   -350.550437   |   -351.047263
1999-12-31   |   -274.662973   |   -274.269559   |   -274.663039
1999-12-31   |   -273.424299   |   -273.036882   |   -273.424445
1-hexanamine   |   -291.932444   |   -291.513003   |   -291.931881
1999-12-31   |   -311.804023   |   -311.362747   |   -311.803998
1999-12-31   |   -235.419683   |   -235.081854   |   -235.419775
1999-12-31   |   -234.181015   |   -233.849172   |   -234.181175
1H-imidazole   |   -225.896331   |   -225.598189   |   -225.896353
1H-indene   |   -347.174765   |   -346.714103   |   -347.174222
1H-indole   |   -363.240207   |   -362.760855   |   -363.239376
1H-pyrazin-2-one   |   -339.097185   |   -338.660049   |   -339.096707
1H-pyrazole   |   -225.880217   |   -225.582044   |   -225.879983
1H-pyrazole-1-OS-thioperoxol   |   -698.694519   |   -698.225466   |   -698.696053
1H-pyrimidin-4-one   |   -339.096823   |   -338.659024   |   -339.097438
1H-pyrrol-3-ylhydrazine   |   -320.379985   |   -319.951459   |   -320.380022
1H-pyrrole-3-carboxamide   |   -378.371337   |   -377.875033   |   -378.371097
1H-tetrazol-5-amine   |   -313.238552   |   -312.836698   |   -313.237968
1H-tetrazole   |   -257.940558   |   -257.613136   |   -257.940497
1-hydroperoxy-N-nitrosodimethylamine   |   -414.353799   |   -413.815332   |   -414.352022
1-hydroxy-1-3-dibutyne   |   -228.380061   |   -228.078528   |   -228.380234
1-hydroxy-1H-imidazole-2-carbonitrile   |   -393.113668   |   -392.614368   |   -393.113769
1-hydroxy-3-4-dihydroquinolin-2-one   |   -552.775572   |   -552.055298   |   -552.774936
1-hydroxyguanidine   |   -280.212007   |   -279.840812   |   -280.21232
1-isocyanato-1-1-2-ethanetriol   |   -472.471262   |   -471.859531   |   -472.473244
1-isocyanato-1-2-2-ethanetriol   |   -472.469012   |   -471.85727   |   -472.470138
1-isocyanato-2-isothiocyanatoethane   |   -736.843   |   -736.3298   |   -736.845561
1-isopropyl-4-methylbenzene   |   -388.835026   |   -388.302504   |   -388.834991
1-methoxybut-2-yne   |   -270.078783   |   -269.706325   |   -270.079428
1-methoxybutane   |   -272.544463   |   -272.157401   |   -272.544425
1-methoxyethanimine   |   -248.154527   |   -247.815649   |   -248.154427
1-methoxypropane   |   -233.301403   |   -232.969947   |   -233.301382
1-methyl-1H-imidazole   |   -265.134051   |   -264.779896   |   -265.134639
1-methyl-1H-pyrrole   |   -249.081686   |   -248.742468   |   -249.08173
1-methyl-1H-tetrazole   |   -297.182626   |   -296.799299   |   -297.183329
1-methyl-2-nitro-benzene   |   -475.421594   |   -474.806721   |   -475.420215
1-methyl-3-nitro-benzene   |   -475.424847   |   -474.809365   |   -475.423986
1-methyl-4-methylsulfonylbenzene   |   -858.412383   |   -857.66749   |   -858.412131
1-methyl-4-vinylsulfonylbenzene   |   -896.422972   |   -895.632204   |   -896.422676
1-methylcyclohexene   |   -273.480931   |   -273.097749   |   -273.480736
1-methylcyclohexylhydroperoxide   |   -424.932818   |   -424.357039   |   -424.932304
1-methylcyclopentene   |   -234.230906   |   -233.90221   |   -234.230897
1-methylcyclopropene   |   -155.666059   |   -155.445559   |   -155.666163
1-methylethyl_hydroperoxide   |   -269.144382   |   -268.777285   |   -269.143774
1-methylnaphthalene   |   -424.491023   |   -423.928911   |   -424.489472
1-methylpiperazine   |   -306.760416   |   -306.334507   |   -306.759396
1-methylpiperidine   |   -290.72204   |   -290.313167   |   -290.720382
1-methylsulfanylethanimine   |   -570.747217   |   -570.427359   |   -570.746904
1-methylsulfanylethanone   |   -590.637407   |   -590.295379   |   -590.637261
1-methylsulfonylbutane   |   -745.474621   |   -744.861215   |   -745.474853
1-methylsulfonylpropane   |   -706.231095   |   -705.673105   |   -706.231271
1-methylthiobutane   |   -595.149429   |   -594.780641   |   -595.148999
1-nitrobutane   |   -362.487052   |   -362.003443   |   -362.485845
1-nitropentane   |   -401.73041   |   -401.191209   |   -401.729152
1-nitropropan-2-ylnitrite   |   -527.557013   |   -526.883164   |   -527.555271
1-nitropropane   |   -323.243678   |   -322.815693   |   -323.242585
1-nitropyrrole-3-carbonitrile   |   -506.25953   |   -505.620425   |   -506.258512
1-nitroso-2-imidazolidinethione   |   -754.017924   |   -753.484449   |   -754.01822
1-nitrosopyrazolidin-3-one   |   -431.40422   |   -430.849395   |   -431.403907
1999-12-31   |   -390.290596   |   -389.738135   |   -390.290534
1-pentanethiol   |   -595.149808   |   -594.784649   |   -595.149946
1999-12-31   |   -272.560735   |   -272.175058   |   -272.560743
1999-12-31   |   -196.176385   |   -195.894177   |   -196.176539
1-phenylethanimine   |   -364.420604   |   -363.936165   |   -364.419886
1-propanamine   |   -174.202745   |   -173.950231   |   -174.202408
1-propanethiol   |   -516.66408   |   -516.410019   |   -516.664259
1999-12-31   |   -194.074357   |   -193.800004   |   -194.074446
1-propoxypropane   |   -311.792142   |   -311.34921   |   -311.792195
1-propylsulfanylpropane   |   -634.393849   |   -633.969668   |   -634.393269
1-propylsulfonylpropane   |   -784.713875   |   -784.047273   |   -784.714003
1-propyn-1-yl_thiocyanate   |   -606.31066   |   -605.958763   |   -606.311091
1-p-tolylethanone   |   -423.552531   |   -422.990477   |   -423.552476
1-pyrazin-2-ylethanone   |   -416.37822   |   -415.841952   |   -416.378225
1-pyrrolidin-1-ylethanone   |   -364.713649   |   -364.218544   |   -364.713132
1R-1-2-2-trifluoroethoxybenzene   |   -683.040782   |   -682.157722   |   -683.04031
1R-2S-1-2-dimethylcyclohexane   |   -313.946333   |   -313.500848   |   -313.945453
1-sulfanyl-5-6-dihydro-1-3-5-triazine-21H-thione   |   -1076.641054   |   -1076.120091   |   -1076.642704
1-thiazolidine-1-oxide   |   -645.896808   |   -645.456566   |   -645.89621
1-vinylsulfonylethylene   |   -703.763114   |   -703.222445   |   -703.763029
1Z-2-chloroethanimidoylmalononitrile   |   -816.366034   |   -815.822579   |   -816.366806
2-1H-1-2-4-triazol-3-yl-ethenone   |   -393.158743   |   -392.65777   |   -393.15926
2-1H-pyridinone   |   -323.065039   |   -322.642668   |   -323.065657
2-1H-pyrrol-2-yl-1H-pyrrole   |   -418.517226   |   -417.963809   |   -418.516371
2-2-2-trifluoroethanol   |   -452.40113   |   -451.81674   |   -452.400763
2-2-3-3-tetrachlorobutane   |   -1994.779902   |   -1994.196165   |   -1994.779984
2-2-3-3-tetrafluorobutane   |   -554.91348   |   -554.194923   |   -554.912742
2-2-4-trimethylpentane   |   -315.138513   |   -314.683523   |   -315.138133
2-2-5-trimethylhexane   |   -354.384196   |   -353.873654   |   -354.383632
2-2--bifuran   |   -458.222096   |   -457.622987   |   -458.22165
2-2-dichloroethanimidamide   |   -1107.35002   |   -1106.913293   |   -1107.349712
2-2-dichloropropane   |   -1037.232378   |   -1036.87773   |   -1037.232304
2-2-dicyanoacetamide   |   -393.178274   |   -392.682262   |   -393.179002
2-2-dicyanoethanedithioicacid   |   -1058.182904   |   -1057.706566   |   -1058.183461
2-2-difluoro-1-3-dithiolane   |   -1111.580519   |   -1111.015569   |   -1111.581757
2-2-difluoro-2-isocyanatoethane   |   -445.35621   |   -444.784904   |   -445.358139
2-2-dimethyl-1-propanethiol   |   -595.156576   |   -594.793589   |   -595.156066
2-2-dimethylbutane   |   -236.653707   |   -236.308568   |   -236.653265
2-2-dimethylpropane   |   -197.412172   |   -197.12229   |   -197.41185
2-2--disulfanediyldiacetonitrile   |   -1059.407623   |   -1058.911619   |   -1059.408553
2-2-furylcyclopropyl-3H-imidazole   |   -570.920739   |   -570.171733   |   -570.92024
2-2--iminodiacetylenol   |   -358.782615   |   -358.310922   |   -358.785509
2-2--methyliminodiacetylenol   |   -398.018187   |   -397.491437   |   -398.021712
2-2-nitrosoamino-3-sulfanylpropanoic_acid   |   -850.260455   |   -849.602144   |   -850.259699
2-2--oxodiethenone   |   -378.719376   |   -378.237044   |   -378.719369
2-2-oxoethylideneaminooxyethenone   |   -433.990466   |   -433.439769   |   -433.99115
2-3-2--3--dipyrrolopyrrole   |   -472.582559   |   -471.963503   |   -472.578905
2-3-3-trifluoropropene   |   -415.23519   |   -414.699731   |   -415.235534
2-3-4-trimethylpentane   |   -315.137088   |   -314.681805   |   -315.136432
2-3-5-6-tetrachlorobenzene-1-4-diol   |   -2218.795868   |   -2217.934257   |   -2218.792921
2-3-6-7-tetraazanaphthalene   |   -449.326323   |   -448.760586   |   -449.323614
2-3-butanedione   |   -306.075983   |   -305.672599   |   -306.076164
2-3-diamino-1-3-butadiene-1-4-dione   |   -414.184097   |   -413.652374   |   -414.183698
2-3-diazabutadiene   |   -187.773858   |   -187.527583   |   -187.774448
2-3-dichloro-1-3-cyclohexadien-5-yne   |   -1148.83527   |   -1148.351099   |   -1148.834013
2-3-dihydro-1-2-3-thiadiazole   |   -585.525673   |   -585.19618   |   -585.526567
2-3-dihydro-1-2-thiazole-1-oxide   |   -644.667253   |   -644.233289   |   -644.666007
2-3-dihydro-1-3-4-thiadiazole-2-thiol   |   -983.306435   |   -982.906804   |   -983.307207
2-3-dihydro-1-3-oxazole   |   -245.563802   |   -245.250911   |   -245.561817
2-3-dihydro-5-methylfuran   |   -270.138836   |   -269.769552   |   -270.138583
