Name   |   Ref (HF/aDZ + (C/CBS - C/aDZ)) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_C (A.U.)
3B-69_05c_nitromethane_dimerAC_mol1   |   -487.88445500   |   -487.40579700   |   -487.88226000
3B-69_06a_acetic_acid_dimerAB_mol1   |   -456.14707500   |   -455.68957200   |   -456.14656300
3B-69_06a_acetic_acid_dimerAC_mol3   |   -228.07405700   |   -227.84509000   |   -228.07399300
3B-69_06b_acetic_acid_dimerBC_mol1   |   -456.16039300   |   -455.70270900   |   -456.16019800
3B-69_06c_acetic_acid_dimerAC_mol1   |   -456.14893300   |   -455.69180300   |   -456.14804800
3B-69_06c_acetic_acid_trimer_mol1   |   -684.23329800   |   -683.54870400   |   -684.23205300
3B-69_07a_oxalic_acid_dimerAB_mol1   |   -753.57787100   |   -752.85510700   |   -753.57625300
3B-69_07a_oxalic_acid_dimerAC_mol2   |   -376.78883900   |   -376.42672900   |   -376.78872600
3B-69_07a_oxalic_acid_dimerBC_mol1   |   -753.57682600   |   -752.85312600   |   -753.57553000
3B-69_07b_oxalic_acid_dimerAB_mol3   |   -376.78965800   |   -376.42752500   |   -376.78966700
3B-69_07b_oxalic_acid_dimerBC_mol1   |   -753.58826700   |   -752.86456300   |   -753.58778500
3B-69_07b_oxalic_acid_trimer_mol1   |   -1130.39005600   |   -1129.30492600   |   -1130.38854600
3B-69_07c_oxalic_acid_trimer_mol1   |   -1130.38875800   |   -1129.30389200   |   -1130.38701200
3B-69_08a_vinylene_carbonate_dimerAB_mol1   |   -679.43125800   |   -678.77395000   |   -679.43067400
3B-69_08a_vinylene_carbonate_dimerAB_mol2   |   -339.71355500   |   -339.38455600   |   -339.71373900
3B-69_08b_vinylene_carbonate_dimerBC_mol1   |   -679.42649200   |   -678.76919200   |   -679.42611000
3B-69_08c_vinylene_carbonate_trimer_mol1   |   -1019.15459300   |   -1018.16948500   |   -1019.15251300
3B-69_09a_acetamide_dimerAC_mol1   |   -416.45229700   |   -416.02357500   |   -416.45215800
3B-69_09a_acetamide_dimerAC_mol2   |   -208.22251700   |   -208.00781100   |   -208.22224900
3B-69_09a_acetamide_dimerBC_mol1   |   -416.45611400   |   -416.02728900   |   -416.45549000
3B-69_09c_acetamide_dimerAB_mol1   |   -416.44616200   |   -416.01682500   |   -416.44554200
3B-69_09c_acetamide_trimer_mol1   |   -624.68456100   |   -624.04193300   |   -624.68453200
3B-69_10a_imidazole_dimerAB_mol2   |   -225.07644800   |   -224.84545000   |   -225.07553000
3B-69_10a_imidazole_trimer_mol1   |   -675.23896100   |   -674.54959200   |   -675.23741500
3B-69_10c_imidazole_dimerAB_mol1   |   -450.15382200   |   -449.69186800   |   -450.15198700
3B-69_10c_imidazole_dimerAC_mol1   |   -450.16255700   |   -449.70148800   |   -450.16200400
3B-69_11a_isoxazole_dimerAB_mol2   |   -319.81322700   |   -319.49735900   |   -319.81322900
3B-69_11b_isoxazole_dimerAC_mol1   |   -639.62304400   |   -638.99225700   |   -639.62230800
3B-69_12a_pyrazole_dimerAB_mol1   |   -450.11700000   |   -449.65540800   |   -450.11683400
3B-69_12a_pyrazole_dimerAB_mol3   |   -225.05594300   |   -224.82464500   |   -225.05534100
3B-69_12a_pyrazole_dimerAC_mol1   |   -450.11881100   |   -449.65724400   |   -450.11866300
3B-69_12a_pyrazole_dimerBC_mol1   |   -450.10983400   |   -449.64905600   |   -450.10947900
3B-69_12b_pyrazole_dimerAC_mol1   |   -450.10832800   |   -449.64701200   |   -450.10649800
3B-69_13a_triazine_dimerAB_mol1   |   -558.01646700   |   -557.46422500   |   -558.01845700
3B-69_13a_triazine_dimerAB_mol2   |   -279.00920900   |   -278.73206200   |   -279.00964700
3B-69_13a_triazine_dimerBC_mol1   |   -558.01830300   |   -557.46410600   |   -558.01885700
3B-69_13a_triazine_trimer_mol1   |   -837.02342100   |   -836.19653400   |   -837.02681400
3B-69_13b_triazine_trimer_mol1   |   -837.02852900   |   -836.19994100   |   -837.02985200
3B-69_13c_triazine_dimerAC_mol1   |   -558.01999600   |   -557.46682700   |   -558.02099500
3B-69_14a_cyanoacetamide_dimerAC_mol3   |   -300.04138300   |   -299.74368200   |   -300.04119100
3B-69_14a_cyanoacetamide_dimerBC_mol1   |   -600.09195100   |   -599.49774800   |   -600.09140200
3B-69_14a_cyanoacetamide_trimer_mol1   |   -900.12195100   |   -899.23342000   |   -900.12102300
3B-69_14b_cyanoacetamide_dimerAB_mol1   |   -600.07543600   |   -599.48199400   |   -600.07470900
3B-69_14b_cyanoacetamide_dimerAC_mol1   |   -600.08950700   |   -599.49532300   |   -600.08874600
3B-69_14b_cyanoacetamide_trimer_mol1   |   -900.14594400   |   -899.25639200   |   -900.14499800
3B-69_15a_cyanoguanidine_dimerAB_mol2   |   -296.20391200   |   -295.90557500   |   -296.20194100
3B-69_15a_cyanoguanidine_trimer_mol1   |   -888.65512900   |   -887.76288700   |   -888.65241800
3B-69_15b_cyanoguanidine_dimerAC_mol1   |   -592.41165300   |   -591.81682100   |   -592.40791200
3B-69_15b_cyanoguanidine_dimerBC_mol1   |   -592.39553500   |   -591.80011400   |   -592.39176900
3B-69_15c_cyanoguanidine_dimerAB_mol1   |   -592.40513600   |   -591.80941900   |   -592.40129500
3B-69_16a_triazolidinedione_dimerAB_mol3   |   -391.01198200   |   -390.62701100   |   -391.01293300
3B-69_16a_triazolidinedione_dimerAC_mol1   |   -782.02346400   |   -781.25376000   |   -782.02489300
3B-69_16a_triazolidinedione_dimerBC_mol1   |   -782.01320200   |   -781.24660600   |   -782.01490700
3B-69_16b_triazolidinedione_dimerAB_mol1   |   -782.02725000   |   -781.25826700   |   -782.02860200
3B-69_16b_triazolidinedione_dimerAC_mol1   |   -782.04216600   |   -781.27300500   |   -782.04385500
3B-69_16b_triazolidinedione_dimerBC_mol1   |   -782.03154000   |   -781.26221200   |   -782.03306000
3B-69_17a_oxazolidinone_dimerBC_mol1   |   -642.15396900   |   -641.50933400   |   -642.15265900
3B-69_17b_oxazolidinone_dimerAB_mol1   |   -642.15318500   |   -641.50830200   |   -642.15327500
3B-69_17b_oxazolidinone_trimer_mol1   |   -963.23572200   |   -962.27155400   |   -963.23488500
3B-69_17c_oxazolidinone_dimerAC_mol1   |   -642.15641600   |   -641.51311900   |   -642.15553400
3B-69_17c_oxazolidinone_dimerBC_mol1   |   -642.15066600   |   -641.50514300   |   -642.14996100
3B-69_18a_succinic_anhydride_dimerAC_mol1   |   -757.69019300   |   -756.94879300   |   -757.69090100
3B-69_18a_succinic_anhydride_dimerBC_mol3   |   -378.84275300   |   -378.47123300   |   -378.84383700
3B-69_18b_succinic_anhydride_dimerBC_mol1   |   -757.68500600   |   -756.94198800   |   -757.68689800
3B-69_19a_benzene_dimerAB_mol1   |   -461.93970300   |   -461.45620200   |   -461.93918200
3B-69_19a_benzene_dimerAC_mol3   |   -230.97077800   |   -230.72822100   |   -230.97038300
3B-69_19a_benzene_trimer_mol1   |   -692.90480600   |   -692.18297200   |   -692.90439300
3B-69_19c_benzene_dimerAB_mol1   |   -461.94161300   |   -461.45697400   |   -461.94074400
3B-69_20a_maleic_acid_dimerAC_mol2   |   -453.76966200   |   -453.32681900   |   -453.76939100
3B-69_20b_maleic_acid_dimerAB_mol1   |   -907.55259900   |   -906.66748300   |   -907.55173800
3B-69_20c_maleic_acid_dimerAB_mol1   |   -907.52947500   |   -906.64711900   |   -907.52752700
3B-69_20c_maleic_acid_trimer_mol1   |   -1361.28777700   |   -1359.96635100   |   -1361.28363200
3B-69_21a_p-benzoquinone_dimerAB_mol2   |   -379.65626200   |   -379.28311800   |   -379.65649500
3B-69_21a_p-benzoquinone_trimer_mol1   |   -1138.96765800   |   -1137.85486400   |   -1138.96637500
3B-69_21b_p-benzoquinone_trimer_mol1   |   -1138.97546100   |   -1137.85957400   |   -1138.97522800
3B-69_23a_cyclobutylfuran_dimerAB_mol1   |   -611.62009000   |   -610.99099100   |   -611.61680600
3B-69_23a_cyclobutylfuran_dimerAB_mol2   |   -305.81116200   |   -305.49568800   |   -305.80964200
3B-69_23a_cyclobutylfuran_dimerAC_mol1   |   -611.61765300   |   -610.98965200   |   -611.61441000
3B-69_23a_cyclobutylfuran_trimer_mol1   |   -917.42216400   |   -916.48361700   |   -917.41682900
3B-69_23b_cyclobutylfuran_dimerBC_mol1   |   -611.61876900   |   -610.99008500   |   -611.61525100
A21x12_01_water-ammonia_1p3_mol1   |   -132.39416500   |   -132.25125600   |   -132.39222900
A21x12_01_water-ammonia_1p5_mol2   |   -76.11988300   |   -76.04090200   |   -76.11950100
A21x12_01_water-ammonia_1p6_mol3   |   -56.26949700   |   -56.20537200   |   -56.26784900
A21x12_01_water-ammonia_1p7_mol1   |   -132.39110700   |   -132.24803300   |   -132.38902700
A21x12_01_water-ammonia_2p0_mol1   |   -132.39030900   |   -132.24721600   |   -132.38824600
A21x12_02_water-dimer_1p3_mol1   |   -152.24424800   |   -152.08634500   |   -152.24371700
A21x12_02_water-dimer_1p4_mol1   |   -152.24342400   |   -152.08546400   |   -152.24282800
A21x12_02_water-dimer_1p6_mol1   |   -152.24234500   |   -152.08430900   |   -152.24166600
A21x12_03_HCN-dimer_0p9_mol1   |   -185.95321500   |   -185.77448800   |   -185.95135300
A21x12_03_HCN-dimer_0p9_mol2   |   -92.97677300   |   -92.88728100   |   -92.97621900
A21x12_03_HCN-dimer_1p1_mol3   |   -92.97637200   |   -92.88698800   |   -92.97575600
A21x12_03_HCN-dimer_1p2_mol1   |   -185.95782500   |   -185.77916000   |   -185.95644000
A21x12_03_HCN-dimer_1p4_mol1   |   -185.95579900   |   -185.77701700   |   -185.95448400
A21x12_03_HCN-dimer_1p5_mol1   |   -185.95522500   |   -185.77641500   |   -185.95394400
A21x12_03_HCN-dimer_1p9_mol1   |   -185.95408100   |   -185.77523400   |   -185.95288400
A21x12_05_ammonia-dimer_0p9_mol1   |   -112.53819000   |   -112.40953000   |   -112.53659000
A21x12_05_ammonia-dimer_1p0_mol1   |   -112.54168600   |   -112.41340300   |   -112.53899300
A21x12_05_ammonia-dimer_1p5_mol1   |   -112.53997700   |   -112.41181200   |   -112.53657400
A21x12_05_ammonia-dimer_1p9_mol1   |   -112.53934500   |   -112.41112300   |   -112.53592800
A21x12_06_HF-methane_1p2_mol2   |   -40.25020700   |   -40.19956400   |   -40.24971000
A21x12_07_ammonia-methane_1p2_mol1   |   -96.52005900   |   -96.40540400   |   -96.51799800
A21x12_08_water-methane_1p8_mol1   |   -116.37077100   |   -116.24104300   |   -116.36991100
A21x12_09_formaldehyde-dimer_0p9_mol3   |   -113.99684000   |   -113.88485000   |   -113.99779000
A21x12_09_formaldehyde-dimer_1p1_mol1   |   -227.99904100   |   -227.77506300   |   -228.00036300
A21x12_09_formaldehyde-dimer_1p3_mol1   |   -227.99755400   |   -227.77368700   |   -227.99925100
A21x12_09_formaldehyde-dimer_1p7_mol1   |   -227.99537900   |   -227.77144800   |   -227.99719100
A21x12_10_water-ethene_0p9_mol1   |   -154.24834200   |   -154.08268600   |   -154.24886300
A21x12_10_water-ethene_1p1_mol1   |   -154.25249800   |   -154.08714200   |   -154.25247400
A21x12_10_water-ethene_1p3_mol2   |   -78.13021700   |   -78.04350800   |   -78.13014500
A21x12_10_water-ethene_1p6_mol1   |   -154.25114900   |   -154.08546600   |   -154.25072100
A21x12_11_formaldehyde-ethene_1p2_mol1   |   -192.12812900   |   -191.92961400   |   -192.12889500
A21x12_11_formaldehyde-ethene_1p9_mol1   |   -192.12745000   |   -191.92874300   |   -192.12829000
A21x12_12_ethyne-dimer_1p1_mol1   |   -153.81830300   |   -153.65793100   |   -153.81793500
A21x12_12_ethyne-dimer_1p3_mol2   |   -76.90865900   |   -76.82822100   |   -76.90833400
A21x12_13_ammonia-ethene_1p3_mol1   |   -134.40026200   |   -134.24957500   |   -134.39860700
A21x12_14_ethene-dimer_1p1_mol1   |   -156.26009700   |   -156.08711500   |   -156.26012000
A21x12_14_ethene-dimer_1p6_mol1   |   -156.26063400   |   -156.08722500   |   -156.26054500
A21x12_15_methane-ethene_1p5_mol1   |   -118.38059000   |   -118.24324300   |   -118.38010900
A21x12_16_borane-methane_0p9_mol1   |   -66.66664200   |   -66.58536400   |   -66.66668600
A21x12_16_borane-methane_0p9_mol3   |   -26.42145400   |   -26.39121500   |   -26.42217700
A21x12_16_borane-methane_1p0_mol1   |   -66.67009300   |   -66.58929300   |   -66.66977400
A21x12_16_borane-methane_1p1_mol1   |   -66.67124800   |   -66.59064600   |   -66.67094700
A21x12_16_borane-methane_1p2_mol1   |   -66.67158300   |   -66.59103200   |   -66.67145000
A21x12_17_methane-ethane_0p9_mol3   |   -79.33222800   |   -79.23727700   |   -79.33220200
A21x12_17_methane-ethane_1p0_mol1   |   -119.58118000   |   -119.43613500   |   -119.58055000
A21x12_17_methane-ethane_1p2_mol1   |   -119.58218100   |   -119.43695100   |   -119.58164200
A21x12_18_methane-ethane_0p9_mol1   |   -119.57872800   |   -119.43362000   |   -119.57790000
A21x12_19_methane-dimer_0p9_mol1   |   -80.49812100   |   -80.39710300   |   -80.49689500
A21x12_19_methane-dimer_1p1_mol1   |   -80.50023400   |   -80.39922400   |   -80.49913900
A21x12_19_methane-dimer_1p7_mol1   |   -80.50052300   |   -80.39926800   |   -80.49956500
ACHC_11_dimer_mol1   |   -858.10544300   |   -857.25342300   |   -858.10277600
ACHC_11_dimer_mol3   |   -393.06516400   |   -392.67232300   |   -393.06420800
ACHC_12_dimer_mol1   |   -858.10573200   |   -857.25368100   |   -858.10295900
ACHC_13_dimer_mol2   |   -465.04923800   |   -464.58452000   |   -465.04667600
ACHC_1_dimer_mol1   |   -858.08495100   |   -857.23508700   |   -858.08227900
ACHC_21_dimer_mol1   |   -858.10249100   |   -857.25024900   |   -858.10006100
ACHC_23_dimer_mol1   |   -858.10375500   |   -857.25096900   |   -858.10124600
ACHC_52_dimer_mol1   |   -858.10711200   |   -857.25424500   |   -858.10475300
ACHC_8_dimer_mol1   |   -858.11325600   |   -857.25705400   |   -858.10857800
ACHC_9_dimer_mol1   |   -858.10324700   |   -857.25127800   |   -858.10099400
AlcoholCONF_1_2_mol1   |   -115.18242000   |   -115.05986800   |   -115.18252200
AlcoholCONF_1_2_mol2   |   -115.18423700   |   -115.06168400   |   -115.18429800
AlcoholCONF_3_4_mol1   |   -193.35793200   |   -193.14716200   |   -193.35784900
AlcoholCONF_3_4_mol2   |   -193.36012600   |   -193.14920100   |   -193.35995900
AlcoholCONF_3_5_mol1   |   -193.35392600   |   -193.14301200   |   -193.35342500
AlcoholCONF_4_13_mol1   |   -193.34630400   |   -193.13527300   |   -193.34570700
AlcoholCONF_4_15_mol1   |   -193.35537600   |   -193.14432700   |   -193.35521800
AlcoholCONF_4_20_mol1   |   -193.34959200   |   -193.13852800   |   -193.34902700
AlcoholCONF_4_5_mol1   |   -193.35324800   |   -193.14209900   |   -193.35303900
AlkAtom19_12_mol1   |   -274.74328000   |   -274.43023000   |   -274.74281000
AlkAtom19_16_mol1   |   -274.74026800   |   -274.42825000   |   -274.73976300
AlkIsod14_6_mol2   |   -313.82755400   |   -313.47041900   |   -313.82719600
AlkIsomer11_2_mol1   |   -196.57875600   |   -196.35276700   |   -196.57823300
AlkIsomer11_3_mol1   |   -196.58031800   |   -196.35500200   |   -196.57981600
AlkIsomer11_6_mol1   |   -235.65732200   |   -235.38822400   |   -235.65647900
AlkIsomer11_7_mol1   |   -235.65876700   |   -235.38932300   |   -235.65816600
ANI1ccx_1001_conf3_mol2   |   -488.38295500   |   -487.87836400   |   -488.38407100
ANI1ccx_1010_conf10_mol2   |   -570.12975100   |   -569.55337500   |   -570.13033800
ANI1ccx_1023_conf1_mol1   |   -618.44486700   |   -617.81732500   |   -618.44381700
ANI1ccx_1023_conf3_mol1   |   -618.44074100   |   -617.81354900   |   -618.43900800
ANI1ccx_1023_conf7_mol2   |   -618.44979700   |   -617.82221100   |   -618.44828000
ANI1ccx_1029_conf4_mol2   |   -530.22225100   |   -529.68140500   |   -530.22232600
ANI1ccx_102_conf1_mol1   |   -801.83246100   |   -800.99270900   |   -801.82910200
ANI1ccx_1034_conf2_mol1   |   -639.46951000   |   -638.81794300   |   -639.46689900
ANI1ccx_1064_conf8_mol1   |   -524.53936700   |   -524.03855400   |   -524.54096900
ANI1ccx_1075_conf2_mol2   |   -545.41271600   |   -544.88667100   |   -545.41216800
ANI1ccx_1081_conf2_mol1   |   -463.81495200   |   -463.36201500   |   -463.81327400
ANI1ccx_1088_conf1_mol1   |   -525.71687100   |   -525.20204100   |   -525.71785000
ANI1ccx_1089_conf1_mol2   |   -600.44937700   |   -599.86549900   |   -600.44745100
