Name   |   Ref (HF/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_HF (A.U.)
S66by10_28_1.1_dimer   |   -643.453366   |   -643.259138   |   -643.453492
S66by10_28_1.25_dimer   |   -643.45514   |   -643.260152   |   -643.455053
S66by10_29_0.7_dimer   |   -659.257589   |   -659.062776   |   -659.257086
S66by10_29_0.8_dimer   |   -659.387073   |   -659.191959   |   -659.386846
S66by10_29_0.95_dimer   |   -659.443896   |   -659.24758   |   -659.44397
S66by10_29_0.9_dimer   |   -659.433818   |   -659.237895   |   -659.433757
S66by10_29_1.05_dimer   |   -659.452569   |   -659.25559   |   -659.452822
S66by10_29_1.0_dimer   |   -659.449509   |   -659.252843   |   -659.449698
S66by10_29_1.1_dimer   |   -659.454171   |   -659.256906   |   -659.454421
S66by10_29_1.25_dimer   |   -659.455349   |   -659.257433   |   -659.45536
S66by10_2_0.7_dimer   |   -191.153267   |   -191.087373   |   -191.153027
S66by10_2_0.8_dimer   |   -191.167346   |   -191.101692   |   -191.167195
S66by10_2_0.95_dimer   |   -191.17412   |   -191.108549   |   -191.174067
S66by10_2_0.9_dimer   |   -191.172951   |   -191.107385   |   -191.172863
S66by10_2_1.05_dimer   |   -191.174807   |   -191.109188   |   -191.174852
S66by10_2_1.5_dimer   |   -191.171893   |   -191.106021   |   -191.172268
S66by10_2_2.0_dimer   |   -191.169989   |   -191.104014   |   -191.170433
S66by10_30_0.7_dimer   |   -308.793609   |   -308.699049   |   -308.793706
S66by10_30_0.8_dimer   |   -308.838613   |   -308.743816   |   -308.838952
S66by10_30_0.95_dimer   |   -308.860723   |   -308.76501   |   -308.86078
S66by10_30_0.9_dimer   |   -308.856441   |   -308.761054   |   -308.856617
S66by10_30_1.05_dimer   |   -308.865067   |   -308.76885   |   -308.864942
S66by10_30_1.0_dimer   |   -308.863392   |   -308.767392   |   -308.863343
S66by10_30_1.1_dimer   |   -308.866127   |   -308.769766   |   -308.865967
S66by10_30_1.25_dimer   |   -308.867556   |   -308.770994   |   -308.867365
S66by10_30_2.0_dimer   |   -308.868548   |   -308.771717   |   -308.868335
S66by10_31_0.7_dimer   |   -490.670224   |   -490.518605   |   -490.66979
S66by10_31_0.8_dimer   |   -490.705313   |   -490.553414   |   -490.705031
S66by10_31_0.95_dimer   |   -490.723403   |   -490.570907   |   -490.723337
S66by10_31_0.9_dimer   |   -490.719858   |   -490.567558   |   -490.719711
S66by10_31_1.05_dimer   |   -490.726903   |   -490.57408   |   -490.727
S66by10_31_1.0_dimer   |   -490.725584   |   -490.572913   |   -490.725602
S66by10_31_1.1_dimer   |   -490.727677   |   -490.574726   |   -490.727837
S66by10_32_0.7_dimer   |   -489.452258   |   -489.300428   |   -489.451756
S66by10_32_0.8_dimer   |   -489.490033   |   -489.338021   |   -489.489385
S66by10_32_0.95_dimer   |   -489.508821   |   -489.356337   |   -489.508198
S66by10_32_0.9_dimer   |   -489.505267   |   -489.352936   |   -489.504609
S66by10_32_1.05_dimer   |   -489.512074   |   -489.359359   |   -489.511557
S66by10_32_1.0_dimer   |   -489.510903   |   -489.358291   |   -489.510328
S66by10_32_1.1_dimer   |   -489.512685   |   -489.359885   |   -489.512223
S66by10_33_0.7_dimer   |   -324.805602   |   -324.708023   |   -324.80572
S66by10_33_0.8_dimer   |   -324.841232   |   -324.743408   |   -324.841456
S66by10_33_0.95_dimer   |   -324.860196   |   -324.761693   |   -324.860335
S66by10_33_0.9_dimer   |   -324.856377   |   -324.758106   |   -324.856551
S66by10_33_1.05_dimer   |   -324.864198   |   -324.765336   |   -324.864302
S66by10_33_1.0_dimer   |   -324.862637   |   -324.763933   |   -324.862752
S66by10_33_1.1_dimer   |   -324.865198   |   -324.766219   |   -324.865303
S66by10_33_1.25_dimer   |   -324.866532   |   -324.767363   |   -324.866628
S66by10_34_0.7_dimer   |   -392.768143   |   -392.639521   |   -392.768504
S66by10_34_0.8_dimer   |   -392.808515   |   -392.679479   |   -392.808746
S66by10_34_0.95_dimer   |   -392.83085   |   -392.701206   |   -392.8307
S66by10_34_0.9_dimer   |   -392.826252   |   -392.696801   |   -392.826165
S66by10_34_1.05_dimer   |   -392.835557   |   -392.705566   |   -392.835478
S66by10_34_1.0_dimer   |   -392.833734   |   -392.70391   |   -392.833592
S66by10_34_1.1_dimer   |   -392.836712   |   -392.706568   |   -392.836723
S66by10_34_1.25_dimer   |   -392.838214   |   -392.707725   |   -392.838527
S66by10_34_1.5_dimer   |   -392.83869   |   -392.707899   |   -392.839235
S66by10_35_0.7_dimer   |   -392.780317   |   -392.652338   |   -392.780799
S66by10_35_0.8_dimer   |   -392.815118   |   -392.686639   |   -392.815697
S66by10_35_0.95_dimer   |   -392.833396   |   -392.704205   |   -392.83371
S66by10_35_0.9_dimer   |   -392.829751   |   -392.700775   |   -392.830123
S66by10_36_0.7_dimer   |   -392.810099   |   -392.682241   |   -392.810617
S66by10_37_0.7_dimer   |   -391.608092   |   -391.484049   |   -391.608083
S66by10_37_0.8_dimer   |   -391.640878   |   -391.516595   |   -391.641119
S66by10_37_0.95_dimer   |   -391.658484   |   -391.533678   |   -391.658616
S66by10_37_0.9_dimer   |   -391.65488   |   -391.530263   |   -391.655041
S66by10_37_1.05_dimer   |   -391.661999   |   -391.536875   |   -391.662195
S66by10_37_1.0_dimer   |   -391.660656   |   -391.535679   |   -391.660801
S66by10_37_1.1_dimer   |   -391.662841   |   -391.537592   |   -391.663105
S66by10_37_1.25_dimer   |   -391.663938   |   -391.538423   |   -391.664397
S66by10_38_0.7_dimer   |   -390.433204   |   -390.312759   |   -390.433083
S66by10_38_0.8_dimer   |   -390.465427   |   -390.344676   |   -390.465346
S66by10_38_0.95_dimer   |   -390.482978   |   -390.361749   |   -390.482654
S66by10_38_0.9_dimer   |   -390.479506   |   -390.358417   |   -390.479225
S66by10_38_1.05_dimer   |   -390.486966   |   -390.3655   |   -390.486742
S66by10_38_1.0_dimer   |   -390.485428   |   -390.36407   |   -390.485128
S66by10_38_1.1_dimer   |   -390.487897   |   -390.366339   |   -390.487778
S66by10_38_1.25_dimer   |   -390.489034   |   -390.367252   |   -390.489199
S66by10_39_0.7_dimer   |   -425.954146   |   -425.826389   |   -425.954445
S66by10_39_0.8_dimer   |   -426.007216   |   -425.879161   |   -426.007457
S66by10_39_0.95_dimer   |   -426.03424   |   -425.90563   |   -426.034332
S66by10_39_0.9_dimer   |   -426.028976   |   -425.900578   |   -426.029123
S66by10_39_1.05_dimer   |   -426.039705   |   -425.9106   |   -426.039692
S66by10_39_1.0_dimer   |   -426.037605   |   -425.908755   |   -426.037642
S66by10_39_1.1_dimer   |   -426.040955   |   -425.911601   |   -426.0409
S66by10_39_1.25_dimer   |   -426.042407   |   -425.912483   |   -426.0423
S66by10_39_1.5_dimer   |   -426.042718   |   -425.912383   |   -426.042656
S66by10_3_0.7_dimer   |   -171.314219   |   -171.256684   |   -171.313955
S66by10_3_0.8_dimer   |   -171.3293   |   -171.271654   |   -171.329384
S66by10_3_1.05_dimer   |   -171.33751   |   -171.27976   |   -171.33787
S66by10_40_0.7_dimer   |   -427.152213   |   -427.020423   |   -427.152412
S66by10_40_0.8_dimer   |   -427.190894   |   -427.058911   |   -427.19133
S66by10_40_0.95_dimer   |   -427.21141   |   -427.078922   |   -427.211846
S66by10_40_0.9_dimer   |   -427.20732   |   -427.07504   |   -427.207796
S66by10_40_1.05_dimer   |   -427.215444   |   -427.082462   |   -427.215746
S66by10_40_1.0_dimer   |   -427.213915   |   -427.081189   |   -427.214291
S66by10_40_1.1_dimer   |   -427.216369   |   -427.083133   |   -427.216594
S66by10_40_1.25_dimer   |   -427.217451   |   -427.083681   |   -427.21758
S66by10_40_1.5_dimer   |   -427.217643   |   -427.08354   |   -427.2178
S66by10_41_0.7_dimer   |   -608.994747   |   -608.805873   |   -608.993754
S66by10_41_0.8_dimer   |   -609.042788   |   -608.853516   |   -609.042263
S66by10_41_0.95_dimer   |   -609.068138   |   -608.878116   |   -609.067788
S66by10_41_0.9_dimer   |   -609.063069   |   -608.873291   |   -609.062667
S66by10_41_1.05_dimer   |   -609.073328   |   -608.882878   |   -609.073149
S66by10_41_1.0_dimer   |   -609.071328   |   -608.881082   |   -609.07105
S66by10_41_1.1_dimer   |   -609.074745   |   -608.884072   |   -609.074698
S66by10_41_1.25_dimer   |   -609.076146   |   -608.884937   |   -609.076367
S66by10_42_0.7_dimer   |   -607.815403   |   -607.630823   |   -607.814499
S66by10_42_0.8_dimer   |   -607.867838   |   -607.682838   |   -607.867395
S66by10_42_0.95_dimer   |   -607.894022   |   -607.70825   |   -607.893693
S66by10_42_0.9_dimer   |   -607.888945   |   -607.70343   |   -607.8886
S66by10_42_1.05_dimer   |   -607.898949   |   -607.712716   |   -607.898714
S66by10_42_1.0_dimer   |   -607.897091   |   -607.711079   |   -607.896799
S66by10_42_1.1_dimer   |   -607.900068   |   -607.713639   |   -607.899897
S66by10_42_1.25_dimer   |   -607.901389   |   -607.714515   |   -607.901423
S66by10_42_1.5_dimer   |   -607.9017   |   -607.714432   |   -607.901873
S66by10_43_0.7_dimer   |   -609.005968   |   -608.817134   |   -609.005001
S66by10_43_0.8_dimer   |   -609.050117   |   -608.860989   |   -609.049532
S66by10_43_0.9_dimer   |   -609.067321   |   -608.877782   |   -609.066939
S66by10_43_1.0_dimer   |   -609.073692   |   -608.883741   |   -609.073552
S66by10_43_1.25_dimer   |   -609.07667   |   -608.885962   |   -609.076985
S66by10_44_0.7_dimer   |   -274.453269   |   -274.361697   |   -274.453583
S66by10_44_0.8_dimer   |   -274.474866   |   -274.383115   |   -274.475075
S66by10_44_0.95_dimer   |   -274.48632   |   -274.394265   |   -274.486247
S66by10_44_0.9_dimer   |   -274.484016   |   -274.392055   |   -274.483992
S66by10_44_1.05_dimer   |   -274.488621   |   -274.39643   |   -274.488599
S66by10_44_1.0_dimer   |   -274.48774   |   -274.395609   |   -274.48767
S66by10_44_1.25_dimer   |   -274.489862   |   -274.397503   |   -274.490118
S66by10_45_0.7_dimer   |   -273.227976   |   -273.136595   |   -273.227877
S66by10_45_0.8_dimer   |   -273.256151   |   -273.164626   |   -273.255826
S66by10_45_0.95_dimer   |   -273.270012   |   -273.178228   |   -273.269551
S66by10_45_0.9_dimer   |   -273.267336   |   -273.175633   |   -273.266872
S66by10_45_1.05_dimer   |   -273.272625   |   -273.180698   |   -273.272247
S66by10_45_1.0_dimer   |   -273.271638   |   -273.17978   |   -273.27121
S66by10_45_1.25_dimer   |   -273.273913   |   -273.181772   |   -273.273685
S66by10_46_0.7_dimer   |   -443.493466   |   -443.350201   |   -443.493231
S66by10_46_0.8_dimer   |   -443.520135   |   -443.376505   |   -443.519998
S66by10_46_0.95_dimer   |   -443.535769   |   -443.391537   |   -443.535561
S66by10_46_0.9_dimer   |   -443.532447   |   -443.388414   |   -443.532249
S66by10_46_1.05_dimer   |   -443.539404   |   -443.394821   |   -443.539263
S66by10_46_1.0_dimer   |   -443.537962   |   -443.393546   |   -443.537775
S66by10_46_1.1_dimer   |   -443.540341   |   -443.395609   |   -443.540271
S66by10_46_1.25_dimer   |   -443.541561   |   -443.39646   |   -443.541722
S66by10_47_0.7_dimer   |   -461.53002   |   -461.393228   |   -461.529809
S66by10_47_0.8_dimer   |   -461.569971   |   -461.433005   |   -461.569813
S66by10_47_0.9_dimer   |   -461.586632   |   -461.449433   |   -461.586478
S66by10_47_1.0_dimer   |   -461.593116   |   -461.455571   |   -461.592849
S66by10_48_0.7_dimer   |   -493.538977   |   -493.396229   |   -493.538397
S66by10_48_0.8_dimer   |   -493.57186   |   -493.429055   |   -493.57156
S66by10_48_1.0_dimer   |   -493.591515   |   -493.448299   |   -493.591368
S66by10_48_1.1_dimer   |   -493.59352   |   -493.450031   |   -493.593364
S66by10_49_0.7_dimer   |   -477.528887   |   -477.389331   |   -477.52884
S66by10_49_0.8_dimer   |   -477.569309   |   -477.429625   |   -477.56932
S66by10_49_0.9_dimer   |   -477.586145   |   -477.446271   |   -477.586202
S66by10_49_1.0_dimer   |   -477.592614   |   -477.452435   |   -477.592584
S66by10_49_1.25_dimer   |   -477.595513   |   -477.454455   |   -477.595276
S66by10_4_0.7_dimer   |   -323.174563   |   -323.068698   |   -323.174827
S66by10_4_0.8_dimer   |   -323.190092   |   -323.084353   |   -323.190191
S66by10_4_0.95_dimer   |   -323.197661   |   -323.091993   |   -323.197622
S66by10_4_0.9_dimer   |   -323.196353   |   -323.090684   |   -323.196351
S66by10_4_1.25_dimer   |   -323.196839   |   -323.091043   |   -323.196923
S66by10_50_0.7_dimer   |   -307.602993   |   -307.508728   |   -307.603356
S66by10_50_0.8_dimer   |   -307.635038   |   -307.540515   |   -307.635167
S66by10_50_0.95_dimer   |   -307.651018   |   -307.55628   |   -307.651065
S66by10_50_0.9_dimer   |   -307.648036   |   -307.553379   |   -307.648127
S66by10_50_1.05_dimer   |   -307.653571   |   -307.558588   |   -307.653479
S66by10_50_1.0_dimer   |   -307.652684   |   -307.557839   |   -307.652669
S66by10_51_0.7_dimer   |   -153.691405   |   -153.638508   |   -153.69134
S66by10_51_0.8_dimer   |   -153.703799   |   -153.650631   |   -153.703278
S66by10_51_0.95_dimer   |   -153.709635   |   -153.656406   |   -153.709001
S66by10_51_0.9_dimer   |   -153.708589   |   -153.655369   |   -153.707968
S66by10_51_1.1_dimer   |   -153.710565   |   -153.657278   |   -153.709926
S66by10_52_0.7_dimer   |   -458.680824   |   -458.538886   |   -458.680911
S66by10_52_0.8_dimer   |   -458.70712   |   -458.564655   |   -458.706893
