Name E(HF/CBS) E(HF/aDZ) E(HF/aDZ-ACP_HF)
01_H2 -1.1335646294 -1.1288088500 -1.1335612198
01_N2 -108.9944937260 -108.9612882700 -108.9944929422
01_NH -54.9863745951 -54.9719906200 -54.9863850288
01_O2 -149.6931731730 -149.6441916600 -149.6931699358
01_OH -75.4278539860 -75.4035577800 -75.4278346244
01_P2 -681.5005108840 -681.4703195600 -681.5005111659
01_PH -341.3021797670 -341.2880643300 -341.3021686908
01_S2 -795.1085310110 -795.0671398100 -795.1085282018
01_SH -398.1104817300 -398.0921548800 -398.1104645809
01_Si2 -577.7512535900 -577.7252864400 -577.7512524474
01_SiH -289.4425612150 -289.4303567500 -289.4425580668
S66by10_10_0.7_dimer -190.5001449670 -190.4365489600 -190.4997266488
S66by10_10_0.8_dimer -190.5172908510 -190.4535701200 -190.5170804985
S66by10_10_0.95_dimer -190.5265575180 -190.4626302100 -190.5265598296
S66by10_10_0.9_dimer -190.5247401150 -190.4608837700 -190.5246685831
S66by10_10_1.05_dimer -190.5282207450 -190.4641529500 -190.5283358930
S66by10_10_2.0_dimer -190.5263998070 -190.4617566300 -190.5265762314
S66by10_11_0.7_dimer -342.3601686020 -342.2487155400 -342.3598230272
S66by10_11_0.8_dimer -342.3774842660 -342.2659721200 -342.3771803591
S66by10_11_0.95_dimer -342.3870585600 -342.2753301700 -342.3868408483
S66by10_11_0.9_dimer -342.3851545880 -342.2735011500 -342.3849103399
S66by10_11_1.05_dimer -342.3888247850 -342.2769562900 -342.3886638469
S66by10_11_1.0_dimer -342.3881979700 -342.2763984200 -342.3880171902
S66by10_11_2.0_dimer -342.3861178360 -342.2735404100 -342.3861441791
S66by10_12_0.7_dimer -171.3109694080 -171.2535682600 -171.3107371544
S66by10_12_0.8_dimer -171.3277917920 -171.2703438100 -171.3278689404
S66by10_12_0.95_dimer -171.3363726560 -171.2788452700 -171.3365191692
S66by10_12_0.9_dimer -171.3348128890 -171.2773229800 -171.3349461415
S66by10_12_1.05_dimer -171.3374338600 -171.2798236700 -171.3376704166
S66by10_12_1.5_dimer -171.3339616870 -171.2759202700 -171.3344651226
S66by10_12_2.0_dimer -171.3314608580 -171.2732654800 -171.3319587588
S66by10_13_0.7_dimer -362.2038466070 -362.0843229600 -362.2033120999
S66by10_13_0.8_dimer -362.2198821660 -362.1003484100 -362.2194428445
S66by10_13_0.95_dimer -362.2284743280 -362.1088107300 -362.2281924154
S66by10_13_0.9_dimer -362.2268213500 -362.1072095700 -362.2264766264
S66by10_13_1.05_dimer -362.2298639160 -362.1100871500 -362.2296861590
S66by10_13_1.0_dimer -362.2294093160 -362.1096894100 -362.2291791604
S66by10_13_2.0_dimer -362.2261019540 -362.1057813900 -362.2261224002
S66by10_14_0.7_dimer -342.3613618450 -342.2501850400 -342.3607648267
S66by10_14_0.8_dimer -342.3793987910 -342.2681620400 -342.3792660363
S66by10_14_0.95_dimer -342.3896061600 -342.2781464900 -342.3896746900
S66by10_14_1.05_dimer -342.3914392900 -342.2798228100 -342.3916117368
S66by10_14_1.1_dimer -342.3916798530 -342.2799830100 -342.3918886438
S66by10_15_0.7_dimer -494.2229055860 -494.0635261700 -494.2226888597
S66by10_15_0.8_dimer -494.2404844240 -494.0811143500 -494.2403253145
S66by10_15_0.95_dimer -494.2502222820 -494.0906877100 -494.2500512223
S66by10_15_0.9_dimer -494.2483136970 -494.0888483400 -494.2481355906
S66by10_15_1.05_dimer -494.2518522320 -494.0921663700 -494.2517123432
S66by10_15_1.0_dimer -494.2513157320 -494.0917059500 -494.2511600424
S66by10_15_1.5_dimer -494.2493192310 -494.0891081700 -494.2493101721
S66by10_15_2.0_dimer -494.2463276800 -494.0858754800 -494.2464328848
S66by10_16_0.7_dimer -323.1736986830 -323.0681277400 -323.1735409449
S66by10_16_0.8_dimer -323.1873953910 -323.0818079800 -323.1873109731
S66by10_16_0.95_dimer -323.1942563110 -323.0885326100 -323.1943439566
S66by10_16_0.9_dimer -323.1930155910 -323.0873381000 -323.1930335474
S66by10_16_1.05_dimer -323.1951368890 -323.0893291900 -323.1953482527
S66by10_16_2.0_dimer -323.1911454390 -323.0849115000 -323.1914988268
S66by10_17_0.7_dimer -825.2782603050 -825.0260596400 -825.2781623336
S66by10_17_0.8_dimer -825.3117494210 -825.0599686000 -825.3117756286
S66by10_17_0.95_dimer -825.3292022140 -825.0777477000 -825.3292678631
S66by10_17_0.9_dimer -825.3260193860 -825.0745030700 -825.3260879521
S66by10_17_1.05_dimer -825.3312534410 -825.0798325500 -825.3313771862
S66by10_17_1.25_dimer -825.3280865670 -825.0765556600 -825.3283598069
S66by10_17_1.5_dimer -825.3221949780 -825.0703560200 -825.3224386288
S66by10_17_2.0_dimer -825.3153452970 -825.0631364300 -825.3156445005
S66by10_18_0.7_dimer -322.8467579610 -322.7492810200 -322.8470329648
S66by10_18_0.8_dimer -322.8622821160 -322.7645877300 -322.8626487970
S66by10_18_0.95_dimer -322.8700278460 -322.7721381300 -322.8702186752
S66by10_18_0.9_dimer -322.8686509840 -322.7708050400 -322.8688907810
S66by10_18_1.05_dimer -322.8708966640 -322.7729533700 -322.8710725196
S66by10_18_1.5_dimer -322.8674847290 -322.7693867000 -322.8678416246
S66by10_18_2.0_dimer -322.8651374230 -322.7669554000 -322.8655138930
S66by10_19_0.7_dimer -361.8770713750 -361.7654093000 -361.8770568410
S66by10_19_0.8_dimer -361.8944188380 -361.7825801500 -361.8946595073
S66by10_19_0.95_dimer -361.9035788760 -361.7915687900 -361.9037161790
S66by10_19_0.9_dimer -361.9018541900 -361.7898840600 -361.9020311312
S66by10_19_1.05_dimer -361.9048964180 -361.7928395100 -361.9050101527
S66by10_19_2.0_dimer -361.8994148560 -361.7870858200 -361.8996066896
S66by10_1_0.7_dimer -152.1212875770 -152.0693052300 -152.1211238364
S66by10_1_0.8_dimer -152.1339968880 -152.0822923700 -152.1340464331
S66by10_1_0.95_dimer -152.1398679550 -152.0882470500 -152.1400473639
S66by10_1_0.9_dimer -152.1388981490 -152.0872808800 -152.1390391234
S66by10_1_1.5_dimer -152.1374601420 -152.0856622000 -152.1380316409
S66by10_1_2.0_dimer -152.1356828430 -152.0838098700 -152.1363014262
S66by10_20_0.7_dimer -455.8122238330 -455.6625529100 -455.8133949198
S66by10_20_0.8_dimer -455.8488006780 -455.6991830900 -455.8491481605
S66by10_20_0.95_dimer -455.8662400480 -455.7171091800 -455.8663137241
S66by10_20_0.9_dimer -455.8632910690 -455.7140029200 -455.8634362675
S66by10_20_1.05_dimer -455.8676370660 -455.7186982400 -455.8676133893
S66by10_20_1.1_dimer -455.8670361550 -455.7181413900 -455.8670088430
S66by10_20_1.5_dimer -455.8561142160 -455.7071451600 -455.8564597546
S66by10_20_2.0_dimer -455.8481487300 -455.6989280300 -455.8486680748
S66by10_21_0.7_dimer -416.1253412660 -415.9910100900 -416.1250740221
S66by10_21_0.8_dimer -416.1577776740 -416.0238185200 -416.1576433504
S66by10_21_0.95_dimer -416.1744153350 -416.0407842300 -416.1744109732
S66by10_21_0.9_dimer -416.1714198430 -416.0377241000 -416.1713674395
S66by10_21_1.05_dimer -416.1762882810 -416.0426985400 -416.1764187852
S66by10_21_1.25_dimer -416.1732445950 -416.0395925500 -416.1736169832
S66by10_21_1.5_dimer -416.1677700840 -416.0338863000 -416.1681816126
S66by10_21_2.0_dimer -416.1608320690 -416.0266427600 -416.1613631807
S66by10_22_0.7_dimer -640.5477164230 -640.3467467900 -640.5481216937
S66by10_22_0.8_dimer -640.5824087710 -640.3816694000 -640.5824930210
S66by10_22_0.95_dimer -640.5999067980 -640.3995846200 -640.5999104206
S66by10_22_0.9_dimer -640.5968080160 -640.3963726600 -640.5968346027
S66by10_22_1.05_dimer -640.6016687400 -640.4014695900 -640.6016772996
S66by10_22_1.0_dimer -640.6013502300 -640.4011049900 -640.6013414281
S66by10_22_1.25_dimer -640.5977568410 -640.3975665300 -640.5979395670
S66by10_22_1.5_dimer -640.5909548290 -640.3905818100 -640.5912763957
S66by10_22_2.0_dimer -640.5828827420 -640.3822034600 -640.5833044160
S66by10_23_0.7_dimer -620.7068022740 -620.5136180200 -620.7065781798
S66by10_23_0.8_dimer -620.7385644790 -620.5457548300 -620.7384647503
S66by10_23_0.95_dimer -620.7553916160 -620.5629082000 -620.7554296522
S66by10_23_0.9_dimer -620.7522922610 -620.5597413300 -620.7522967403
S66by10_23_1.05_dimer -620.7574053700 -620.5649695400 -620.7575242434
S66by10_23_1.25_dimer -620.7541661990 -620.5616643900 -620.7544829719
S66by10_23_1.5_dimer -620.7479089060 -620.5551779400 -620.7482641899
S66by10_23_2.0_dimer -620.7400788710 -620.5470105000 -620.7405143928
S66by10_24_0.7_dimer -461.4559099970 -461.3211476200 -461.4562205423
S66by10_24_0.8_dimer -461.5412096290 -461.4058037400 -461.5417207812
S66by10_24_0.95_dimer -461.5827819370 -461.4459005800 -461.5828346264
S66by10_24_0.9_dimer -461.5748162520 -461.4383696300 -461.5749903472
S66by10_24_1.05_dimer -461.5905722850 -461.4530590200 -461.5904867645
S66by10_24_1.0_dimer -461.5876190280 -461.4503922100 -461.5876002565
S66by10_24_1.1_dimer -461.5923833890 -461.4546210900 -461.5922222570
S66by10_24_1.25_dimer -461.5947038820 -461.4562663500 -461.5941982133
S66by10_24_1.5_dimer -461.5955410970 -461.4565267100 -461.5948215393
S66by10_25_0.7_dimer -493.4580690650 -493.3170686000 -493.4580718549
S66by10_25_0.8_dimer -493.5403300490 -493.3989206800 -493.5406370099
S66by10_25_0.95_dimer -493.5812734750 -493.4388015000 -493.5815446761
S66by10_25_0.9_dimer -493.5733710910 -493.4312250200 -493.5736427595
S66by10_25_1.05_dimer -493.5890321790 -493.4460654500 -493.5893128666
S66by10_25_1.0_dimer -493.5860959340 -493.4433567800 -493.5863743828
S66by10_25_1.1_dimer -493.5908083410 -493.4476353900 -493.5910548136
S66by10_25_1.25_dimer -493.5928996140 -493.4491760200 -493.5928727999
S66by10_26_0.7_dimer -825.1883067850 -824.9397586100 -825.1880888224
S66by10_26_0.8_dimer -825.2681444000 -825.0191246500 -825.2677046064
S66by10_26_0.95_dimer -825.3078192640 -825.0577481400 -825.3073896065
S66by10_26_0.9_dimer -825.3003321610 -825.0506332400 -825.2998527739
S66by10_26_1.1_dimer -825.3159143980 -825.0648625400 -825.3157307583
S66by10_26_1.25_dimer -825.3165265890 -825.0648806500 -825.3164838665
S66by10_26_2.0_dimer -825.3135046300 -825.0608460300 -825.3133974953
S66by10_27_0.7_dimer -477.4454344500 -477.3075106800 -477.4455959606
S66by10_27_0.8_dimer -477.5379345160 -477.3995757200 -477.5384024853
S66by10_27_0.95_dimer -477.5820782970 -477.4424277400 -477.5822851187
S66by10_27_0.9_dimer -477.5737429820 -477.4344867100 -477.5740201750
S66by10_27_1.05_dimer -477.5900093760 -477.4497821800 -477.5901428521
S66by10_27_1.0_dimer -477.5870419730 -477.4470771300 -477.5872070264
S66by10_27_1.1_dimer -477.5917847830 -477.4513246100 -477.5918579682
S66by10_27_1.25_dimer -477.5938872650 -477.4528223500 -477.5936452032
S66by10_27_1.5_dimer -477.5945023620 -477.4528993800 -477.5940170809
S66by10_28_0.7_dimer -643.3239984450 -643.1325068900 -643.3235640492
S66by10_28_0.8_dimer -643.4037651310 -643.2116532100 -643.4035900318
S66by10_28_0.95_dimer -643.4440139540 -643.2507342000 -643.4440179975
S66by10_28_0.9_dimer -643.4362106860 -643.2432960400 -643.4361416468
S66by10_28_1.05_dimer -643.4516680810 -643.2577397000 -643.4517866045
S66by10_28_1.0_dimer -643.4487881080 -643.2551738600 -643.4488602568
S66by10_28_1.1_dimer -643.4533662680 -643.2591382700 -643.4534894563
S66by10_28_1.25_dimer -643.4551402440 -643.2601523600 -643.4550284744
S66by10_29_0.7_dimer -659.2575886470 -659.0627761300 -659.2569008186
S66by10_29_0.8_dimer -659.3870731750 -659.1919586600 -659.3868793975
S66by10_29_0.95_dimer -659.4438962810 -659.2475798500 -659.4439614551
S66by10_29_0.9_dimer -659.4338178460 -659.2378954800 -659.4337849647
S66by10_29_1.05_dimer -659.4525690740 -659.2555901700 -659.4527698228
S66by10_29_1.0_dimer -659.4495085860 -659.2528434800 -659.4496620083
S66by10_29_1.1_dimer -659.4541712880 -659.2569059400 -659.4543636941
S66by10_29_1.25_dimer -659.4553491680 -659.2574326500 -659.4553022719
S66by10_2_0.7_dimer -191.1532671010 -191.0873727200 -191.1529416507
S66by10_2_0.8_dimer -191.1673455920 -191.1016922100 -191.1671559604
S66by10_2_0.95_dimer -191.1741199740 -191.1085485500 -191.1740559938
S66by10_2_0.9_dimer -191.1729510110 -191.1073845200 -191.1728451895
S66by10_2_1.05_dimer -191.1748073180 -191.1091884700 -191.1748515195
S66by10_2_1.5_dimer -191.1718930930 -191.1060214800 -191.1722365427
S66by10_2_2.0_dimer -191.1699889920 -191.1040135600 -191.1703873283
S66by10_30_0.7_dimer -308.7936085220 -308.6990487100 -308.7937092875
S66by10_30_0.8_dimer -308.8386129920 -308.7438160500 -308.8389443556
S66by10_30_0.95_dimer -308.8607234430 -308.7650101200 -308.8608166139
S66by10_30_0.9_dimer -308.8564409080 -308.7610543000 -308.8566384645
S66by10_30_1.05_dimer -308.8650673840 -308.7688497200 -308.8649893079
S66by10_30_1.0_dimer -308.8633922560 -308.7673917600 -308.8633890976
S66by10_30_1.1_dimer -308.8661271540 -308.7697664000 -308.8660087619
S66by10_30_1.25_dimer -308.8675563750 -308.7709942000 -308.8673777568
S66by10_30_2.0_dimer -308.8685481710 -308.7717173400 -308.8683488111
S66by10_31_0.7_dimer -490.6702238370 -490.5186050900 -490.6698645047
S66by10_31_0.8_dimer -490.7053134800 -490.5534140200 -490.7051005550
S66by10_31_0.95_dimer -490.7234031320 -490.5709074400 -490.7233876341
S66by10_31_0.9_dimer -490.7198578500 -490.5675584600 -490.7197691607
S66by10_31_1.05_dimer -490.7269031480 -490.5740801900 -490.7270632371
S66by10_31_1.0_dimer -490.7255844330 -490.5729127500 -490.7256603837
S66by10_31_1.1_dimer -490.7276768100 -490.5747260400 -490.7279020927
S66by10_32_0.7_dimer -489.4522583950 -489.3004279900 -489.4517694277
S66by10_32_0.8_dimer -489.4900332770 -489.3380206900 -489.4893962764
S66by10_32_0.95_dimer -489.5088212540 -489.3563373500 -489.5081966981
S66by10_32_0.9_dimer -489.5052672860 -489.3529358300 -489.5046138139
S66by10_32_1.05_dimer -489.5120741000 -489.3593588400 -489.5115744497
S66by10_32_1.0_dimer -489.5109030040 -489.3582911500 -489.5103370712
S66by10_32_1.1_dimer -489.5126852520 -489.3598853100 -489.5122438043
S66by10_33_0.7_dimer -324.8056024060 -324.7080230700 -324.8057844174
S66by10_33_0.8_dimer -324.8412320670 -324.7434078800 -324.8414787963
S66by10_33_0.95_dimer -324.8601955550 -324.7616934300 -324.8603566511
S66by10_33_0.9_dimer -324.8563771610 -324.7581059100 -324.8565653900
S66by10_33_1.05_dimer -324.8641983460 -324.7653361500 -324.8643280388
S66by10_33_1.0_dimer -324.8626365900 -324.7639333100 -324.8627716552
S66by10_33_1.1_dimer -324.8651975920 -324.7662194300 -324.8653293752
S66by10_33_1.25_dimer -324.8665323090 -324.7673628100 -324.8666391649
S66by10_34_0.7_dimer -392.7681432300 -392.6395214600 -392.7683456184
S66by10_34_0.8_dimer -392.8085147600 -392.6794794400 -392.8086977314
S66by10_34_0.95_dimer -392.8308503940 -392.7012059700 -392.8307052900
S66by10_34_0.9_dimer -392.8262519180 -392.6968013900 -392.8261710166
S66by10_34_1.05_dimer -392.8355569060 -392.7055656300 -392.8354636098
S66by10_34_1.0_dimer -392.8337342230 -392.7039100000 -392.8335906708
S66by10_34_1.1_dimer -392.8367115940 -392.7065684600 -392.8366958756
S66by10_34_1.25_dimer -392.8382141130 -392.7077251000 -392.8384754266
S66by10_34_1.5_dimer -392.8386902720 -392.7078993700 -392.8391750298
S66by10_35_0.7_dimer -392.7803168400 -392.6523377600 -392.7806218846
S66by10_35_0.8_dimer -392.8151175240 -392.6866386400 -392.8156503492
S66by10_35_0.95_dimer -392.8333956020 -392.7042053300 -392.8336978689
S66by10_35_0.9_dimer -392.8297508750 -392.7007750200 -392.8301196636
S66by10_36_0.7_dimer -392.8100985720 -392.6822413300 -392.8105247581
S66by10_37_0.7_dimer -391.6080921630 -391.4840493600 -391.6079843409
S66by10_37_0.8_dimer -391.6408784270 -391.5165949300 -391.6411088638
S66by10_37_0.95_dimer -391.6584842910 -391.5336779500 -391.6586365296
S66by10_37_0.9_dimer -391.6548796680 -391.5302626000 -391.6550636719
S66by10_37_1.05_dimer -391.6619987540 -391.5368746300 -391.6621938707
S66by10_37_1.0_dimer -391.6606561150 -391.5356794200 -391.6608103487
S66by10_37_1.1_dimer -391.6628407830 -391.5375918200 -391.6630950015
S66by10_37_1.25_dimer -391.6639377740 -391.5384228700 -391.6643802741
S66by10_38_0.7_dimer -390.4332036680 -390.3127590200 -390.4330245113
S66by10_38_0.8_dimer -390.4654274150 -390.3446762200 -390.4653857846
S66by10_38_0.95_dimer -390.4829777020 -390.3617485100 -390.4827290033
S66by10_38_0.9_dimer -390.4795058290 -390.3584166700 -390.4793042414
S66by10_38_1.05_dimer -390.4869661700 -390.3655001100 -390.4867828855
S66by10_38_1.0_dimer -390.4854278680 -390.3640699400 -390.4851848885
S66by10_38_1.1_dimer -390.4878968080 -390.3663393200 -390.4878046853
S66by10_38_1.25_dimer -390.4890340310 -390.3672516200 -390.4892076934
S66by10_39_0.7_dimer -425.9541461370 -425.8263887700 -425.9544459397
S66by10_39_0.8_dimer -426.0072155250 -425.8791610400 -426.0074736656
S66by10_39_0.95_dimer -426.0342402490 -425.9056297900 -426.0343450600
S66by10_39_0.9_dimer -426.0289761100 -425.9005780100 -426.0291371074
S66by10_39_1.05_dimer -426.0397051930 -425.9105996100 -426.0397021177
S66by10_39_1.0_dimer -426.0376052030 -425.9087555000 -426.0376543160
S66by10_39_1.1_dimer -426.0409551130 -425.9116011500 -426.0409039731
S66by10_39_1.25_dimer -426.0424068510 -425.9124833500 -426.0422849306
S66by10_39_1.5_dimer -426.0427182010 -425.9123828100 -426.0426277022
S66by10_3_0.7_dimer -171.3142193480 -171.2566844600 -171.3140497713
S66by10_3_0.8_dimer -171.3292998130 -171.2716543900 -171.3294316708
S66by10_3_1.05_dimer -171.3375104520 -171.2797595500 -171.3378314273
S66by10_40_0.7_dimer -427.1522129000 -427.0204233200 -427.1523905936
S66by10_40_0.8_dimer -427.1908941060 -427.0589113400 -427.1913157967
S66by10_40_0.95_dimer -427.2114102790 -427.0789223600 -427.2118116803
S66by10_40_0.9_dimer -427.2073203680 -427.0750397400 -427.2077642156
S66by10_40_1.05_dimer -427.2154440470 -427.0824615600 -427.2157083640
S66by10_40_1.0_dimer -427.2139145980 -427.0811894500 -427.2142551364
S66by10_40_1.1_dimer -427.2163694620 -427.0831329300 -427.2165539545
S66by10_40_1.25_dimer -427.2174514050 -427.0836809200 -427.2175377557
S66by10_40_1.5_dimer -427.2176433740 -427.0835399300 -427.2177627818
S66by10_41_0.7_dimer -608.9947472050 -608.8058726000 -608.9938932887
S66by10_41_0.8_dimer -609.0427880400 -608.8535163000 -609.0423875513
S66by10_41_0.95_dimer -609.0681384810 -608.8781161600 -609.0677895849
S66by10_41_0.9_dimer -609.0630685870 -608.8732910100 -609.0626953566
S66by10_41_1.05_dimer -609.0733275410 -608.8828778200 -609.0731293954
S66by10_41_1.0_dimer -609.0713280110 -608.8810824400 -609.0710345384
S66by10_41_1.1_dimer -609.0747450110 -608.8840717200 -609.0746776797
S66by10_41_1.25_dimer -609.0761456770 -608.8849368300 -609.0763538667
S66by10_42_0.7_dimer -607.8154026800 -607.6308227200 -607.8145147017
S66by10_42_0.8_dimer -607.8678382550 -607.6828380100 -607.8674493899
S66by10_42_0.95_dimer -607.8940215540 -607.7082504300 -607.8937150491
S66by10_42_0.9_dimer -607.8889450260 -607.7034299400 -607.8886328549
S66by10_42_1.05_dimer -607.8989485370 -607.7127162900 -607.8987317791
S66by10_42_1.0_dimer -607.8970905130 -607.7110792200 -607.8968096761
S66by10_42_1.1_dimer -607.9000683390 -607.7136390300 -607.8999088649
S66by10_42_1.25_dimer -607.9013890910 -607.7145149300 -607.9014264011
S66by10_42_1.5_dimer -607.9017003720 -607.7144324200 -607.9018854487
S66by10_43_0.7_dimer -609.0059676550 -608.8171338200 -609.0050524423
S66by10_43_0.8_dimer -609.0501174450 -608.8609890900 -609.0495885828
S66by10_43_0.9_dimer -609.0673211500 -608.8777820200 -609.0669337907
S66by10_43_1.0_dimer -609.0736916550 -608.8837411900 -609.0735261743
S66by10_43_1.25_dimer -609.0766698750 -608.8859619300 -609.0769797195
S66by10_44_0.7_dimer -274.4532687370 -274.3616971300 -274.4535894725
S66by10_44_0.8_dimer -274.4748662360 -274.3831154700 -274.4751171443
S66by10_44_0.95_dimer -274.4863202540 -274.3942649700 -274.4862889710
S66by10_44_0.9_dimer -274.4840163560 -274.3920551800 -274.4840394065
S66by10_44_1.05_dimer -274.4886208190 -274.3964298500 -274.4886295116
S66by10_44_1.0_dimer -274.4877395590 -274.3956085600 -274.4877059291
S66by10_44_1.25_dimer -274.4898616080 -274.3975033500 -274.4901270801
S66by10_45_0.7_dimer -273.2279761800 -273.1365950100 -273.2278436264
S66by10_45_0.8_dimer -273.2561509190 -273.1646259500 -273.2558088185
S66by10_45_0.95_dimer -273.2700124190 -273.1782277300 -273.2695541939
S66by10_45_0.9_dimer -273.2673355670 -273.1756327900 -273.2668704350
S66by10_45_1.05_dimer -273.2726250520 -273.1806982300 -273.2722473685
S66by10_45_1.0_dimer -273.2716380940 -273.1797795300 -273.2712137088
S66by10_45_1.25_dimer -273.2739133140 -273.1817722800 -273.2736539871
S66by10_46_0.7_dimer -443.4934660740 -443.3502005600 -443.4932142751
S66by10_46_0.8_dimer -443.5201353890 -443.3765050700 -443.5200094250
S66by10_46_0.95_dimer -443.5357686200 -443.3915366000 -443.5355649112
S66by10_46_0.9_dimer -443.5324473400 -443.3884143600 -443.5322589402
S66by10_46_1.05_dimer -443.5394042460 -443.3948206700 -443.5392517848
S66by10_46_1.0_dimer -443.5379623290 -443.3935456900 -443.5377683618
S66by10_46_1.1_dimer -443.5403414020 -443.3956085100 -443.5402556636
S66by10_46_1.25_dimer -443.5415606230 -443.3964595900 -443.5417041071
S66by10_47_0.7_dimer -461.5300200500 -461.3932278800 -461.5298482863
S66by10_47_0.8_dimer -461.5699713190 -461.4330054400 -461.5698284259
S66by10_47_0.9_dimer -461.5866319370 -461.4494334600 -461.5864616467
S66by10_47_1.0_dimer -461.5931155580 -461.4555708800 -461.5928192174
S66by10_48_0.7_dimer -493.5389771620 -493.3962289100 -493.5383996872
S66by10_48_0.8_dimer -493.5718599940 -493.4290551300 -493.5715576671
S66by10_48_1.0_dimer -493.5915145830 -493.4482989200 -493.5913048660
S66by10_48_1.1_dimer -493.5935197790 -493.4500313200 -493.5932808604
S66by10_49_0.7_dimer -477.5288868290 -477.3893305900 -477.5288712642
S66by10_49_0.8_dimer -477.5693088500 -477.4296253100 -477.5693237065
S66by10_49_0.9_dimer -477.5861453110 -477.4462711000 -477.5861690324
S66by10_49_1.0_dimer -477.5926141530 -477.4524345500 -477.5925366817
S66by10_49_1.25_dimer -477.5955128630 -477.4544549700 -477.5952089485
S66by10_4_0.7_dimer -323.1745625020 -323.0686977300 -323.1747781873
S66by10_4_0.8_dimer -323.1900919470 -323.0843530900 -323.1901871404
S66by10_4_0.95_dimer -323.1976605180 -323.0919932500 -323.1976529788
S66by10_4_0.9_dimer -323.1963527030 -323.0906842300 -323.1963658461
S66by10_4_1.25_dimer -323.1968389760 -323.0910429100 -323.1969821904
S66by10_50_0.7_dimer -307.6029925800 -307.5087283600 -307.6034086260
S66by10_50_0.8_dimer -307.6350375910 -307.5405148800 -307.6352085862
S66by10_50_0.95_dimer -307.6510177780 -307.5562800900 -307.6510518155
S66by10_50_0.9_dimer -307.6480364680 -307.5533790400 -307.6481261840
S66by10_50_1.05_dimer -307.6535714320 -307.5585881200 -307.6534564597
S66by10_50_1.0_dimer -307.6526839970 -307.5578391400 -307.6526481184
S66by10_51_0.7_dimer -153.6914047410 -153.6385077600 -153.6913157540
S66by10_51_0.8_dimer -153.7037993460 -153.6506310100 -153.7032504253
S66by10_51_0.95_dimer -153.7096345440 -153.6564059600 -153.7089860029
S66by10_51_0.9_dimer -153.7085893950 -153.6553687000 -153.7079478016
S66by10_51_1.1_dimer -153.7105648460 -153.6572776500 -153.7099102504
S66by10_52_0.7_dimer -458.6808243860 -458.5388855300 -458.6810908181
S66by10_52_0.8_dimer -458.7071203030 -458.5646551600 -458.7069988853
S66by10_52_0.95_dimer -458.7213328950 -458.5783953500 -458.7212892730
S66by10_52_0.9_dimer -458.7185313380 -458.5757059200 -458.7184041974
S66by10_52_1.05_dimer -458.7239191010 -458.5807863900 -458.7240438452
S66by10_52_1.0_dimer -458.7229910040 -458.5799568900 -458.7230427779
S66by10_52_2.0_dimer -458.7224120190 -458.5781184400 -458.7223031587
S66by10_53_0.7_dimer -438.8457795620 -438.7106943200 -438.8459880570
S66by10_53_0.8_dimer -438.8663963150 -438.7310074500 -438.8663008764
S66by10_53_0.95_dimer -438.8777098910 -438.7419542000 -438.8775248825
S66by10_53_0.9_dimer -438.8754600820 -438.7398122600 -438.8752683652
S66by10_53_1.05_dimer -438.8798215410 -438.7438638400 -438.8796676353
S66by10_53_1.0_dimer -438.8790606070 -438.7432024400 -438.8788890324
S66by10_54_0.7_dimer -306.8348342330 -306.7409227000 -306.8348033668
S66by10_54_0.8_dimer -306.8549681720 -306.7606891100 -306.8548014479
